 	a	y	ú	ú	m	u	w	a	ó	e	b	é	e	y	á	t	s	έ	m	b	í	t	s	í	n	a	w	a	á	d	z	e	l	á	a	k	y	á	l	o	b	h	ó	</S>
on	0.36776	0.30022	0.0514501	0.0152174	0.010554	0.00545423	0.0102896	0.00795495	0.0105677	0.0158527	0.0195855	0.0170534	0.0168563	0.0171126	0.0156288	0.00783789	0.00571511	0.00439705	0.00577538	0.00407179	0.00247013	0.0035436	0.00254062	0.00266676	0.00183497	0.00166547	0.00149554	0.00161367	0.00171763	0.00199911	0.00261334	0.00386168	0.00260894	0.00336874	0.00375995	0.00508749	0.00622262	0.00464836	0.00624286	0.00748647	0.00562743	0.00516377	0.00627618	0.00613106
l'	0.0131283	0.0227778	0.0553716	0.0563713	0.0959891	0.134776	0.0955939	0.0545752	0.0525789	0.0680511	0.044944	0.0574626	0.0766676	0.0468736	0.019249	0.00670566	0.00957898	0.00211802	0.00137727	0.00493221	0.00407341	0.00329664	0.00253453	0.00195188	0.00261874	0.00253499	0.00549697	0.00454917	0.00552766	0.00184342	0.00193913	0.00211648	0.00136739	0.00160145	0.00362809	0.00317851	0.00135354	0.00200451	0.00409036	0.00269495	0.00476856	0.00304679	0.00499986	0.00966063
a	0.0474072	0.0231203	0.0395361	0.0354419	0.0565146	0.0453103	0.0378862	0.0275089	0.0339971	0.0242658	0.0532014	0.0441533	0.0513008	0.0346573	0.0203433	0.0138408	0.00894313	0.00751331	0.0168745	0.0162597	0.0192369	0.00976832	0.0165558	0.0103802	0.0102262	0.0176391	0.016401	0.0343829	0.0321997	0.0199949	0.027446	0.0134768	0.0328124	0.0180796	0.0135158	0.00901871	0.00765674	0.00459679	0.00898218	0.0081365	0.00816774	0.0049659	0.00848992	0.00979412
fait	0.0142255	0.0245032	0.0233061	0.0280142	0.027082	0.0191506	0.0158731	0.0190043	0.020861	0.0303842	0.027823	0.0246352	0.0162472	0.0190481	0.0223432	0.0242274	0.0802753	0.053402	0.0508211	0.0295234	0.0304562	0.0278859	0.0204855	0.0245442	0.0175122	0.0156985	0.0220238	0.0144387	0.0258721	0.0303306	0.0441448	0.0113672	0.00898741	0.0112149	0.0110686	0.00661054	0.0100845	0.00764467	0.0158487	0.0106672	0.0107492	0.011109	0.0171974	0.0233082
taire	0.0045979	0.0055873	0.00490634	0.00613795	0.00761956	0.0107416	0.00799771	0.00976899	0.0108167	0.0129288	0.0123908	0.0146973	0.0190409	0.0159278	0.018436	0.0219837	0.058773	0.0550962	0.047697	0.0290059	0.0724827	0.0427697	0.0691377	0.0424892	0.0509463	0.0368432	0.0473521	0.0177922	0.0325373	0.0261587	0.0201492	0.00942178	0.00588987	0.00997254	0.00733642	0.00780281	0.0109424	0.00658404	0.0104963	0.0179615	0.0183095	0.0172826	0.022569	0.0226216
pendant	0.0147322	0.0215449	0.0124744	0.0166134	0.0183717	0.0165544	0.0124904	0.0152117	0.0163829	0.0200293	0.0180917	0.0195733	0.0272243	0.0209811	0.0234621	0.0289481	0.0396132	0.042523	0.0588741	0.0367015	0.0557631	0.0422959	0.0749225	0.0287001	0.0264542	0.0163119	0.0112834	0.008466	0.0147848	0.0130636	0.00962898	0.01282	0.00773672	0.00701885	0.00915999	0.0106623	0.0126704	0.00805752	0.0109879	0.0257791	0.0225322	0.0234957	0.0294158	0.0375914
les	0.0137082	0.0135309	0.0136785	0.014835	0.0182632	0.0160256	0.0140838	0.0140401	0.0147858	0.0151465	0.0167948	0.0184038	0.0214144	0.0188609	0.020755	0.0208384	0.0212269	0.0251641	0.0283275	0.0252581	0.0329196	0.0356356	0.0778062	0.0379625	0.0360355	0.0254857	0.0265623	0.0158689	0.0184784	0.0167097	0.00605788	0.00979579	0.00223753	0.0028845	0.00519458	0.00787743	0.0119599	0.00936514	0.0242175	0.0424144	0.0457396	0.0449597	0.047497	0.0511935
palabres	0.0224594	0.0221927	0.0219478	0.021662	0.0204574	0.0128342	0.0125638	0.0101058	0.00955922	0.00911179	0.00934345	0.0103357	0.0116252	0.013998	0.017728	0.0194627	0.0243068	0.0294196	0.0269226	0.0253306	0.020337	0.0389437	0.040786	0.0323185	0.0225167	0.0154602	0.0176595	0.0127072	0.0107802	0.00981641	0.0048647	0.00678104	0.00291954	0.00248051	0.00307589	0.00610344	0.0116213	0.00881268	0.037142	0.0439373	0.0686167	0.0688296	0.0785456	0.0835774
car	0.010324	0.0103664	0.010091	0.00992785	0.010155	0.00959179	0.00799767	0.00772986	0.00796015	0.00762692	0.00739973	0.00655118	0.00737326	0.0124162	0.0173816	0.0178892	0.0233436	0.0373058	0.028208	0.0341329	0.0621462	0.0548764	0.105425	0.0911634	0.0672787	0.0359649	0.0186696	0.0111856	0.0160876	0.0195148	0.0161998	0.00775828	0.00593023	0.00711975	0.00660695	0.00711225	0.00975995	0.00729259	0.0156805	0.0161593	0.0221365	0.0285711	0.0372599	0.0463289
il	0.0151428	0.0123468	0.0118598	0.0115811	0.0117152	0.0087157	0.00560762	0.00489244	0.00517836	0.0058604	0.00487037	0.00440373	0.00691307	0.0080808	0.00929757	0.0122717	0.0208263	0.032391	0.0307173	0.0254507	0.0332626	0.0385046	0.0469062	0.0550552	0.0288733	0.0257368	0.0239301	0.0125263	0.0222276	0.0328164	0.0407132	0.0323852	0.0291171	0.0386697	0.0299034	0.0266476	0.0304734	0.0252695	0.0262678	0.0279207	0.0246751	0.0295166	0.0276951	0.0427838
bavardait	0.0194341	0.0165557	0.0169024	0.0163304	0.0160726	0.00942731	0.0067801	0.00623124	0.00650593	0.00683291	0.0065418	0.0109621	0.013226	0.0172619	0.0163757	0.0216083	0.0436912	0.0567223	0.0513982	0.0490612	0.0530265	0.0455398	0.056473	0.0444218	0.0311627	0.019892	0.0123725	0.0093983	0.0128762	0.016257	0.0196834	0.00873351	0.00591312	0.00549627	0.00563059	0.00439818	0.0074351	0.00532106	0.0156508	0.0163527	0.0302843	0.0409569	0.0544605	0.0703425
trop	0.020004	0.0162072	0.0198503	0.0202073	0.022341	0.0183223	0.0123604	0.0117282	0.0136174	0.0093346	0.011245	0.0248332	0.0288563	0.0354335	0.0483756	0.0396026	0.0628462	0.0585391	0.0353051	0.032295	0.0527567	0.0190962	0.0171527	0.016664	0.0152667	0.014037	0.0237073	0.0124097	0.0135017	0.0122584	0.019173	0.00936427	0.00800211	0.00901706	0.00928503	0.0090191	0.0165562	0.0111202	0.0161747	0.0148168	0.0176643	0.0242244	0.0274448	0.0699832
</S>	0.0189243	0.0194201	0.0152498	0.0137913	0.0134198	0.0109154	0.00872017	0.00580247	0.00543739	0.00397862	0.00547166	0.0143318	0.0204013	0.0246831	0.0373832	0.0261758	0.0688185	0.0622132	0.0400331	0.0270707	0.0310262	0.0230601	0.0145785	0.021131	0.0136665	0.0113753	0.0300325	0.00967393	0.0114028	0.0101661	0.0223556	0.0180629	0.0135739	0.0182891	0.02064	0.0162656	0.0274116	0.0240527	0.0193578	0.0261318	0.0279684	0.0304541	0.04486	0.0722219
