 	o	b	o	s	ó	b	í	p	f	ú	a	o	y	ú	r	u	w	ó	a	d	i	í	l	á	a	t	á	á	e	t	á	l	a	</S>
avant	0.00795305	0.0137923	0.0137022	0.0104824	0.0161096	0.0258351	0.0352327	0.0363813	0.0419333	0.0484226	0.0551042	0.0559812	0.0478645	0.0418769	0.0343164	0.0199022	0.00992916	0.018361	0.0169701	0.0161144	0.0232116	0.00869701	0.012748	0.0155353	0.0222101	0.0354979	0.029758	0.032431	0.0453958	0.0562654	0.0494153	0.0465117	0.032081	0.0239773
de	0.102325	0.0601677	0.0403444	0.0367273	0.0201416	0.0170598	0.0274691	0.014239	0.01443	0.0176154	0.0204549	0.028006	0.0331789	0.102004	0.109788	0.0753799	0.0157744	0.00537858	0.00484634	0.0028354	0.00529794	0.00302209	0.0104965	0.00869414	0.0210355	0.0314583	0.0244689	0.027109	0.0280518	0.0204293	0.0236371	0.0112194	0.017215	0.0196993
sortir	0.146808	0.0962963	0.0708999	0.0612297	0.0458588	0.0324963	0.0205412	0.019321	0.0183211	0.0162701	0.0227441	0.0163337	0.0162959	0.0045836	0.00382515	0.00219988	0.0051058	0.0045592	0.00280166	0.00808155	0.0177758	0.012123	0.0288843	0.0425115	0.0239322	0.0199555	0.0253702	0.022944	0.0210614	0.026406	0.0394991	0.043787	0.0281252	0.0330517
cette	0.0166802	0.0176428	0.0177731	0.0187207	0.0213129	0.0190408	0.0231968	0.0145704	0.0193883	0.0180474	0.0144665	0.018901	0.0140935	0.0324793	0.0435044	0.0732958	0.0385443	0.0769157	0.0627244	0.0311355	0.0142458	0.0107676	0.0387697	0.0402756	0.0509299	0.0420321	0.0387828	0.0413778	0.0305697	0.0229271	0.0212553	0.0151007	0.0182524	0.0222795
femme	0.0336455	0.0379109	0.036418	0.0345125	0.0297771	0.0228613	0.0250475	0.020665	0.0146189	0.0175927	0.0145245	0.0146782	0.0126604	0.0160631	0.0268694	0.0990158	0.0929537	0.0519476	0.0718105	0.0793995	0.0327905	0.021144	0.00974707	0.0140795	0.00841001	0.00907826	0.012671	0.0156806	0.0128664	0.0118769	0.0128438	0.0221047	0.0164896	0.0472456
a	0.0377229	0.0527872	0.0564958	0.0649647	0.0570422	0.0513562	0.0627871	0.0366864	0.0351621	0.0440848	0.0374197	0.0449032	0.0282075	0.047109	0.0538007	0.031659	0.0431924	0.0173802	0.0186087	0.0178491	0.00888846	0.00345315	0.00281861	0.00332812	0.00577963	0.00596344	0.0130004	0.0134721	0.014865	0.0108248	0.010913	0.0209105	0.0136007	0.0329632
l'	0.0502834	0.0629325	0.055925	0.0566243	0.0437311	0.0353675	0.0282707	0.0239078	0.027586	0.0315304	0.0222234	0.030948	0.0220306	0.0379308	0.050683	0.0500868	0.0574437	0.0328001	0.034163	0.0241685	0.0117001	0.00844938	0.00511805	0.00563038	0.012139	0.0122225	0.0178376	0.0173569	0.0171647	0.015004	0.0183028	0.020968	0.0198573	0.0396126
habitude	0.0499751	0.0577958	0.0399363	0.0387447	0.0291183	0.0358238	0.0436986	0.0422771	0.0518899	0.0624851	0.0465824	0.0635751	0.0502545	0.0695708	0.0723294	0.044288	0.0345303	0.0107611	0.0104254	0.010703	0.00437676	0.00361952	0.00221397	0.00239154	0.00353207	0.00259888	0.0069649	0.00503433	0.0116529	0.0119359	0.0134175	0.015276	0.0160277	0.0361935
de	0.169871	0.0841679	0.0519206	0.0367884	0.0340346	0.0373039	0.0364775	0.0409939	0.0507474	0.0641604	0.063645	0.0701248	0.0299614	0.0153514	0.0127583	0.0192358	0.0140222	0.00315946	0.00479591	0.00587067	0.00433934	0.00402839	0.00241621	0.00175357	0.00564144	0.00646616	0.00768254	0.00639975	0.00738159	0.00634945	0.00738183	0.00759754	0.00907556	0.0780958
se	0.231861	0.113324	0.0859887	0.0606949	0.0304706	0.0195793	0.0128788	0.013967	0.0161478	0.0159306	0.0174882	0.0151074	0.0112019	0.00895595	0.00638896	0.0113219	0.0138678	0.013947	0.0121571	0.0133639	0.00775616	0.0118115	0.0118437	0.0114737	0.0118341	0.00975312	0.0128516	0.0113645	0.0100111	0.0104788	0.0131345	0.0245209	0.0258398	0.102684
regarder	0.102964	0.0508052	0.0314795	0.0212852	0.0128947	0.012832	0.00994894	0.0109892	0.0159874	0.0137359	0.0130232	0.0117868	0.0114853	0.0117692	0.010598	0.0258762	0.0271389	0.0313249	0.0233074	0.0247311	0.0127968	0.00802147	0.0119692	0.013622	0.0244168	0.0143163	0.0354467	0.027376	0.0400864	0.0389604	0.0472748	0.0741182	0.0640339	0.113598
