 	o	t	ó	n	g	i	n	d	é	e	a	b	h	i	l	á	a	f	ú	á	n	d	é	e	</S>
le	0.0104915	0.0118227	0.0104317	0.0103585	0.0100264	0.0168332	0.0218078	0.0352542	0.0288746	0.0421024	0.072145	0.0867992	0.063164	0.0641634	0.0736923	0.0834311	0.0777291	0.0552932	0.0418436	0.0355402	0.028819	0.0263705	0.0320226	0.0242287	0.0367553
charpentier	0.0244832	0.0361324	0.0366387	0.0262643	0.0189182	0.0593284	0.0878716	0.133312	0.18889	0.21847	0.0865184	0.0290362	0.00885168	0.00918551	0.00540143	0.0059757	0.00293275	0.00228653	0.00323584	0.00321995	0.00333561	0.00455924	0.00278109	0.00114008	0.0012314
est	0.019974	0.0190258	0.0173193	0.0182695	0.0255874	0.0419212	0.0729478	0.105672	0.0820093	0.0618473	0.0581725	0.0288215	0.0314814	0.0333803	0.051017	0.0644554	0.0958927	0.0683113	0.024619	0.0147937	0.0132037	0.0119204	0.014913	0.0129093	0.0115348
en	0.0832577	0.0957961	0.0896814	0.0721967	0.0653108	0.0778502	0.0830813	0.0470178	0.0386496	0.0254513	0.0165917	0.0103055	0.00677568	0.0101691	0.00927755	0.00837621	0.0249162	0.0384482	0.0468384	0.0299949	0.0271098	0.0168823	0.0188766	0.0142751	0.0428697
train	0.0474662	0.040267	0.0343494	0.0299326	0.0405915	0.0576903	0.0659849	0.0722537	0.0616362	0.0559879	0.0417217	0.0230416	0.0207748	0.0203394	0.0197393	0.0164866	0.0240549	0.0243195	0.0302455	0.0264405	0.0412035	0.0520811	0.0558387	0.0463372	0.0512161
de	0.0632903	0.03509	0.0295444	0.0246456	0.0242952	0.0287938	0.0469666	0.0811209	0.0458475	0.0589543	0.0825904	0.0663965	0.0757838	0.0692274	0.0447768	0.0202716	0.0121017	0.0108743	0.0065475	0.00833271	0.00632252	0.00476738	0.00815394	0.0164881	0.128817
couvrir	0.0605117	0.0449232	0.0488986	0.0498788	0.0423415	0.046487	0.0865204	0.0820975	0.0798062	0.0910097	0.0865613	0.0413706	0.0205657	0.0271182	0.00883648	0.00898575	0.0104414	0.0172485	0.0249416	0.0241558	0.0152107	0.00964653	0.0121129	0.0180071	0.0423228
la	0.137741	0.0878498	0.0659638	0.0554706	0.0409112	0.038728	0.0274708	0.0160778	0.0138631	0.0104527	0.00994154	0.0115998	0.00848932	0.0113196	0.0102143	0.00623384	0.0144079	0.0254729	0.0391374	0.0422445	0.0309277	0.0227452	0.0355981	0.0648799	0.172259
maison	0.0761416	0.0682147	0.0462172	0.0303632	0.0140581	0.00895738	0.00603846	0.00683698	0.00527995	0.00958938	0.0111759	0.0149991	0.016588	0.0195387	0.0169512	0.0239798	0.0201209	0.0209771	0.0378459	0.0665746	0.059977	0.0541234	0.0975765	0.114848	0.153027
</S>	0.114728	0.0934991	0.0700173	0.0527625	0.0302506	0.0146488	0.00747789	0.0052918	0.00385227	0.00475019	0.00644057	0.0100449	0.0102476	0.0125232	0.00593106	0.00452565	0.00411186	0.00713218	0.0280997	0.0410894	0.041461	0.0260643	0.0470021	0.0984736	0.259574
