 	b	í	s	í	l	é	b	ó	n	d	i	e	k	í	n	d	i	y	o	t	á	</S>
on	0.132842	0.165127	0.0899223	0.0531244	0.0480163	0.0268811	0.0200593	0.0291371	0.0318082	0.034902	0.048675	0.067658	0.0462452	0.0310384	0.0318333	0.0199145	0.0213957	0.0185644	0.0249352	0.0212269	0.017824	0.0188699
a	0.125691	0.108419	0.0517768	0.088385	0.0745958	0.0889464	0.0655924	0.0655097	0.0423211	0.0452747	0.0414399	0.0521717	0.0251354	0.00466431	0.00907509	0.0171522	0.0190068	0.021185	0.0227438	0.0108021	0.0103065	0.00980594
entendu	0.0552774	0.0487075	0.0519126	0.0676374	0.0387182	0.0472704	0.0322285	0.0676532	0.0638031	0.0807479	0.107983	0.0719287	0.0545901	0.0203788	0.0312784	0.0227098	0.0234785	0.0207376	0.0214612	0.0225336	0.0322682	0.0166964
le	0.0890268	0.0688464	0.0674602	0.0400653	0.0279103	0.0267628	0.0216261	0.0302094	0.0309541	0.0332062	0.0340008	0.0283796	0.0324866	0.0365958	0.0473653	0.0468344	0.0502527	0.0479003	0.0462182	0.0509265	0.0558088	0.0871633
bruit	0.0316134	0.0209436	0.0117795	0.0298594	0.0338001	0.0998114	0.0783565	0.0524649	0.0509684	0.0596967	0.0507401	0.0384844	0.0304069	0.0248853	0.055021	0.0432984	0.0403913	0.0356885	0.0369945	0.0410487	0.0560822	0.0776648
d'	0.0577485	0.0394019	0.0163516	0.0282907	0.0209803	0.0453683	0.0480741	0.029526	0.0190973	0.0238067	0.015969	0.0204513	0.0361142	0.0252697	0.0300562	0.0594161	0.0618036	0.048616	0.0739145	0.0685683	0.109446	0.12173
un	0.151829	0.0823395	0.0269687	0.0655617	0.0415792	0.0420188	0.0327059	0.0384021	0.0400552	0.0416197	0.0315241	0.0282848	0.0173375	0.00531583	0.00657083	0.0080806	0.0264834	0.0274886	0.034328	0.0484628	0.0778672	0.125177
coup	0.0378101	0.0210872	0.014316	0.0114909	0.012831	0.0120221	0.0121628	0.0127006	0.0141493	0.0153753	0.0258472	0.0271926	0.0453979	0.0249543	0.0181021	0.0229672	0.0371841	0.0334898	0.0521166	0.128472	0.119278	0.301053
de	0.0869831	0.0435629	0.0375514	0.0274602	0.0158848	0.0136358	0.01026	0.0130144	0.0152813	0.0154814	0.0174675	0.0249454	0.035179	0.0167077	0.00804602	0.00956044	0.0275403	0.0334597	0.0459262	0.110295	0.146398	0.245359
fusil	0.0922103	0.0635691	0.0361897	0.0381072	0.0185711	0.0141085	0.0117982	0.0114253	0.0144184	0.0123669	0.012562	0.0160326	0.0265845	0.0384813	0.0553846	0.037704	0.0551622	0.063234	0.0659249	0.0764185	0.0878927	0.151854
</S>	0.15359	0.0526875	0.0225974	0.0277633	0.0169831	0.0157111	0.0146611	0.0135065	0.015199	0.0104873	0.00994833	0.0123415	0.0195903	0.0219205	0.036937	0.0340752	0.0391184	0.0493744	0.0525548	0.0740827	0.086721	0.22015
