 	k	ú	l	ε	s	é	l	é	n	g	é	a	d	i	m	b	í	m	o	r	o	</S>
le	0.0210452	0.0194189	0.0193589	0.0179967	0.0137304	0.0169833	0.0171309	0.0345201	0.0378125	0.0570275	0.0805616	0.154119	0.179061	0.118461	0.0873998	0.026773	0.0222499	0.0121504	0.0148427	0.0164911	0.0173643	0.0155019
chimpanzé	0.0130844	0.0193982	0.0146695	0.0290185	0.135925	0.0573666	0.0693137	0.109044	0.0781926	0.0864363	0.105497	0.0764197	0.0602634	0.0468961	0.0386555	0.00979991	0.0105157	0.00931144	0.0121665	0.010075	0.00369552	0.00425537
a	0.0697704	0.0934867	0.0703232	0.0819091	0.0870585	0.0887704	0.0596763	0.0476126	0.0254543	0.0174868	0.0219786	0.0293064	0.0517728	0.0588159	0.0435332	0.0312768	0.0219596	0.021966	0.0265261	0.0226308	0.0187847	0.00990074
un	0.0633687	0.0849498	0.0747816	0.0968355	0.0826432	0.0579733	0.0588006	0.0551547	0.0282124	0.0336873	0.0324243	0.0664195	0.0430016	0.0576986	0.0281729	0.0338079	0.0179592	0.0228727	0.018032	0.0112521	0.0163903	0.0155619
visage	0.0471336	0.025363	0.0155709	0.0151099	0.0203854	0.0105101	0.0103356	0.0165352	0.0220631	0.0390265	0.0420235	0.0464343	0.0547893	0.088717	0.0831151	0.0746733	0.0846578	0.0741729	0.0746377	0.0615561	0.043325	0.0498648
qui	0.0658038	0.0372574	0.020097	0.0115688	0.013809	0.0112075	0.012366	0.0211582	0.0242896	0.0337003	0.0382566	0.0175594	0.0104221	0.012037	0.0214069	0.0585366	0.0883921	0.114835	0.118321	0.0955302	0.0781137	0.0953322
ressemble	0.0557374	0.0324731	0.0197099	0.0192207	0.0211518	0.0177664	0.0177466	0.0227072	0.0249938	0.0288799	0.0220481	0.0247048	0.0130125	0.0130778	0.0241379	0.0357756	0.0444888	0.0882864	0.107828	0.115716	0.103171	0.147365
à	0.0397959	0.0408463	0.0335683	0.0253449	0.0260498	0.0242495	0.0202173	0.0186416	0.0152964	0.0174529	0.00633733	0.00755	0.00443273	0.00435528	0.0116973	0.0242482	0.0371078	0.074864	0.108574	0.0891058	0.177004	0.193261
celui	0.0966743	0.0638415	0.0501723	0.0428986	0.0322721	0.0244531	0.0199025	0.0178558	0.0152595	0.0161735	0.00875933	0.00663934	0.00456457	0.00318355	0.00488603	0.0175337	0.0277112	0.060859	0.0841437	0.0910294	0.127281	0.183906
de	0.0844248	0.0699552	0.0635983	0.0558404	0.0400318	0.0268285	0.0152281	0.0111161	0.00896452	0.00744525	0.00497857	0.00292779	0.00277187	0.00239193	0.00306005	0.0109423	0.0194644	0.0444725	0.0759345	0.0825544	0.147177	0.219891
l'	0.074285	0.0603274	0.0733899	0.0716672	0.050657	0.0247155	0.0120595	0.00746132	0.00491526	0.00365056	0.00254787	0.0022274	0.00272925	0.00371841	0.00553972	0.0206287	0.0316036	0.0556683	0.0861178	0.0834487	0.137341	0.185301
homme	0.164608	0.156782	0.129959	0.0626727	0.0447385	0.019295	0.00665531	0.00452386	0.00443286	0.0043184	0.00377231	0.00433702	0.00385905	0.00637157	0.00867012	0.0219905	0.0189892	0.0304501	0.0417945	0.0449921	0.0794094	0.137378
</S>	0.0856623	0.101402	0.156937	0.132642	0.0924065	0.0354326	0.0159683	0.00984323	0.00607086	0.00345549	0.00157042	0.00208424	0.00208177	0.00267352	0.00424222	0.0152157	0.0181203	0.0306485	0.046265	0.0490116	0.0688192	0.119447
