 	o	m	a	b	h	i	r	i	m	w	á	n	a	y	a	b	o	s	ó	m	b	í	n	g	ó	o	</S>
celui	0.0271408	0.0251602	0.0264183	0.0213286	0.01935	0.018936	0.0281958	0.0217647	0.0504305	0.0277824	0.0280289	0.0443325	0.0403443	0.0555972	0.0461822	0.0290602	0.0357244	0.0503991	0.0573684	0.0653457	0.0708541	0.0799502	0.0363328	0.0240748	0.0245563	0.0207386	0.0246029
qui	0.145432	0.10451	0.0748739	0.112007	0.0878378	0.056829	0.0174686	0.0344954	0.025467	0.018479	0.0250637	0.0189013	0.0232498	0.0270294	0.0216614	0.0633506	0.0481962	0.013857	0.0110946	0.0166217	0.00663776	0.00743757	0.00182598	0.00237745	0.00703472	0.00868995	0.0195706
caresse	0.0264381	0.0286426	0.0309417	0.0611491	0.038794	0.0551175	0.0594086	0.0604132	0.0802682	0.0497503	0.0628142	0.0590498	0.0435605	0.0385273	0.0240986	0.028498	0.0362655	0.0173153	0.0194393	0.0222734	0.00994005	0.0171343	0.0118988	0.0141253	0.0239328	0.0360728	0.0441306
l'	0.0348376	0.0296216	0.0221036	0.0340069	0.0465208	0.0401261	0.0288693	0.0275683	0.0323338	0.0289003	0.048325	0.0678941	0.0821128	0.0786396	0.0436805	0.0445853	0.0235269	0.0108413	0.0133695	0.0173007	0.0195809	0.0220673	0.00988758	0.0171799	0.031223	0.0610468	0.0838507
enfant	0.0214186	0.0210578	0.02278	0.0261208	0.0288904	0.0356719	0.0255764	0.0212642	0.0402676	0.0366943	0.0458917	0.0737565	0.0816084	0.0688484	0.0621527	0.06766	0.0518351	0.0313181	0.0193293	0.0202095	0.0141017	0.0199412	0.00981978	0.0111506	0.0192585	0.0265764	0.0968003
en	0.0424704	0.0400436	0.0399922	0.0359009	0.0334814	0.0398882	0.0287633	0.0269829	0.0458824	0.036097	0.0338468	0.0456082	0.0372049	0.0255243	0.0230941	0.0175816	0.0175543	0.0208939	0.0227259	0.0229801	0.023316	0.0208017	0.0201364	0.023119	0.0330841	0.07933	0.163697
premier	0.066097	0.0475934	0.0389603	0.0286198	0.0302974	0.0300716	0.0255864	0.0223827	0.0233578	0.0220547	0.0232316	0.0291093	0.029605	0.0310588	0.0238717	0.0307712	0.0243709	0.0240092	0.0306355	0.0394281	0.0426126	0.0387579	0.0360282	0.0383034	0.0447046	0.0610017	0.117479
c'	0.0440727	0.047422	0.0273957	0.0263473	0.0373389	0.0495672	0.0595956	0.0566767	0.0418597	0.0300707	0.0299605	0.029502	0.0220754	0.0109115	0.0108632	0.00998133	0.0108873	0.0122364	0.0152528	0.015112	0.0254041	0.0168696	0.0429739	0.0455818	0.0419099	0.0975842	0.142547
est	0.137507	0.0767693	0.0547307	0.0505203	0.0514099	0.0498173	0.0456974	0.0468755	0.0257928	0.0125873	0.0111022	0.0115027	0.00890032	0.00521019	0.00381412	0.00240395	0.0032696	0.00551134	0.0113123	0.00792828	0.0156065	0.0141947	0.0217211	0.0306456	0.0475097	0.0598352	0.187825
sa	0.207451	0.0936199	0.0455663	0.0383392	0.0298977	0.0262697	0.0262396	0.0166856	0.00824728	0.00618873	0.00654696	0.00762702	0.0118826	0.0096552	0.00804387	0.00696644	0.00787853	0.012289	0.0311481	0.0424081	0.0428161	0.0477432	0.0231724	0.0310692	0.0442653	0.0441871	0.123796
maman	0.0322327	0.0214516	0.0193443	0.0180189	0.0142078	0.0107831	0.00758437	0.00539165	0.00610831	0.011685	0.0139309	0.0158142	0.0166677	0.0153197	0.0230339	0.0107403	0.0133879	0.0377378	0.0460959	0.0415007	0.0601874	0.085309	0.0677448	0.0830639	0.102722	0.0886169	0.131319
</S>	0.129336	0.0485174	0.0347068	0.0223409	0.0103659	0.00843913	0.0057077	0.00464283	0.00481754	0.00313821	0.00378699	0.00592412	0.00597573	0.00577255	0.00768839	0.0118825	0.0147389	0.0255542	0.0329633	0.0325261	0.033185	0.0315377	0.039455	0.0793913	0.106724	0.113418	0.177464
