 	o	s	á	á	b	v	ú	á	b	h	i	á	a	d	z	é	e	e	f	ú	l	u	</S>
les	0.0128145	0.0151703	0.0196058	0.0152409	0.00892025	0.0264488	0.0425276	0.0497501	0.0552317	0.0554122	0.06037	0.0549544	0.0597837	0.0791524	0.0976186	0.0848395	0.0720922	0.0489955	0.0324074	0.0264886	0.0260547	0.028306	0.027815
branches	0.0423933	0.0509941	0.0587944	0.0286126	0.00975887	0.0162551	0.0253536	0.0566926	0.055302	0.1238	0.0966849	0.069472	0.088162	0.0463046	0.0369707	0.0240877	0.0353756	0.0461508	0.0301922	0.0220126	0.0191398	0.00907868	0.00841195
de	0.107478	0.0447982	0.0337598	0.028441	0.0397276	0.0592013	0.065269	0.0436409	0.0401509	0.0262075	0.0247243	0.0269448	0.0328466	0.0446467	0.0621834	0.0475496	0.0631936	0.0276088	0.0344406	0.0383373	0.0383926	0.0487534	0.0217046
ce	0.0230342	0.0302642	0.0459605	0.0573067	0.0584434	0.0525398	0.0510391	0.0506677	0.0406136	0.0387477	0.0397599	0.0370467	0.0422114	0.0680147	0.0936089	0.0360329	0.0278976	0.0219523	0.0257005	0.0285008	0.0355001	0.0406336	0.0545237
safoutier	0.038226	0.0388343	0.0471945	0.0433773	0.0357193	0.0731633	0.0885698	0.0857238	0.0637036	0.0409433	0.0489824	0.0329307	0.0516506	0.0323236	0.020659	0.0133533	0.0225627	0.0307785	0.0368768	0.032666	0.0318561	0.032426	0.0574792
pousse	0.0423861	0.0318967	0.028416	0.0287811	0.0386188	0.0532828	0.0691182	0.06247	0.0513962	0.0494276	0.0802905	0.0614379	0.0671007	0.0363866	0.0219834	0.0100722	0.0135198	0.0165915	0.0312122	0.0315592	0.0363648	0.0435816	0.094106
dans	0.0698895	0.0430339	0.0328838	0.0190882	0.01942	0.0152964	0.0152307	0.0262012	0.01243	0.0192521	0.0217402	0.0187624	0.0155662	0.0115531	0.0152136	0.0282565	0.0688319	0.094165	0.0867337	0.0814941	0.0879291	0.0845068	0.112522
tous	0.0274632	0.0307896	0.0285947	0.0342345	0.0343464	0.0337823	0.0366366	0.036532	0.0282857	0.029897	0.0424696	0.0413983	0.0345108	0.0268203	0.0188713	0.0195561	0.0266908	0.0552123	0.0579928	0.0568221	0.0719063	0.079989	0.147198
les	0.097304	0.0728793	0.0591148	0.0456091	0.0169549	0.0153996	0.0151264	0.0147126	0.00976182	0.0109407	0.0160223	0.0146936	0.0136294	0.0134295	0.00839508	0.00547664	0.0127808	0.0410344	0.0361835	0.0528254	0.0746738	0.137946	0.215107
sens	0.0947838	0.078514	0.0685336	0.048738	0.0267276	0.0242011	0.024806	0.0232777	0.0191751	0.014031	0.0147351	0.0110542	0.00833208	0.00891617	0.00648516	0.00373034	0.0100056	0.0356775	0.0375489	0.051818	0.0662683	0.131364	0.191276
</S>	0.131047	0.0732628	0.0541613	0.051583	0.0365098	0.0190173	0.0145837	0.0136936	0.0251915	0.027467	0.030046	0.0262031	0.0255001	0.0321243	0.0289394	0.0217861	0.0200663	0.0292678	0.0562839	0.0611357	0.0430515	0.0720589	0.10702
