 	o	b	i	a	á	w	a	l	i	w	á	o	t	ú	ú	g	h	á	s	é	l	é	n	g	é	</S>
son	0.00997608	0.00911871	0.00989978	0.00846527	0.00939267	0.0142175	0.0274447	0.0149535	0.0381951	0.0294514	0.0811602	0.103483	0.189622	0.0467978	0.0517264	0.0445734	0.0416748	0.0528177	0.0442031	0.0235338	0.0220024	0.0278216	0.0251284	0.0266623	0.0297619	0.0179166
ami	0.073675	0.218149	0.317741	0.0540681	0.0173912	0.0458854	0.0372598	0.00459252	0.00619908	0.00078765	0.00966098	0.0366297	0.0272038	0.0363299	0.0388257	0.0372038	0.0172233	0.00849941	0.0021616	0.0015323	0.00121799	0.00136535	0.00155477	0.000983162	0.00143614	0.00242402
lui	0.0295437	0.0345163	0.040092	0.062737	0.0469536	0.090604	0.0725273	0.0477308	0.0297103	0.0606188	0.046209	0.101418	0.0827064	0.0700768	0.0656843	0.0554953	0.0125213	0.0104402	0.00386477	0.00228606	0.00199865	0.00464955	0.00297057	0.00256068	0.00688651	0.0151976
a	0.111618	0.149538	0.0647949	0.0799422	0.0842354	0.0676721	0.0627045	0.0402752	0.0200711	0.00922704	0.0213395	0.00571006	0.0133168	0.0119331	0.00621245	0.00678759	0.00532945	0.010535	0.00753329	0.00682686	0.0069102	0.0334834	0.0510191	0.0289473	0.0525518	0.0414853
flanqué	0.0552366	0.0941691	0.0444529	0.0586711	0.043192	0.0368676	0.0341743	0.0270139	0.0207353	0.00740507	0.0135439	0.0148106	0.0283155	0.0358545	0.0279567	0.0267883	0.0319575	0.0272349	0.0309796	0.0318625	0.0299932	0.035362	0.0364572	0.034775	0.0580224	0.114168
un	0.122191	0.117062	0.0503538	0.0445429	0.0302737	0.0232409	0.0181018	0.0214546	0.0185518	0.0174293	0.013452	0.00962149	0.0173649	0.0372665	0.0309902	0.0221145	0.0263684	0.02362	0.0271937	0.0269163	0.0277709	0.0283591	0.0301511	0.0387267	0.0715539	0.105328
bloc	0.0487871	0.079044	0.0537396	0.0525335	0.0450845	0.0288614	0.0236069	0.00974747	0.0151044	0.00267264	0.00668486	0.0149061	0.0371909	0.0398208	0.0295036	0.0213217	0.0247698	0.0174505	0.0281987	0.024242	0.0320617	0.0454631	0.0569085	0.0626373	0.0752531	0.124406
de	0.123134	0.0646495	0.0313967	0.0201373	0.0109412	0.00269749	0.00316502	0.00208913	0.00402067	0.0049987	0.00323192	0.00774044	0.0134859	0.0145439	0.0100366	0.00765402	0.0355623	0.0200043	0.0326618	0.0296423	0.0409978	0.0481871	0.0607438	0.0782785	0.0979276	0.232072
terre	0.112722	0.0531981	0.0217436	0.0103536	0.0050705	0.00392714	0.00350866	0.00219193	0.00267398	0.00252735	0.00320177	0.00739445	0.0288181	0.0123026	0.00696823	0.00795546	0.0238535	0.00848451	0.0369391	0.0273544	0.0338619	0.0827587	0.0956986	0.141026	0.107513	0.157953
ferme	0.0570839	0.0438629	0.0174734	0.0123956	0.00733233	0.00457725	0.00250585	0.00405423	0.00206564	0.00245415	0.00285076	0.00695045	0.014389	0.00634767	0.00420257	0.00507518	0.0246617	0.0134084	0.0350993	0.0369718	0.0402043	0.0931346	0.104078	0.136494	0.131541	0.190786
dans	0.0496204	0.0452196	0.0249427	0.0211963	0.0126315	0.00656301	0.0046893	0.0036492	0.00399549	0.00271962	0.00236116	0.00658893	0.0237464	0.0353525	0.0225232	0.0281861	0.0641971	0.0381671	0.0742301	0.0700797	0.0737812	0.072196	0.0748748	0.0769865	0.0779321	0.08357
la	0.037448	0.0289278	0.0130814	0.00998033	0.00693097	0.00451052	0.00329074	0.00496587	0.00312183	0.00303623	0.00250674	0.00455302	0.0244463	0.025173	0.0156975	0.0285444	0.0740959	0.0720602	0.0779347	0.0798827	0.08001	0.0781124	0.0791543	0.0767762	0.0825498	0.0832091
figure	0.0133788	0.0172243	0.0122417	0.00834568	0.00819689	0.00566714	0.00370211	0.00563507	0.00326599	0.00364538	0.00335842	0.00808295	0.0353099	0.0267151	0.0189579	0.0290061	0.083432	0.0602784	0.0762601	0.065439	0.0805988	0.0926646	0.0835513	0.084506	0.0860356	0.0845009
</S>	0.100234	0.0965345	0.0263144	0.0307866	0.0173787	0.00615429	0.00450593	0.00423166	0.00318875	0.00287913	0.00150555	0.00429176	0.0178227	0.0127825	0.0100562	0.0101836	0.035444	0.0226322	0.0606133	0.0534436	0.0630665	0.0804189	0.0750562	0.0913293	0.0726972	0.0964488
