 	m	w	á	n	a	w	ó	b	ó	l	á	a	d	z	u	n	d	z	á	á	a	t	ú	n	g	u	</S>
cet	0.00379982	0.00361866	0.00881608	0.00378025	0.00321671	0.00337359	0.00509776	0.00570457	0.0380361	0.0496593	0.0793826	0.034606	0.119601	0.136823	0.110359	0.0681174	0.0495034	0.0552936	0.0325973	0.0274998	0.0260629	0.030328	0.0228423	0.022011	0.0226548	0.0209398	0.0162752
enfant	0.283984	0.0454759	0.0458547	0.0508705	0.119932	0.061209	0.0473104	0.0861681	0.0286584	0.0283683	0.0146318	0.0336411	0.0256866	0.0123359	0.0127903	0.0126145	0.0176173	0.0244772	0.0149907	0.00952835	0.010856	0.00691482	0.00247428	0.00104902	0.00155372	0.000686729	0.000321305
est	0.0475992	0.0313384	0.0521391	0.0533949	0.0690733	0.107865	0.0818817	0.0854383	0.0520005	0.0414943	0.0301772	0.0499305	0.0506135	0.0218495	0.0205362	0.0307344	0.0308965	0.0248077	0.0208725	0.0211237	0.012696	0.011126	0.0074913	0.0141315	0.0131503	0.0099505	0.00768792
en	0.0213576	0.011288	0.0159109	0.0168983	0.0257064	0.0358891	0.0448741	0.041029	0.0377888	0.0437876	0.0507888	0.0475831	0.0641076	0.0577611	0.0342829	0.0323327	0.0294281	0.0373561	0.0433499	0.0407066	0.0465438	0.0326109	0.0489842	0.027761	0.0402424	0.0344091	0.0372221
train	0.0400967	0.0202189	0.0301904	0.0367253	0.0280495	0.0222061	0.0216882	0.0275683	0.0323856	0.0396928	0.0359547	0.0331501	0.0595763	0.0471171	0.0364761	0.0326047	0.0306563	0.032666	0.0305073	0.0351075	0.0386837	0.0392144	0.0408131	0.0416157	0.0456571	0.0573511	0.0640267
de	0.0559249	0.0179358	0.0255481	0.0197732	0.0220902	0.0200906	0.0226574	0.0136886	0.0220434	0.0255019	0.0185591	0.0120124	0.010608	0.01156	0.0134217	0.0182413	0.0170887	0.0148962	0.0124919	0.0111746	0.0130198	0.0243512	0.0225638	0.0473554	0.0731084	0.106922	0.327371
se	0.0695609	0.0280575	0.0227793	0.0296262	0.0404348	0.034627	0.0512627	0.0398606	0.0284134	0.0282529	0.0332992	0.0450174	0.0731937	0.0457821	0.0418926	0.0390116	0.0460068	0.0385429	0.0592387	0.0224558	0.0328146	0.0368943	0.0200528	0.0185663	0.0189667	0.02168	0.0337095
gaver	0.0479904	0.0408795	0.0324912	0.032052	0.0342684	0.0412204	0.0483955	0.0437415	0.0282013	0.0287785	0.0268763	0.0403839	0.0306189	0.0201531	0.0190817	0.0257879	0.0166073	0.024453	0.0257185	0.0210719	0.0221372	0.0406416	0.0465958	0.0347504	0.0645869	0.0580119	0.104505
de	0.109191	0.0799968	0.0765847	0.0809162	0.0673354	0.0454002	0.0743014	0.0245478	0.0101892	0.0127426	0.0182753	0.013832	0.0197826	0.0190667	0.0259301	0.0151933	0.0156438	0.0102631	0.0205093	0.0130384	0.0231369	0.0206621	0.0239271	0.0248932	0.0289391	0.0422382	0.0834633
légumes	0.165117	0.0793507	0.0556244	0.0541303	0.038577	0.030127	0.0301329	0.021751	0.0123113	0.013697	0.013209	0.0141302	0.0168443	0.0262087	0.0224393	0.0136705	0.00954739	0.0116617	0.0104048	0.0126954	0.024618	0.0383046	0.0441116	0.0393538	0.0574932	0.0573227	0.0871661
</S>	0.147791	0.0696768	0.0610555	0.0615573	0.0446228	0.0326144	0.0246092	0.0127431	0.0095492	0.0117174	0.010684	0.0133536	0.00616288	0.00692831	0.00814323	0.00690073	0.00573943	0.00621203	0.010451	0.0133713	0.0166173	0.0192447	0.0324464	0.0395942	0.0667693	0.0836717	0.177773
