 	o	b	é	l	a	m	ó	o	t	i	á	l	a	m	w	á	n	d	z	i	m	á	b	ώ	ω	</S>
l'	0.00937524	0.0127268	0.0132558	0.0162551	0.0115775	0.020155	0.0325532	0.0417891	0.0468656	0.0569364	0.0582927	0.0805697	0.0976967	0.0849798	0.0525054	0.0430582	0.0375517	0.0446393	0.0335365	0.0239181	0.0291811	0.0256276	0.0365755	0.0353564	0.0281813	0.0268402
assesseur	0.033896	0.0692272	0.100895	0.0857727	0.0898372	0.0897521	0.0920322	0.0774827	0.0541004	0.0536031	0.0472367	0.0328264	0.0434639	0.0222021	0.00853458	0.00666906	0.00756173	0.0169816	0.0217595	0.01184	0.0156095	0.00528577	0.0053251	0.0049202	0.00178486	0.00139987
parle	0.0668571	0.0241522	0.0271161	0.0242637	0.0321942	0.0330327	0.0555138	0.0576553	0.0697978	0.0681278	0.04822	0.0369666	0.0311535	0.0345395	0.0280694	0.0240756	0.03367	0.070492	0.0547765	0.046302	0.055114	0.0298175	0.0177984	0.0118614	0.00943913	0.00899369
avec	0.0402351	0.0415196	0.0601783	0.0701749	0.09281	0.0688384	0.0694313	0.0595623	0.0916234	0.0644284	0.0423667	0.0299721	0.0303155	0.0164845	0.0280766	0.0311024	0.029519	0.0250819	0.0338594	0.0188148	0.0102795	0.00755624	0.00738498	0.00625033	0.00859623	0.0155381
un	0.043844	0.043711	0.0446783	0.0437402	0.0484607	0.0454305	0.0462951	0.0424449	0.0453675	0.0415305	0.0352881	0.0351756	0.0351708	0.0363869	0.0632639	0.0461175	0.0384418	0.0383984	0.0324972	0.0247822	0.0200839	0.0168938	0.0190597	0.0227929	0.0329411	0.0572032
petit	0.0266256	0.0344452	0.028924	0.0339024	0.0454215	0.0519427	0.0418446	0.0394564	0.0337936	0.0322794	0.0219076	0.0219711	0.0233931	0.0477191	0.074256	0.0607421	0.0729707	0.0705869	0.067023	0.0323686	0.0265662	0.0196865	0.0194875	0.0198725	0.0207721	0.0320415
balai	0.0518731	0.0568457	0.0465116	0.045355	0.0431017	0.0372036	0.0297929	0.0380724	0.032588	0.0327331	0.0235438	0.0279351	0.0154624	0.0099362	0.0107222	0.0108122	0.0130455	0.0146429	0.0369303	0.0401384	0.0476323	0.0474687	0.0522163	0.0550409	0.0688776	0.111518
à	0.0730703	0.0556108	0.0508394	0.050886	0.0531749	0.045479	0.0345069	0.0376011	0.04083	0.0384537	0.0341801	0.0292	0.0262469	0.0238455	0.0508129	0.0283756	0.0302576	0.0349616	0.0416006	0.0351509	0.0268932	0.0225679	0.0223613	0.0185148	0.0333712	0.0612078
la	0.111947	0.0598053	0.0509671	0.0458568	0.0436363	0.033041	0.0229109	0.0300424	0.0274729	0.0197872	0.0182496	0.0153542	0.0162678	0.011986	0.0167718	0.0124652	0.0124036	0.0165454	0.0541126	0.0437759	0.0319333	0.0374281	0.0438419	0.0420262	0.0738694	0.107502
main	0.0522666	0.0356397	0.0288673	0.0232481	0.0229508	0.0183055	0.0146587	0.0196179	0.0154771	0.0113291	0.0113852	0.0103085	0.00736054	0.00343832	0.0055936	0.00714033	0.00447525	0.00531461	0.0176138	0.0258634	0.0241325	0.03116	0.0602564	0.0738639	0.177291	0.292442
</S>	0.100999	0.07128	0.068857	0.0643613	0.0638674	0.0425098	0.0316807	0.0307948	0.0205344	0.00834377	0.00630818	0.00562996	0.0038055	0.00293854	0.00759976	0.00748752	0.0124945	0.0121786	0.0239897	0.0307725	0.0295572	0.0491181	0.0538375	0.0499003	0.0754111	0.125743
