 	o	k	y	é	n	i	s	i	w	a	o	n	g	a	n	g	a	m	ú	u	á	d	z	a	t	á	á	</S>
c'	0.0156218	0.0178923	0.0160947	0.0223747	0.017066	0.033531	0.0431644	0.0607937	0.0719731	0.117488	0.0771322	0.051709	0.0268982	0.0146333	0.0142062	0.019243	0.0196555	0.0118163	0.0164714	0.0188578	0.0347719	0.0411502	0.0479953	0.048238	0.0374307	0.0405063	0.0415457	0.0217389
est	0.0871321	0.0832191	0.116727	0.0258835	0.0434685	0.0271617	0.0392122	0.0664938	0.0455948	0.0566526	0.0648734	0.132162	0.028096	0.0363766	0.0156688	0.0121197	0.0109011	0.00874059	0.00541876	0.00957349	0.00680454	0.00644832	0.0137436	0.015209	0.00816911	0.0135035	0.0142187	0.00642785
son	0.0209598	0.0257352	0.0268222	0.0392958	0.0682634	0.0671526	0.0447034	0.0310308	0.0342503	0.129707	0.0816223	0.0619962	0.0403516	0.0399479	0.0472348	0.0426582	0.0427282	0.0312701	0.0168755	0.00748402	0.0174837	0.00516118	0.00946434	0.00393217	0.00842082	0.0161127	0.0182602	0.0210753
père	0.0122235	0.0215982	0.0260941	0.0237089	0.0192546	0.0108896	0.0167929	0.0124534	0.0293909	0.0831079	0.0838392	0.0850738	0.0893285	0.0607821	0.131179	0.0860038	0.0633067	0.0403868	0.0233535	0.0152277	0.0118849	0.00638077	0.00808157	0.00513886	0.00416985	0.00941039	0.0101653	0.0107731
qui	0.0379765	0.0320891	0.03219	0.0196692	0.0257943	0.0365742	0.0447425	0.0591074	0.0297445	0.0558621	0.0445166	0.0254683	0.0358969	0.0376122	0.076288	0.0410707	0.0417759	0.0689133	0.0229441	0.017316	0.0119149	0.00823859	0.011778	0.0250805	0.0162613	0.0296754	0.0435662	0.0679332
l'	0.0297039	0.0594402	0.0707691	0.0616093	0.0604998	0.0434022	0.033748	0.0431005	0.0306742	0.030631	0.0416134	0.0258685	0.0324845	0.0408492	0.044283	0.0402874	0.0224313	0.033084	0.0229261	0.0237998	0.0143701	0.024731	0.0216136	0.0244743	0.0137003	0.0313562	0.0332089	0.0453403
avait	0.0327924	0.0523053	0.0684671	0.0484116	0.0395424	0.0304686	0.0311046	0.0387076	0.0224026	0.0221506	0.025223	0.0206821	0.04038	0.0400121	0.0456269	0.0364906	0.0235051	0.0446442	0.0266435	0.0211074	0.0271283	0.0145783	0.0247679	0.0289028	0.0193827	0.0378223	0.0457755	0.0909746
initié	0.109875	0.0838861	0.0776006	0.039722	0.0356722	0.0346445	0.0288858	0.0297647	0.0156689	0.0192572	0.0213473	0.0176946	0.0407912	0.0382467	0.0329186	0.0249549	0.0161989	0.0569896	0.026444	0.0245997	0.0192084	0.0134586	0.0259091	0.030386	0.0259213	0.0231858	0.0317471	0.0550209
à	0.0402411	0.0354325	0.0293894	0.0250713	0.0215156	0.0231682	0.0186575	0.0158736	0.00959442	0.00740482	0.00972404	0.00800885	0.0235001	0.0162441	0.0356037	0.0351169	0.0253654	0.0599106	0.0386077	0.0498263	0.0349537	0.0449146	0.0417563	0.0649944	0.0460403	0.068897	0.0655491	0.104639
ce	0.0397043	0.0298483	0.0255676	0.0229165	0.0195112	0.0121478	0.00639624	0.00451829	0.00435517	0.00431989	0.00583118	0.00790812	0.015798	0.0110649	0.0172466	0.0206974	0.0224407	0.0424119	0.053666	0.0588667	0.0532371	0.0728431	0.0634175	0.0703742	0.0709938	0.0753454	0.0783755	0.0901964
culte	0.0752241	0.0465957	0.0325522	0.0256586	0.0148863	0.00772058	0.00643602	0.00532134	0.006467	0.00547835	0.00595894	0.00801599	0.0243089	0.011315	0.0265759	0.0286623	0.021933	0.0323959	0.0474533	0.0426274	0.0459515	0.0438669	0.0489934	0.0583623	0.0544338	0.0727263	0.0767179	0.123361
mystique	0.0473795	0.0309061	0.0277027	0.017007	0.0197077	0.0241567	0.0326818	0.0288329	0.0178999	0.016799	0.0131567	0.0119516	0.019397	0.0343443	0.0326355	0.0328414	0.0212753	0.0427998	0.0522798	0.0724444	0.0556571	0.0385467	0.043098	0.0498564	0.0510074	0.0401946	0.0484712	0.0769694
</S>	0.043883	0.0294026	0.0291789	0.0275119	0.0356701	0.0440862	0.0535011	0.0454531	0.0314783	0.0208993	0.0167283	0.0112564	0.0124972	0.0151479	0.024347	0.0239697	0.0396019	0.0421759	0.04143	0.0365327	0.0336607	0.0559583	0.0420066	0.0443618	0.0384806	0.043699	0.0407148	0.0763667
