 	o	b	o	s	ó	b	í	d	z	á	a	l	á	b	e	a	b	á	p	ó	a	k	á	a	l	é	e	y	ú	n	g	á	b	i	a	</S>
avant	0.0101923	0.0108142	0.00887453	0.00859643	0.0141907	0.0162302	0.0299429	0.0424308	0.0610883	0.0668633	0.0476512	0.0475306	0.0538706	0.0345438	0.0286511	0.0286956	0.0362021	0.0505663	0.022782	0.0382269	0.020456	0.0238708	0.0175936	0.01788	0.0148116	0.0141636	0.0115019	0.0169318	0.0201327	0.0209994	0.0238091	0.0332531	0.0347463	0.0310005	0.0244649	0.0164411
de	0.0970528	0.0396869	0.0364839	0.0242871	0.0222996	0.0255795	0.0182146	0.0189967	0.0217854	0.019128	0.0182102	0.0162006	0.0153275	0.0202985	0.0297631	0.0120286	0.0173536	0.0311957	0.0403398	0.049751	0.067883	0.0509387	0.0443864	0.0310366	0.021183	0.0244804	0.0240947	0.0379551	0.0282822	0.0280489	0.0157493	0.00970157	0.0133434	0.0103801	0.0108415	0.00771215
manger	0.101165	0.0574012	0.0403644	0.0302442	0.0331355	0.0470156	0.0284062	0.0428944	0.0338316	0.0286073	0.0198804	0.0119928	0.0117019	0.0135629	0.0135433	0.00575456	0.0103422	0.0147544	0.013876	0.00935118	0.0190135	0.0244023	0.0389606	0.0437596	0.0389722	0.031923	0.0168488	0.0154206	0.0187212	0.0210461	0.0153053	0.0341711	0.0398636	0.0386922	0.0213281	0.0137465
la	0.0300436	0.0255931	0.0289457	0.0313193	0.0304847	0.0270534	0.0169934	0.0308428	0.0287261	0.0236095	0.017794	0.0222448	0.0197855	0.0325239	0.0238431	0.0145126	0.0204025	0.0245002	0.0328452	0.0159109	0.0357079	0.0346751	0.067563	0.0660674	0.0638357	0.0331603	0.024727	0.0202415	0.0214298	0.0155041	0.0138921	0.0211528	0.0204533	0.0257541	0.0191291	0.0187325
nourriture	0.0198637	0.0190613	0.0275515	0.0322047	0.0332036	0.0272769	0.0265551	0.0208351	0.0221463	0.027266	0.0252417	0.0293519	0.0367303	0.0450896	0.0260685	0.0477077	0.043709	0.018774	0.0248309	0.022992	0.0272663	0.0290352	0.0225892	0.0303838	0.0380461	0.0374072	0.0313541	0.0258657	0.023556	0.0196558	0.0211743	0.0176743	0.0131068	0.0164371	0.020309	0.0496795
d'	0.0205818	0.0194541	0.0306026	0.0325847	0.0363848	0.0469722	0.0437726	0.047458	0.0499088	0.064072	0.0669775	0.0663368	0.0527662	0.0534252	0.0335774	0.0330295	0.0285722	0.011524	0.0162675	0.0111613	0.0139679	0.015796	0.0167504	0.0207251	0.0181851	0.0141861	0.0143376	0.010575	0.0104554	0.00823346	0.0106302	0.00633521	0.00613084	0.00707084	0.00975046	0.0514411
hier	0.0351295	0.0315797	0.0320842	0.0250149	0.0219606	0.023878	0.017698	0.0236792	0.0218463	0.0190485	0.0152736	0.0157428	0.0156881	0.01644	0.0135408	0.0162019	0.0150837	0.0110884	0.0133791	0.0146265	0.0151838	0.0191472	0.0203576	0.030921	0.0420777	0.039676	0.0407337	0.0378394	0.0387525	0.0402838	0.0470611	0.0424494	0.0376475	0.0328412	0.0450152	0.0710291
il	0.0394024	0.0328106	0.0308173	0.0286494	0.0281177	0.0276257	0.0229396	0.0179724	0.0172546	0.0199748	0.016896	0.0254575	0.0373372	0.0413352	0.0264908	0.035494	0.023425	0.0164501	0.0154621	0.0181818	0.0164159	0.0213884	0.0215638	0.0219905	0.0304349	0.0286871	0.0314728	0.025832	0.0264574	0.0267133	0.0363692	0.0326267	0.0244358	0.0235953	0.0342194	0.0757034
faut	0.0768134	0.0463347	0.0352244	0.0360205	0.0327914	0.0294971	0.0223487	0.0163105	0.0131793	0.0095588	0.0093239	0.0110336	0.0241894	0.030037	0.0241762	0.0235157	0.0157477	0.0180112	0.0179348	0.0198277	0.0214238	0.0216034	0.0225978	0.017193	0.0212754	0.0218726	0.0253522	0.0269659	0.0311552	0.0333141	0.0367981	0.0397419	0.0387671	0.0379344	0.0399205	0.0522085
la	0.0452163	0.0297066	0.0233303	0.0248196	0.0218612	0.0174794	0.0164619	0.0141638	0.0120111	0.00986636	0.011199	0.0127491	0.0177292	0.0182081	0.0164293	0.0155807	0.0126783	0.0127109	0.0127284	0.0137657	0.0158601	0.0165946	0.0207387	0.0198474	0.0224472	0.0244597	0.0302975	0.0390811	0.041067	0.0527565	0.0567553	0.0585578	0.0615052	0.0583642	0.0578925	0.06508
réchauffer	0.0411115	0.0267595	0.0218791	0.017169	0.0140613	0.0119028	0.0109125	0.0132478	0.0124745	0.0109896	0.0122954	0.013424	0.0152422	0.0158116	0.0160839	0.0170775	0.0155263	0.0198627	0.0226192	0.0253674	0.0292949	0.0330333	0.0352034	0.0344241	0.0349799	0.027512	0.0256444	0.0283728	0.0196648	0.0360692	0.0310938	0.0373902	0.0500915	0.0665047	0.056137	0.100766
</S>	0.0723236	0.0471629	0.0464247	0.0495953	0.0469468	0.0326715	0.0314858	0.0235151	0.0181791	0.0115999	0.0086803	0.00704762	0.00881432	0.00876903	0.0130665	0.00620641	0.00450174	0.00723083	0.00736652	0.00755057	0.00880092	0.00907909	0.0103846	0.0147651	0.0196901	0.0255305	0.0333875	0.032902	0.0384104	0.0452677	0.0519068	0.0451266	0.0456693	0.0324193	0.0524852	0.0750361
