 	e	k	w	á	b	h	í	r	í	r	í	y	é	é	k	w	á	b	h	í	r	á	w	a	m	í	s	i	y	é	y	á	m	í	b	h	i	</S>
cette	0.00669975	0.00733239	0.00789084	0.0167424	0.0190309	0.0110824	0.0186502	0.0275077	0.0285253	0.0338238	0.0259426	0.0526419	0.0769653	0.0662613	0.0463088	0.0255751	0.0404706	0.0263751	0.0236672	0.0245268	0.0332525	0.0314243	0.0347504	0.0269609	0.022557	0.0178045	0.0150496	0.0128548	0.0171032	0.0150328	0.0251149	0.015592	0.0273157	0.0242643	0.0256589	0.0310556	0.0191057	0.0190824
manière	0.0443601	0.0751887	0.0514012	0.0403619	0.0419515	0.00784288	0.0219489	0.0142763	0.01005	0.0113593	0.0218953	0.0198754	0.0192904	0.0145457	0.0262609	0.0126043	0.0238679	0.0281281	0.041714	0.061519	0.0259749	0.0434796	0.0246838	0.0841571	0.027824	0.0278058	0.025867	0.0202664	0.010855	0.0105293	0.0181716	0.0282195	0.0231154	0.0178128	0.00889547	0.00607428	0.00411854	0.00370757
de	0.214262	0.0854961	0.0474597	0.0297181	0.0437447	0.0254772	0.0232619	0.0110878	0.0104388	0.00720779	0.0141041	0.0128879	0.00885069	0.01281	0.0168355	0.0259485	0.0215798	0.0239518	0.0470316	0.0298348	0.0216682	0.0268977	0.0186059	0.0221654	0.0149611	0.0102046	0.00921513	0.010046	0.0116373	0.00670044	0.0120049	0.0107628	0.0107212	0.0219391	0.0140203	0.0134579	0.021395	0.0316078
battre	0.0679865	0.0795745	0.0583552	0.0362429	0.0391081	0.0256162	0.0245977	0.0342758	0.0483338	0.0407436	0.0311085	0.0329053	0.0133552	0.0145551	0.0140044	0.00571042	0.013973	0.00797027	0.0116049	0.009705	0.029125	0.0109652	0.03478	0.0363522	0.0232335	0.0118462	0.0183651	0.0159174	0.0146366	0.0101291	0.0157017	0.0192212	0.0175742	0.0263031	0.0179433	0.0242167	0.0127012	0.0512621
les	0.0394213	0.0780544	0.0676239	0.0583176	0.0629696	0.0625286	0.0726485	0.0531115	0.04877	0.0228204	0.0305452	0.019557	0.0161338	0.0209514	0.0160603	0.0153409	0.0164464	0.0252818	0.0224605	0.0123049	0.0175136	0.015183	0.0109836	0.00906512	0.0064697	0.00666724	0.00699925	0.0110192	0.00810832	0.00764905	0.00912355	0.00972957	0.0117602	0.0168767	0.0186127	0.0185715	0.0184836	0.0358361
paupières	0.0319648	0.0453839	0.0415603	0.0445418	0.121722	0.0269311	0.047723	0.0376558	0.0357717	0.0116891	0.0179889	0.0196645	0.0143293	0.0171565	0.0141571	0.0087599	0.0153263	0.0138135	0.0254519	0.0244804	0.00944679	0.0226614	0.0107411	0.020609	0.0190633	0.0116218	0.0178268	0.0181295	0.0157549	0.0173104	0.0202892	0.0231786	0.0302704	0.0231469	0.0217555	0.0226375	0.0292796	0.050206
est	0.050902	0.0654369	0.0587464	0.0526261	0.0712654	0.0589692	0.0392621	0.021537	0.0357334	0.019906	0.0216714	0.0192316	0.0135366	0.00919777	0.0150542	0.00928675	0.0160696	0.0289481	0.0233212	0.0264887	0.0296823	0.0310125	0.0269199	0.0292472	0.0247977	0.0235622	0.0208108	0.0191869	0.0118637	0.0139853	0.0124117	0.0114542	0.0126527	0.0109017	0.00895881	0.00974806	0.0121795	0.0334342
celle	0.0603094	0.055552	0.0534664	0.0430305	0.0636051	0.0493161	0.0413254	0.0390157	0.0347188	0.0169912	0.0211698	0.0261799	0.0134469	0.0147484	0.0137034	0.0127978	0.0187247	0.0223484	0.0173464	0.0268299	0.0187984	0.0230939	0.00942246	0.014339	0.0111684	0.0151887	0.0213486	0.0172897	0.0138997	0.0218081	0.014963	0.0188906	0.0230294	0.0137476	0.0145603	0.0193221	0.0240118	0.0604921
des	0.0686281	0.055252	0.0374715	0.0359563	0.0345952	0.0365871	0.0279338	0.0301533	0.0504675	0.0446434	0.0499803	0.0476362	0.0253027	0.0166335	0.0156571	0.0138982	0.0178342	0.0276668	0.0223943	0.0291901	0.0187453	0.0246747	0.0108515	0.00943084	0.00745637	0.00825978	0.0126141	0.0125879	0.00922395	0.0153932	0.0120442	0.0116963	0.0163848	0.00842691	0.00927236	0.0151054	0.0264938	0.0834569
escrocs	0.0249899	0.0280137	0.0280093	0.0225882	0.0183176	0.0212829	0.0139316	0.0151628	0.0134245	0.00806384	0.00764855	0.0134378	0.0085393	0.0135823	0.0151351	0.0147633	0.0212314	0.0185323	0.0187809	0.0271293	0.0268417	0.0367418	0.0280759	0.0214343	0.0174653	0.0166651	0.0245398	0.0244096	0.0264204	0.0301127	0.028912	0.0207926	0.0372223	0.028248	0.0410926	0.057712	0.0776727	0.103077
</S>	0.0416247	0.0496384	0.0396675	0.030228	0.0325777	0.0303371	0.0274942	0.0223846	0.0238211	0.0135245	0.0167382	0.0167979	0.0110924	0.0125042	0.0136582	0.0147681	0.0167454	0.0215283	0.0192412	0.0196125	0.0259138	0.0246962	0.0223035	0.0168889	0.014416	0.0114186	0.0179212	0.0169712	0.0145185	0.0219007	0.0149622	0.0137084	0.0300616	0.0181244	0.0336868	0.051294	0.0597495	0.11748
