 	a	s	e	n	d	z	á	a	d	í	m	b	v	u	l	u	d	í	i	b	h	ω	ω	l	í	í	k	ώ	n	d	ώ	w	á	o	k	y	a	</S>
asenza	0.0496866	0.0234601	0.0292382	0.0160364	0.027331	0.0215942	0.0237963	0.03912	0.0316506	0.036693	0.0357656	0.0388621	0.0385184	0.0398444	0.0444699	0.0404464	0.0380315	0.0355547	0.032108	0.0234412	0.0239411	0.0193637	0.00765141	0.00759478	0.00720975	0.017537	0.0125454	0.0148104	0.0260442	0.0233495	0.0231657	0.0247522	0.0315179	0.0263175	0.0234612	0.0206121	0.0125597	0.011918
est	0.0406281	0.0747247	0.038227	0.0265245	0.0300481	0.0193446	0.0238758	0.0162141	0.0137503	0.0214961	0.0241561	0.0190825	0.0116003	0.0120544	0.0220895	0.0260021	0.0210286	0.0154961	0.0281534	0.0282394	0.0874882	0.0553475	0.0649927	0.032086	0.0253775	0.0266925	0.0195749	0.0160937	0.0117373	0.0149137	0.0110022	0.018568	0.013444	0.0213984	0.019695	0.0134228	0.0150461	0.0203842
un	0.0628249	0.05602	0.0381078	0.0265121	0.0206294	0.0256001	0.0245563	0.0181598	0.0443573	0.0556053	0.0390847	0.0348003	0.0482983	0.0374055	0.025564	0.0768671	0.055628	0.0487754	0.0193503	0.0236213	0.00834194	0.0168729	0.0159103	0.0238112	0.0105479	0.0124843	0.00911857	0.00915524	0.00964201	0.0091165	0.0102219	0.0152718	0.0114188	0.0190452	0.0130082	0.00880755	0.00826648	0.00719151
imbécile	0.0412	0.0410777	0.0348693	0.0376455	0.041812	0.0580846	0.0575818	0.0715791	0.0656915	0.0526428	0.026219	0.0262835	0.0228925	0.0218582	0.0154842	0.0303201	0.0177225	0.0133093	0.0137255	0.0163265	0.0185225	0.0376288	0.0330916	0.0264557	0.0168925	0.0109526	0.0149621	0.0105867	0.0137609	0.020007	0.0112921	0.0129136	0.0114139	0.0176001	0.0139943	0.00768747	0.00715862	0.00875385
comment	0.124119	0.0770758	0.0301462	0.0428804	0.0331495	0.0308	0.0378003	0.0320874	0.0445424	0.0935663	0.0528485	0.043252	0.0399583	0.0284665	0.0290438	0.0231843	0.032438	0.0274326	0.0159769	0.0103642	0.00449641	0.00763484	0.00988954	0.0112666	0.00434092	0.00442789	0.00540043	0.00543523	0.00526899	0.00560092	0.00660544	0.00858462	0.00793545	0.0135397	0.00998155	0.00966038	0.00946664	0.0213322
est-il	0.0274959	0.0161799	0.0234474	0.0316132	0.0488216	0.0509222	0.0544541	0.0503133	0.0529782	0.0444577	0.037439	0.0316976	0.0388672	0.0393734	0.03668	0.0254961	0.0197146	0.022235	0.0201972	0.00769325	0.00678961	0.0113255	0.0119922	0.00875816	0.00574762	0.00386071	0.0109752	0.00954681	0.0110544	0.0193108	0.0175447	0.0405165	0.0237228	0.0393401	0.0372434	0.0244242	0.0205558	0.0172146
incapable	0.041021	0.0198782	0.0209443	0.0286305	0.0364101	0.0392534	0.0392806	0.0299614	0.0258329	0.0203407	0.0189112	0.0197786	0.0276832	0.0252875	0.0292768	0.0241367	0.0163433	0.0174816	0.0192726	0.0159316	0.014905	0.0162308	0.0195131	0.0217129	0.0210146	0.0158936	0.0230457	0.0300502	0.0333132	0.0288919	0.0228153	0.0301775	0.0187356	0.0263751	0.0265773	0.0321602	0.0389948	0.0639372
de	0.0445323	0.0158068	0.0134742	0.0163623	0.0195517	0.0235643	0.0321187	0.0336276	0.0330983	0.0363282	0.0317144	0.0222522	0.0167351	0.0124374	0.0141884	0.00892647	0.00711165	0.00650253	0.00929939	0.00654998	0.0130371	0.0132542	0.0217746	0.0150588	0.023898	0.043865	0.0343016	0.0379524	0.0461694	0.045423	0.0331328	0.0299114	0.0248157	0.0293807	0.0311149	0.0357322	0.042501	0.0744954
résoudre	0.0534333	0.0355049	0.0331153	0.0249787	0.0242896	0.0192344	0.0155213	0.00750603	0.00708486	0.00683221	0.00885461	0.00661892	0.00694635	0.00822089	0.00771847	0.00694684	0.00485638	0.00447122	0.00677188	0.00708735	0.0197711	0.0211403	0.0398059	0.0230197	0.0298076	0.0251112	0.0292799	0.0320767	0.0294392	0.0301097	0.0296959	0.0529223	0.0416893	0.053586	0.0543131	0.0569625	0.0622014	0.0730744
cette	0.085544	0.0391207	0.0325468	0.0299812	0.0279618	0.026177	0.0230166	0.0144789	0.0137585	0.0106254	0.010714	0.0105984	0.00930833	0.00821647	0.00625177	0.00573452	0.00565282	0.00639567	0.00781243	0.00850519	0.0174224	0.0196261	0.0286075	0.0251711	0.0204774	0.0420125	0.0299992	0.0448451	0.044175	0.0406469	0.0287034	0.0314809	0.0200679	0.0238496	0.0277684	0.0279779	0.0359778	0.10879
