 	p	έ	n	g	á	m	ú	a	l	a	o	k	ó	r	ó	w	á	á	k	a	á	l	í	i	k	w	ε	r	έ	n	ώ	m	b	a	e	</S>
donne-le	0.0121736	0.00875191	0.010439	0.0149376	0.0265351	0.043787	0.0344654	0.0603467	0.0502526	0.0733674	0.0633445	0.0718321	0.0707931	0.0526642	0.0523187	0.0308041	0.0306147	0.0307713	0.0216019	0.0267839	0.022849	0.0158777	0.013787	0.013619	0.0105087	0.00906096	0.0100569	0.00772401	0.0106445	0.0125221	0.0166829	0.0230653	0.0163809	0.01328	0.00798413	0.00937181
moi	0.0674804	0.099839	0.0498902	0.0268913	0.0339383	0.0208355	0.022241	0.020672	0.021976	0.0244456	0.0255463	0.0393313	0.03875	0.0268068	0.032874	0.0449715	0.0367686	0.056034	0.0461363	0.0528478	0.0344969	0.0281717	0.0266389	0.0196262	0.0162691	0.00776464	0.0111807	0.00801876	0.00944293	0.00664583	0.00699432	0.0116244	0.00325759	0.00774594	0.00833558	0.00551048
tout	0.0414017	0.0446446	0.0425083	0.0466425	0.0266924	0.0253336	0.0292046	0.0196334	0.0309969	0.0272459	0.0313661	0.033749	0.0371685	0.0306397	0.0233023	0.0107084	0.0202931	0.0164451	0.0195344	0.0320094	0.0202439	0.0339119	0.0262312	0.0237621	0.020533	0.0252055	0.026682	0.0235861	0.0323491	0.0301799	0.0256855	0.0300201	0.0257907	0.0239495	0.0261585	0.0161911
de	0.0628119	0.0606718	0.0497965	0.0506204	0.0478023	0.0508441	0.0550602	0.028228	0.0369588	0.0337219	0.0203612	0.0229797	0.0260744	0.0168199	0.0300243	0.0132961	0.0162903	0.0192439	0.023914	0.0383351	0.0204659	0.0174692	0.0163602	0.0213642	0.0151749	0.0181954	0.0172731	0.0137999	0.0144122	0.0170713	0.0144916	0.0176166	0.0182461	0.0149578	0.0253905	0.0338562
suite	0.0277772	0.0263842	0.0216864	0.0286005	0.0226809	0.0265704	0.026126	0.0246728	0.0256094	0.0269818	0.0281725	0.0447036	0.0450547	0.0352255	0.0735359	0.0367512	0.0319972	0.0213801	0.0250583	0.0478243	0.0245452	0.039507	0.0267759	0.0271154	0.0232867	0.0335773	0.0254635	0.0224479	0.00810595	0.0070339	0.00650724	0.00691904	0.00782899	0.0100642	0.024354	0.0596748
autrement	0.0156413	0.018541	0.0156821	0.0293869	0.029468	0.0343446	0.031323	0.0323903	0.0365693	0.0347109	0.0396764	0.0431938	0.0455714	0.0469964	0.0619628	0.034314	0.0380649	0.0113664	0.0314074	0.036488	0.0262657	0.0314338	0.02089	0.023269	0.0149489	0.0164421	0.0190396	0.0182911	0.00911973	0.00933256	0.00849027	0.00651359	0.00931832	0.0098495	0.0188261	0.090871
tu	0.0345022	0.0337275	0.0326116	0.0333207	0.0332805	0.033497	0.0334894	0.0297195	0.0320249	0.0265577	0.031341	0.0364397	0.0320749	0.0348826	0.0361175	0.0239216	0.02346	0.020189	0.0239862	0.028633	0.0168905	0.0142466	0.0172446	0.0220034	0.0185376	0.0207715	0.0182101	0.01756	0.0121567	0.0159361	0.0150563	0.0170889	0.0155989	0.0228914	0.0452237	0.0968073
seras	0.0282926	0.0262855	0.0252759	0.0248421	0.024456	0.0260529	0.0243845	0.0235608	0.0183956	0.0343022	0.0406979	0.0508793	0.0413682	0.0369994	0.0310982	0.0291951	0.0176623	0.0140735	0.0210136	0.0287522	0.00567401	0.00585147	0.00995635	0.0151191	0.0114967	0.0175297	0.0213682	0.0209169	0.0195461	0.0291422	0.028715	0.0317723	0.0283332	0.038091	0.0609177	0.0879825
puni	0.0685472	0.0397848	0.0296004	0.022972	0.0146365	0.0134427	0.01668	0.0233329	0.0168439	0.0546188	0.0500286	0.054425	0.0401834	0.0434915	0.0279841	0.026444	0.0187032	0.0253473	0.0329183	0.0441196	0.0162783	0.0133798	0.0130114	0.0142319	0.00630301	0.0145063	0.0152046	0.0102362	0.012251	0.0145073	0.0174109	0.0215075	0.0230548	0.0334319	0.0404185	0.0701621
</S>	0.0394835	0.0314797	0.0306229	0.0285701	0.0234736	0.012674	0.00931222	0.00793522	0.00928878	0.0130438	0.0114238	0.0157234	0.0111531	0.0117534	0.0094913	0.00911082	0.00438314	0.00374765	0.00704585	0.0142303	0.00563007	0.00760806	0.0117071	0.0156491	0.0118637	0.0328307	0.0294055	0.0263647	0.0235376	0.0391756	0.0513661	0.0648394	0.0661261	0.0856052	0.0958246	0.12852
