 	n	ω	l	ó	o	t	í	m	á	a	b	é	á	o	t	s	a	o	t	s	a	o	k	í	í	s	i	m	á	a	n	d	a	</S>
tu	0.0105855	0.0111841	0.0138646	0.0192004	0.0207497	0.0314161	0.0469716	0.0464832	0.0443475	0.043652	0.0432499	0.0314715	0.0286461	0.0527842	0.0680796	0.0797948	0.0469285	0.0352583	0.0123568	0.0140286	0.0109228	0.0146928	0.0107602	0.0102248	0.0157264	0.0233418	0.0219543	0.0300365	0.0325475	0.0296464	0.029743	0.0264124	0.0253117	0.0176264
creuses	0.0894689	0.0462249	0.0336944	0.0228865	0.0170325	0.0176255	0.0168538	0.032173	0.0338204	0.0786178	0.0841158	0.0759467	0.080411	0.0779057	0.0781119	0.0629458	0.0321687	0.0148621	0.004108	0.00467046	0.00689732	0.0114688	0.00223921	0.00344093	0.00416307	0.00659734	0.00620849	0.00424469	0.00590966	0.00967307	0.00846711	0.00488987	0.00750761	0.0146492
des	0.0502083	0.0450794	0.0289038	0.0185497	0.016772	0.0218258	0.0192118	0.0256401	0.0189528	0.0218091	0.0122339	0.0107302	0.0112016	0.014515	0.0155738	0.015627	0.0155981	0.0222243	0.0231509	0.0344589	0.0378779	0.0497773	0.0313011	0.0271214	0.0516753	0.0619984	0.0485576	0.0343707	0.0398804	0.0375248	0.0353191	0.0360817	0.0402314	0.0260168
trous	0.0147043	0.0241503	0.0257606	0.0345978	0.044934	0.0320869	0.0258675	0.0168251	0.0138487	0.0133708	0.0119271	0.010597	0.0112084	0.00978173	0.0120127	0.0119988	0.0169855	0.0223753	0.0439867	0.0608886	0.0451532	0.0451639	0.0756129	0.0631003	0.0794693	0.0848349	0.035815	0.0144143	0.0142742	0.00944422	0.0110604	0.0120491	0.0162831	0.0354177
partout	0.0239199	0.0189862	0.0181012	0.0167122	0.0172316	0.0237048	0.0330094	0.0320278	0.0264664	0.0234861	0.0223698	0.0178627	0.0240152	0.0192098	0.0293178	0.0220522	0.0270162	0.0316731	0.0507604	0.0556501	0.0379653	0.0433648	0.0674301	0.0634789	0.0513241	0.0457975	0.0219466	0.0106029	0.0105748	0.00770635	0.00792606	0.0135403	0.0174533	0.0673163
qui	0.0329847	0.0291245	0.0247806	0.0247555	0.0222733	0.0329959	0.0462181	0.074172	0.0397142	0.0304361	0.0348465	0.0271256	0.0243215	0.0214933	0.0322524	0.0280305	0.0481567	0.0348373	0.0308503	0.0392718	0.0261192	0.0378523	0.0457221	0.0452373	0.0250788	0.0212393	0.0162586	0.0102124	0.00935798	0.00627428	0.0093811	0.00936495	0.00875166	0.0505088
va	0.0285023	0.0254146	0.0227	0.0259915	0.0256051	0.016872	0.0198232	0.0265286	0.0354402	0.0486441	0.046458	0.0395525	0.0523573	0.0449317	0.0471392	0.0325164	0.0327378	0.0192289	0.0206536	0.0201168	0.0170997	0.0166253	0.0244669	0.0224367	0.0245139	0.0330699	0.0318703	0.0157892	0.0162936	0.0131961	0.0151531	0.0223255	0.0325496	0.0833963
les	0.0146654	0.0149145	0.0155701	0.0165224	0.0252704	0.0250366	0.0380231	0.0459865	0.0338938	0.0418747	0.050023	0.0494594	0.057567	0.0672266	0.078318	0.0474613	0.0268612	0.0180328	0.00977314	0.00969435	0.00846323	0.00953179	0.010448	0.00757794	0.014803	0.0184104	0.018749	0.0113124	0.0139641	0.0135964	0.014163	0.0206577	0.0315388	0.12061
remblayer	0.0171572	0.0153762	0.0093777	0.00829348	0.00694937	0.00947898	0.0267612	0.0310604	0.0465592	0.0657412	0.051032	0.045586	0.0572491	0.037956	0.0429767	0.0335269	0.0260706	0.0187045	0.0132835	0.0123384	0.0185052	0.0204381	0.0214788	0.0189757	0.0143782	0.014267	0.0226516	0.0154429	0.0171391	0.0137056	0.0330863	0.0187609	0.0554637	0.140228
</S>	0.0343311	0.0298884	0.0293725	0.0257424	0.0230947	0.0183417	0.0200946	0.0208272	0.0213497	0.0220279	0.0252578	0.0217203	0.0227138	0.0156934	0.0180497	0.0133919	0.00985902	0.0115941	0.0148814	0.019871	0.0149344	0.0176432	0.0157174	0.014938	0.0212046	0.0325661	0.0303379	0.0240037	0.0254463	0.0267852	0.028996	0.0353384	0.0502836	0.243702
