 	s	á	p	o	o	y	á	b	í	s	í	é	d	í	l	e	n	y	i	i	y	á	m	b	í	a	</S>
dans	0.0198866	0.0286958	0.0263004	0.0274617	0.026943	0.0256234	0.0331226	0.0421828	0.0512012	0.0572249	0.0682644	0.0861607	0.0845171	0.0569705	0.0452098	0.0366529	0.0269487	0.0144333	0.018774	0.0220849	0.0217916	0.0301862	0.0306485	0.0354438	0.0311836	0.0306323	0.0214551
notre	0.0660428	0.0626049	0.0354042	0.0313255	0.0448343	0.0520237	0.0466155	0.0435265	0.0371787	0.0196499	0.0153715	0.0249053	0.116754	0.0961375	0.097915	0.0609265	0.018807	0.0200816	0.0112601	0.0150603	0.0150539	0.00909534	0.0067952	0.00905571	0.00805428	0.0158275	0.019693
village	0.0326196	0.0357127	0.0361051	0.0160612	0.0131373	0.00608312	0.00680016	0.00591613	0.0129132	0.0218257	0.0336771	0.0351467	0.0362684	0.0357721	0.0492114	0.0430539	0.0732756	0.0740581	0.077342	0.0918723	0.0691933	0.0610575	0.0367784	0.031252	0.0246911	0.0203793	0.0197964
il	0.0286991	0.0560841	0.0507643	0.0465867	0.0563086	0.0556216	0.0519399	0.034344	0.0367818	0.044522	0.0583456	0.0525019	0.0418257	0.0166525	0.018339	0.0225667	0.0333977	0.0336956	0.0358221	0.0329618	0.0343298	0.0272531	0.0286425	0.0271354	0.0172522	0.017829	0.0397971
y	0.0315049	0.0371469	0.0430737	0.044593	0.0437782	0.0401969	0.0358415	0.0293561	0.0240326	0.0169473	0.00885541	0.00452231	0.00672312	0.0133378	0.0233937	0.0324928	0.044842	0.0515612	0.0593904	0.0468343	0.0375448	0.0579385	0.0457392	0.0630508	0.0426849	0.0387836	0.075834
a	0.0468061	0.0449742	0.0394342	0.0689653	0.0871551	0.0743847	0.0430204	0.035655	0.0260721	0.0187725	0.0192994	0.0210437	0.0243354	0.0286199	0.0344164	0.0272955	0.0266871	0.0243319	0.0250103	0.0265001	0.0283055	0.0284139	0.0249771	0.032337	0.0394698	0.0325286	0.0711886
un	0.0712338	0.0413145	0.0318698	0.0475948	0.0586551	0.0416293	0.0271233	0.0273577	0.0244396	0.016604	0.0132272	0.0138734	0.0311017	0.0394376	0.0409216	0.0333513	0.0248057	0.0187966	0.0177341	0.0200487	0.0203438	0.0348425	0.0311098	0.0540732	0.0672482	0.0572497	0.0940129
pressoir	0.0441943	0.0446251	0.028478	0.0422436	0.0421991	0.0300009	0.0285236	0.0375093	0.0389197	0.048381	0.0418689	0.0294068	0.0368021	0.0387838	0.0455552	0.0362202	0.0299955	0.0265601	0.0233864	0.0210075	0.0225984	0.0253266	0.0215476	0.0444105	0.0391737	0.029416	0.102866
à	0.105026	0.0604486	0.0352393	0.0340085	0.0340927	0.0342209	0.0275235	0.0313468	0.0230708	0.0184761	0.0137211	0.00791392	0.00724718	0.0130413	0.0232845	0.0298257	0.0411982	0.0477865	0.0336492	0.037552	0.0448302	0.0329378	0.043149	0.0438104	0.0291953	0.0438206	0.103583
huile	0.13771	0.083778	0.0530875	0.0370542	0.0255204	0.0191158	0.00911436	0.00602728	0.00476449	0.00394243	0.00289477	0.00226591	0.00350974	0.00635921	0.0101881	0.0152235	0.0240336	0.0369416	0.0334287	0.0470135	0.0484566	0.054793	0.0544833	0.0589077	0.0457419	0.062526	0.113118
</S>	0.0410232	0.0333618	0.0356739	0.0413961	0.0358087	0.0296771	0.0272126	0.0298209	0.029866	0.0289279	0.0295364	0.0173975	0.0082105	0.0117911	0.0175007	0.0193897	0.0275574	0.0323162	0.0328912	0.0268985	0.027646	0.0472993	0.0419073	0.0675967	0.0677757	0.0660799	0.125438
