 	e	s	ú	l	u	y	ó	t	á	é	b	v	e	e	s	i	o	b	e	n	g	i	</S>
la	0.0867933	0.069966	0.0362758	0.0216013	0.0276663	0.0190092	0.0267297	0.0375542	0.0393873	0.0505106	0.0363497	0.0956448	0.0530244	0.0382116	0.0344955	0.0301248	0.0283098	0.0271233	0.026017	0.0399579	0.0555795	0.0432653	0.0764025
secousse	0.0175584	0.0717818	0.0512621	0.0175348	0.0326471	0.0640699	0.0864394	0.116565	0.0649352	0.0773821	0.0425347	0.0637646	0.0261164	0.0258364	0.0417496	0.0364034	0.0446066	0.0355633	0.0439713	0.0261565	0.00833713	0.00255837	0.00222574
du	0.0430195	0.0239244	0.0319239	0.0311402	0.020827	0.0111764	0.0167952	0.0133133	0.0299687	0.0339091	0.0451436	0.0463945	0.0839783	0.0902388	0.0883972	0.0781661	0.0533564	0.0412287	0.0305432	0.0354944	0.0578766	0.0548907	0.0382938
fusil	0.14675	0.0630398	0.0550302	0.0462579	0.0383597	0.0420267	0.032301	0.0313445	0.0247396	0.0192647	0.01877	0.0454095	0.0385367	0.0479358	0.0509134	0.0421315	0.0540434	0.0241832	0.0334247	0.0252031	0.0191586	0.0190955	0.0820807
a	0.0373024	0.025637	0.0345223	0.0370462	0.0431172	0.0306955	0.029746	0.0242556	0.0248606	0.0294634	0.0403918	0.0398467	0.0381518	0.03258	0.0450313	0.0527679	0.0666943	0.0536401	0.0514859	0.047061	0.0556502	0.0512429	0.10881
fait	0.0208341	0.0126406	0.0133252	0.0147945	0.0159588	0.015648	0.0164818	0.0185669	0.0311194	0.0265597	0.0384993	0.0386605	0.0492356	0.0464269	0.0694296	0.0691509	0.0821617	0.0709714	0.0634811	0.0735345	0.0723515	0.0480117	0.0921562
tomber	0.0641134	0.0520025	0.0491098	0.0545524	0.0492511	0.0235541	0.0155595	0.00936837	0.0146315	0.00986631	0.0133104	0.0193286	0.0328525	0.0388742	0.0630442	0.0663336	0.0534015	0.0472199	0.041877	0.0465225	0.0592746	0.0485167	0.127435
le	0.0381405	0.0303781	0.0291897	0.0296925	0.0245599	0.020851	0.0185286	0.0139438	0.0130645	0.0114242	0.0158386	0.0283345	0.0317084	0.0376516	0.0432066	0.0473271	0.0692171	0.0673894	0.0758016	0.0795322	0.0829703	0.0840546	0.107195
chasseur	0.085763	0.0878925	0.0637713	0.0317751	0.0203052	0.0124796	0.0114978	0.0113987	0.0111363	0.00869165	0.0130039	0.00874554	0.0117965	0.0119062	0.0174532	0.0393915	0.0278475	0.0359633	0.072115	0.0448208	0.0590884	0.124944	0.188213
</S>	0.0684536	0.0373083	0.0350539	0.0328395	0.024914	0.0192787	0.0136639	0.0151926	0.00857646	0.00560535	0.00709837	0.0108142	0.0182966	0.0261119	0.0384753	0.0540389	0.0549587	0.0366063	0.0609872	0.0647738	0.0720062	0.104438	0.190508
