 	b	í	s	í	l	é	k	ώ	n	d	i	o	t	ú	ú	r	á	t	s	έ	s	i	s	ó	k	o	n	d	a	m	ú	t	s	í	n	a	m	ú	a	o	p	é	n	d	í	k	a	b	h	i	r	i	</S>
nous	0.066941	0.0927936	0.0523889	0.0350528	0.0390045	0.0383532	0.026418	0.0227247	0.0213323	0.0230338	0.025096	0.0252576	0.0265976	0.0263464	0.0136246	0.0102597	0.00845624	0.00670409	0.00494351	0.00416016	0.0113933	0.0050462	0.00650752	0.0072148	0.00685446	0.00798694	0.0100042	0.00659747	0.00858634	0.00997935	0.0132199	0.0116867	0.0135496	0.0125382	0.0100411	0.0157499	0.0170626	0.0126342	0.010841	0.0108655	0.0119906	0.0135386	0.0128064	0.0178549	0.0176423	0.0158826	0.023612	0.0220175	0.0207935	0.0153588	0.021447	0.0143273	0.0148802
n'	0.0753518	0.105068	0.0552697	0.0465849	0.0381996	0.0409722	0.0414223	0.0406191	0.0375057	0.0247609	0.0346388	0.0392523	0.0356905	0.0314413	0.0158117	0.0162722	0.00775068	0.0118841	0.00651031	0.00530464	0.00650229	0.00481897	0.00360452	0.00723765	0.00950007	0.00879856	0.00638127	0.0117935	0.0115081	0.00806078	0.00765877	0.00888944	0.00745328	0.0107867	0.0103112	0.00736815	0.0127681	0.0114155	0.0129749	0.00872988	0.0101376	0.00751261	0.00464052	0.00443148	0.00639917	0.0216227	0.00656453	0.0105403	0.0108266	0.0125637	0.0059791	0.00394956	0.00795964
avons	0.0569627	0.0661516	0.0533084	0.0498828	0.0171264	0.0132392	0.0194502	0.0189953	0.015557	0.0186531	0.0315083	0.0179571	0.0232633	0.0237787	0.0332651	0.0412795	0.0401371	0.0571947	0.0341475	0.0368657	0.02482	0.0188835	0.0174297	0.0159336	0.00968452	0.0089614	0.00784958	0.00934733	0.00873034	0.00788837	0.00873473	0.0109715	0.0100016	0.00836588	0.00912462	0.00955654	0.0103268	0.00759145	0.0112027	0.010573	0.0113959	0.0103242	0.00575847	0.00557329	0.00722463	0.0108846	0.00504246	0.00873144	0.00826844	0.00696403	0.00741122	0.00946594	0.00825485
pas	0.0580687	0.0269093	0.0124792	0.0159174	0.0139969	0.0107881	0.0139034	0.0162757	0.0093937	0.00762885	0.0124562	0.0231567	0.0267245	0.0379241	0.0399124	0.0596893	0.0364381	0.0712772	0.0413216	0.0339788	0.0269289	0.0210372	0.0119598	0.0136573	0.0183252	0.0140006	0.00996031	0.0200953	0.0123291	0.0117093	0.00688569	0.0121228	0.00656939	0.00743577	0.00826173	0.0056442	0.00781337	0.00760718	0.00995941	0.0100298	0.0101641	0.0136024	0.0136672	0.0142004	0.0169491	0.0196053	0.0115329	0.013869	0.0161471	0.0114783	0.00983326	0.0211471	0.0172312
pu	0.0068976	0.00409623	0.00428062	0.00466955	0.00367402	0.00318308	0.00450899	0.00389974	0.00338524	0.00338823	0.0044462	0.00713212	0.00876049	0.0133836	0.0191101	0.0278167	0.031811	0.0382342	0.0608121	0.0447958	0.0558198	0.040767	0.0333375	0.0351628	0.0336886	0.0229422	0.0174432	0.0242852	0.0217826	0.0297065	0.0147348	0.0251858	0.0200338	0.0155267	0.0196782	0.0129551	0.0175794	0.0180868	0.00602116	0.00874064	0.0128576	0.012221	0.011777	0.00860624	0.0162054	0.00897997	0.0231715	0.0157485	0.0215311	0.019621	0.0281457	0.025993	0.0233785
poursuivre	0.00393064	0.00574499	0.00355362	0.00601665	0.00704871	0.00586278	0.00872486	0.00830056	0.00632605	0.00698061	0.00993041	0.00961506	0.00870652	0.0117192	0.0114658	0.0126199	0.0274875	0.0260469	0.0426707	0.0396208	0.039855	0.0353209	0.0311228	0.0313265	0.0204831	0.0177548	0.0125822	0.0150797	0.0190928	0.0190196	0.0166421	0.0237843	0.0223529	0.0250516	0.0272425	0.0245985	0.02594	0.0278948	0.0134552	0.0172327	0.0197094	0.019676	0.0231547	0.0180379	0.0264164	0.0126149	0.0233532	0.0214099	0.0184872	0.0192551	0.022137	0.021669	0.0258754
le	0.01327	0.0159542	0.00855188	0.00884391	0.00893043	0.00711492	0.00962565	0.0136382	0.00992447	0.0101071	0.0146318	0.0148827	0.0112561	0.0132956	0.0114175	0.0127981	0.0223136	0.0189068	0.030987	0.0296028	0.0334688	0.0355842	0.0304924	0.0339441	0.0252958	0.0213797	0.014418	0.018451	0.024228	0.0199598	0.0148514	0.0243644	0.0203207	0.0221298	0.0270464	0.0202933	0.019027	0.022297	0.00970813	0.0115588	0.0151241	0.0139273	0.0159643	0.0134795	0.0203303	0.0199608	0.023411	0.0199667	0.0225481	0.0223419	0.0185991	0.0240632	0.0354125
lièvre	0.00836526	0.00970716	0.00687489	0.00835028	0.00987179	0.00917607	0.0176046	0.0202893	0.0153539	0.0174573	0.0220354	0.0358299	0.0201272	0.0290506	0.0182153	0.0130161	0.0126125	0.00967218	0.00933637	0.010436	0.0154546	0.0143753	0.0142507	0.0200929	0.0180637	0.0150921	0.0136073	0.0184117	0.0226559	0.0185037	0.0195246	0.0208679	0.015938	0.0201414	0.0185259	0.0130396	0.0185472	0.0159011	0.022991	0.0147889	0.0202307	0.0246787	0.0198595	0.0149825	0.0169931	0.025774	0.013153	0.014556	0.0199199	0.0221338	0.0294625	0.0304375	0.0936633
dans	0.0052595	0.00608489	0.00488663	0.00653367	0.00492024	0.0033527	0.00479643	0.00609012	0.00362258	0.00343722	0.00622676	0.00483049	0.00705651	0.00809769	0.00769228	0.0105191	0.019677	0.02805	0.0482012	0.036073	0.0397306	0.0398944	0.0373788	0.0376693	0.0390078	0.0393041	0.0236694	0.0252456	0.0320345	0.025482	0.0153716	0.0273318	0.0216781	0.023225	0.0283013	0.0185066	0.0169319	0.0198587	0.0136231	0.0151415	0.0142853	0.0143956	0.0129624	0.00946133	0.013618	0.0179784	0.0146721	0.0130396	0.0179554	0.0202319	0.0163216	0.0258289	0.0444554
cette	0.017721	0.0132933	0.016608	0.0111637	0.00700226	0.00634451	0.00783647	0.00853235	0.00734389	0.00755456	0.00777812	0.00783254	0.00767219	0.00858729	0.0101142	0.0101651	0.0118412	0.0150845	0.0232565	0.0209829	0.0236258	0.0286027	0.0299281	0.0298008	0.0317334	0.0301341	0.018359	0.0201082	0.0227038	0.0173027	0.0138111	0.0203922	0.0154641	0.0188835	0.0233621	0.015665	0.0148274	0.0167223	0.0130118	0.014081	0.0152452	0.0172298	0.0180354	0.00983043	0.0128139	0.0218481	0.0151801	0.0203817	0.0286777	0.032702	0.0396019	0.0557097	0.0675104
