 	e	b	ó	r	o	y	a	b	í	s	í	y	í	n	g	ó	o	é	m	i	w	á	á	ó	n	g	y	ε	l	έ	</S>
l'	0.00831707	0.0140881	0.0146263	0.0128759	0.0142805	0.013582	0.0243871	0.0442966	0.0338141	0.0512842	0.0439357	0.0674214	0.0611931	0.0829352	0.0218979	0.0170842	0.0117708	0.00795189	0.0105883	0.0107461	0.0100448	0.0179167	0.0219968	0.0567904	0.0465822	0.0520171	0.0399353	0.0484698	0.0533574	0.0500411	0.0357719
un	0.0998419	0.158095	0.120704	0.0355915	0.0341873	0.0190302	0.0171135	0.01922	0.00931723	0.0208106	0.0185345	0.0124263	0.0222218	0.0569736	0.0543522	0.0724457	0.0679991	0.0164582	0.033428	0.0252149	0.0123069	0.015946	0.00415694	0.0206184	0.0101301	0.00419165	0.00725293	0.00508719	0.00225871	0.00283802	0.00124738
de	0.0503769	0.0579539	0.0406286	0.0279309	0.0410167	0.0327675	0.0374623	0.032002	0.015429	0.0148077	0.0188611	0.0241178	0.0606142	0.0709732	0.0560924	0.0454476	0.023213	0.0370034	0.0472868	0.0239933	0.0232685	0.0392412	0.0139955	0.0514504	0.0264121	0.0110388	0.019947	0.0119599	0.0128308	0.0199669	0.0119107
nos	0.03531	0.0635088	0.0882673	0.0780876	0.0725483	0.097879	0.0709257	0.0630715	0.0465043	0.0394084	0.0306037	0.0275646	0.0268532	0.02291	0.0254191	0.0200965	0.0242309	0.00760986	0.0123657	0.011564	0.0111795	0.00971075	0.00992164	0.00980657	0.00985495	0.00811417	0.0120001	0.010755	0.0120623	0.0155499	0.0263168
parents	0.0209261	0.0240127	0.0246183	0.025471	0.0247228	0.0171353	0.019274	0.0189396	0.0164782	0.0165746	0.0311158	0.0192014	0.0596876	0.0468875	0.096903	0.0973089	0.0865551	0.0270681	0.0523921	0.0390655	0.0195277	0.0389141	0.0178988	0.0330924	0.0220621	0.0135737	0.0192538	0.012041	0.0148762	0.0252353	0.0191875
maternels	0.0180913	0.0206733	0.0162952	0.024185	0.0182918	0.0409242	0.0321216	0.0226882	0.0315538	0.0214525	0.0342424	0.0238972	0.0255446	0.0142361	0.0380297	0.0665892	0.0559909	0.0945139	0.107048	0.0564605	0.0371247	0.0328656	0.0311926	0.0276326	0.0171871	0.0111582	0.0161442	0.0157629	0.0122957	0.0154475	0.0203591
est	0.041793	0.0399879	0.0257834	0.0270257	0.0143096	0.0171663	0.0115854	0.0106787	0.0142902	0.0111627	0.0181586	0.0112501	0.014245	0.0139858	0.0279732	0.0398359	0.051511	0.0389776	0.0659974	0.062852	0.0489776	0.0725322	0.0295108	0.0498989	0.0437505	0.0209682	0.0293956	0.0357637	0.0314425	0.0350194	0.0441712
décédé	0.0696712	0.0857653	0.0665082	0.0550052	0.0245201	0.0194679	0.0170945	0.0186102	0.0343523	0.024283	0.0394363	0.0286902	0.0275164	0.0279776	0.0143022	0.0145089	0.010062	0.0040048	0.00601765	0.007799	0.00744286	0.0218097	0.0105328	0.0199956	0.0214496	0.0222418	0.0261899	0.0618058	0.0204477	0.0781282	0.114363
à	0.0433633	0.0377918	0.0253657	0.0282788	0.0133534	0.0208595	0.0160406	0.0119552	0.0138513	0.0102461	0.00824436	0.0119489	0.00926624	0.00974268	0.0101138	0.0206087	0.0208703	0.0511252	0.050254	0.0409568	0.0185973	0.0417128	0.0157216	0.0470812	0.0594937	0.0425772	0.0641872	0.0663004	0.0531262	0.0664082	0.0705576
brazaville	0.0648143	0.0422507	0.0254632	0.0220075	0.0104918	0.00983107	0.0105989	0.00745919	0.00802364	0.00813678	0.00619245	0.00882556	0.00868902	0.00700481	0.00836403	0.017429	0.0176182	0.0170195	0.0254472	0.0172257	0.0120275	0.0275069	0.0155608	0.0543926	0.0609257	0.0581971	0.0846535	0.0835634	0.0754009	0.0882479	0.0966311
</S>	0.0748919	0.046219	0.0254198	0.0129325	0.00597783	0.00727894	0.00715459	0.00558865	0.00717307	0.0063261	0.00485721	0.00841068	0.00923752	0.0101252	0.00931395	0.0155156	0.0143681	0.0283054	0.0187205	0.0142183	0.012344	0.0185224	0.019719	0.0377521	0.0544976	0.0728829	0.0716343	0.0899069	0.083749	0.0968903	0.110067
