 	n	g	á	i	d	í	l	a	p	ó	s	á	ω	t	á	á	w	a	m	ó	i	m	ω	ω	m	ó	i	b	h	ώ	ω	d	í	i	</S>
je	0.0462854	0.225001	0.245709	0.181294	0.121875	0.105416	0.00908343	0.00393899	0.000742686	0.0006883	0.0012449	0.00143993	0.0018697	0.00236555	0.00360698	0.00489443	0.00708	0.0031289	0.00252174	0.00166281	0.00237633	0.00192902	0.00260139	0.00402852	0.0025221	0.00225938	0.00164872	0.00225681	0.00124179	0.00140754	0.00162546	0.00160393	0.00189405	0.00163822	0.00111815
voudrais	0.024274	0.00720154	0.00863565	0.00824615	0.0123176	0.0157531	0.0221733	0.0315683	0.0372903	0.0673996	0.0948524	0.0726501	0.0595362	0.0572927	0.0745124	0.0497062	0.0444677	0.0416275	0.0186686	0.0373344	0.0225255	0.0374121	0.0117374	0.0110831	0.0176401	0.0138718	0.0157281	0.0151764	0.0150904	0.0122007	0.00648531	0.00595374	0.00826073	0.0066285	0.0146984
le	0.0136065	0.0165225	0.0218342	0.039437	0.0326426	0.0139194	0.00755888	0.00906193	0.0112091	0.0142856	0.0146159	0.0131592	0.0170862	0.0244094	0.0319902	0.0258589	0.0784684	0.0483064	0.0586762	0.0549367	0.0656895	0.0300707	0.0244318	0.0281063	0.0252461	0.03453	0.0219894	0.0330271	0.0236529	0.0303997	0.0298075	0.024697	0.0234086	0.0196136	0.0377442
voir	0.00536218	0.00339101	0.00486143	0.00986757	0.00926652	0.0106752	0.0150097	0.0185348	0.0194109	0.0221047	0.0235439	0.0360832	0.039065	0.0680596	0.0832977	0.0776545	0.0649476	0.0547987	0.0373486	0.0325602	0.026596	0.0206198	0.0233741	0.0154596	0.0157729	0.0265092	0.0146169	0.0214365	0.0194534	0.0185536	0.052758	0.0269215	0.0223697	0.0286041	0.0311116
pour	0.0102191	0.00926223	0.00820785	0.0101405	0.0110835	0.0149392	0.020896	0.0173976	0.0495411	0.039077	0.0196111	0.0202523	0.0216965	0.0213058	0.0324933	0.0356945	0.0350126	0.0511126	0.037433	0.0536762	0.0337193	0.0477266	0.0353145	0.0247966	0.0262604	0.0186286	0.0254124	0.0219453	0.0218175	0.0282273	0.020967	0.0303247	0.0387807	0.0474846	0.0595425
discuter	0.0173148	0.0130649	0.010788	0.00632334	0.00499369	0.00778191	0.00813183	0.00881631	0.00992959	0.0137584	0.0131102	0.0191437	0.0180247	0.0200186	0.0272075	0.0277533	0.0412285	0.0420405	0.0505542	0.0650314	0.0549497	0.064697	0.0476792	0.0428645	0.0311177	0.0207238	0.0346428	0.024557	0.0282491	0.03169	0.0349991	0.0469383	0.036145	0.0419403	0.033791
avec	0.0347695	0.0210088	0.0221229	0.0166018	0.0164943	0.0197627	0.0165461	0.0208421	0.0185321	0.0185487	0.0167075	0.0208857	0.0254816	0.0250241	0.0222774	0.0181602	0.0185905	0.0224439	0.0286427	0.0421522	0.0314436	0.0351809	0.0347201	0.0355344	0.0399346	0.0219583	0.0174702	0.0228639	0.0212277	0.0308103	0.0356905	0.0469605	0.044943	0.0492789	0.0863885
lui	0.0613175	0.0336812	0.0376379	0.0298214	0.0248673	0.0210618	0.0185193	0.0250002	0.0221386	0.024173	0.0227828	0.0257805	0.0267174	0.027884	0.0249849	0.0193274	0.0187906	0.0172839	0.0234587	0.0390661	0.0281681	0.0305821	0.0291843	0.0302118	0.0187027	0.0184685	0.01794	0.0169447	0.0174517	0.0184214	0.0256337	0.034585	0.0353247	0.0334282	0.100659
de	0.0453892	0.0245517	0.0167952	0.0208164	0.0202971	0.0127619	0.00860978	0.00815799	0.00854865	0.00787405	0.00781599	0.00816168	0.00950436	0.00863089	0.00823872	0.00839212	0.00951355	0.0129848	0.0126372	0.0195018	0.0155576	0.024336	0.0249962	0.0289722	0.0268766	0.0181397	0.029806	0.0305909	0.0387892	0.060118	0.0672623	0.074698	0.0768746	0.0753981	0.128402
cette	0.0651356	0.0254287	0.0105151	0.0153492	0.0148534	0.0139293	0.0105107	0.0091969	0.00917619	0.0089089	0.00807771	0.00894914	0.00816102	0.0068869	0.00777132	0.00850143	0.00706157	0.0134665	0.0103672	0.0205414	0.0133327	0.0526057	0.0179536	0.031156	0.0215257	0.0201727	0.0265915	0.0207239	0.0278404	0.0527596	0.0618277	0.0609786	0.0848711	0.0900929	0.13478
affaire	0.0172093	0.022732	0.011535	0.0284353	0.0332093	0.0111231	0.00717877	0.00845636	0.00690424	0.00816792	0.00710125	0.00841855	0.00800954	0.00754045	0.0093559	0.0103271	0.00929007	0.0178154	0.0162626	0.028473	0.023197	0.0340952	0.0319503	0.0381344	0.0274707	0.0206997	0.0271648	0.0253331	0.0362944	0.0608037	0.0655961	0.0622011	0.089324	0.0669196	0.113271
</S>	0.0936089	0.0191685	0.00919219	0.0149302	0.0181312	0.0143069	0.0194765	0.0156971	0.0147764	0.0140304	0.00901531	0.0126832	0.00701201	0.00606597	0.00858173	0.00938523	0.00646468	0.0144435	0.0108004	0.0256054	0.030084	0.0566034	0.0262877	0.0526773	0.0251576	0.0336178	0.0297732	0.0173636	0.0271546	0.0284859	0.03642	0.0383193	0.0685727	0.0618408	0.124267
