 	k	o	m	a	n	d	a	á	d	z	e	o	y	a	á	o	k	y	á	o	b	a	é	w	a	m	έ	n	έ	k	a	á	n	d	z	á	á	á	t	í	n	d	i	e	m	ώ	n	í	</S>
le	0.0130378	0.00840014	0.00874449	0.0119089	0.0103332	0.0148763	0.016582	0.0387511	0.0287157	0.0353632	0.0410991	0.0442042	0.0569373	0.0515008	0.0556008	0.0515896	0.0518288	0.0484354	0.0456443	0.0327918	0.0261254	0.0132703	0.0104821	0.0106288	0.00556605	0.00937379	0.0123303	0.00646271	0.0073196	0.00940449	0.00489831	0.00894255	0.0167569	0.00914836	0.00937008	0.0094526	0.00971577	0.0113767	0.0118642	0.00981038	0.0127455	0.0103595	0.0147163	0.012833	0.0113988	0.0138694	0.0170717	0.0151791	0.0131823
sous-préfet	0.035489	0.101875	0.169335	0.171399	0.149987	0.0367269	0.021211	0.0283915	0.00883881	0.0244044	0.0143663	0.0247668	0.021616	0.0079588	0.0209435	0.010911	0.0221717	0.0106421	0.0170112	0.0264308	0.0102527	0.00424966	0.00500952	0.00293598	0.00248046	0.00182583	0.00074711	0.000853159	0.00026212	0.000299508	0.00044561	0.000427258	0.000973997	0.00061212	0.00107691	0.00128902	0.00213508	0.00159965	0.00194841	0.00314993	0.00495182	0.00704667	0.00447403	0.00549134	0.00412698	0.00236342	0.00221101	0.00165513	0.000628831
n'	0.0256867	0.0304717	0.0319968	0.04971	0.0322027	0.0329303	0.032963	0.0223922	0.0171166	0.0124502	0.0121483	0.0115052	0.0114156	0.0141855	0.013979	0.0155086	0.0212034	0.0369275	0.0286608	0.0224697	0.015079	0.0188012	0.011039	0.0116679	0.0215723	0.0263315	0.0110025	0.0436633	0.0186274	0.0125883	0.042293	0.0245941	0.0192872	0.0151129	0.0273173	0.0299205	0.0180816	0.0162465	0.0103353	0.0167468	0.0174888	0.0219872	0.0144205	0.0170198	0.0121649	0.00872369	0.0077774	0.00884246	0.0053438
est	0.0329223	0.0428956	0.0563403	0.0573434	0.0623784	0.0484752	0.0424745	0.0307496	0.034211	0.0415489	0.0250249	0.0281309	0.021254	0.045069	0.027693	0.0154838	0.0169366	0.0131784	0.00915793	0.00843398	0.00899926	0.0125296	0.0109001	0.00599198	0.00873187	0.0123041	0.0138988	0.0253643	0.0103669	0.0102648	0.0087702	0.0110019	0.025029	0.013771	0.0213224	0.0171456	0.0144034	0.00749058	0.00595172	0.00624066	0.00900014	0.0109344	0.0142429	0.0171182	0.0120907	0.00888162	0.00657222	0.0046147	0.00636537
pas	0.0446302	0.0233323	0.0192799	0.0269179	0.0348655	0.0444465	0.0481744	0.0597712	0.0486453	0.0314564	0.0301905	0.0284835	0.0215888	0.0235593	0.0173495	0.018542	0.0205266	0.0341687	0.0263249	0.0256631	0.0310307	0.0226109	0.0277186	0.0262251	0.0128163	0.0205291	0.0118104	0.00863495	0.00614761	0.00728158	0.00605142	0.00700208	0.00892775	0.0095463	0.00680696	0.00844864	0.0122407	0.0107007	0.0124557	0.00906366	0.00694875	0.00814441	0.00782125	0.011774	0.0103208	0.011139	0.0155519	0.0172187	0.0171156
venu	0.0110053	0.0130848	0.0140376	0.0164341	0.0172886	0.0206713	0.0196184	0.0231318	0.0238191	0.0182955	0.0163311	0.0167213	0.0114385	0.0140848	0.00858675	0.00771656	0.0103114	0.0160311	0.0120881	0.0137116	0.0235224	0.0221631	0.0291001	0.0201122	0.0142547	0.0184212	0.0244271	0.0193817	0.0202745	0.0209062	0.0109217	0.0168671	0.0240132	0.0196765	0.0225125	0.0177764	0.0243343	0.0243983	0.0228692	0.014991	0.0157695	0.0255365	0.0204283	0.0294077	0.0308384	0.0338333	0.0373634	0.0439991	0.0474929
faire	0.00995082	0.00775613	0.00954783	0.0104582	0.0120056	0.0136058	0.0136635	0.0160578	0.0148971	0.0136289	0.00932935	0.0104517	0.00716896	0.0104835	0.00656232	0.00537223	0.00827815	0.0147492	0.00840221	0.00862184	0.0103931	0.00832366	0.00991513	0.0119812	0.0113878	0.0134795	0.016551	0.0226249	0.0195044	0.0103557	0.0158797	0.012571	0.0257329	0.0227232	0.0702174	0.0462443	0.0548578	0.0313794	0.0507999	0.0309621	0.0359167	0.059171	0.033526	0.0387397	0.0364523	0.0265641	0.0238924	0.0220319	0.0168304
le	0.0465891	0.0238578	0.0182957	0.0153586	0.0160548	0.0118085	0.011446	0.0116099	0.0118167	0.00865882	0.00812732	0.00872753	0.00709145	0.00910288	0.00910698	0.00947093	0.00829041	0.0135623	0.0124291	0.0109166	0.0121239	0.0155112	0.0174305	0.0240592	0.0277697	0.0207136	0.0270353	0.022573	0.0282147	0.0266005	0.0112729	0.0228138	0.0370295	0.0378433	0.0259298	0.0294542	0.0205881	0.0248324	0.0201229	0.013724	0.0186838	0.0216522	0.0181514	0.019774	0.0197351	0.0324303	0.0395489	0.045937	0.0461233
recensement	0.059504	0.0313056	0.0226872	0.017864	0.0125358	0.0065425	0.0053718	0.00801537	0.00980545	0.00756112	0.00963869	0.0104197	0.0120166	0.0161161	0.011711	0.0204593	0.0175514	0.0218208	0.0192927	0.0157818	0.0145762	0.0166674	0.0178063	0.0132685	0.0160667	0.017549	0.0282388	0.0116336	0.0109209	0.00712184	0.00239082	0.00514373	0.0241379	0.016079	0.0106634	0.0123234	0.0110578	0.0130903	0.0139792	0.0102542	0.0287305	0.013555	0.0239244	0.0257013	0.0273319	0.0384617	0.0570988	0.0625993	0.113628
personnellement	0.0164081	0.0119636	0.0117854	0.0117205	0.0097626	0.00619652	0.0047696	0.00281338	0.00410784	0.00255323	0.00289735	0.0026425	0.00310727	0.00419666	0.00270442	0.00402779	0.00507671	0.00529094	0.0052359	0.00520022	0.00841616	0.0122536	0.0111445	0.00936381	0.0105752	0.0226924	0.0259859	0.0279331	0.0376751	0.0165331	0.0140644	0.0192617	0.0470039	0.0578383	0.0667009	0.0757037	0.0806525	0.0335016	0.048638	0.0218552	0.0225292	0.0106539	0.0165538	0.019176	0.0207326	0.025182	0.0299574	0.0261348	0.0588267
mais	0.0330277	0.0332316	0.0269592	0.0196739	0.0127572	0.007412	0.00483926	0.00363777	0.00450721	0.00389588	0.00601335	0.00525911	0.00541954	0.005865	0.00443129	0.00561912	0.00513003	0.00678556	0.00620683	0.00638892	0.00967262	0.0143868	0.0147091	0.0153169	0.0188911	0.0276191	0.0263688	0.0331643	0.0357708	0.0271586	0.0165206	0.0215614	0.0357129	0.0372056	0.0493576	0.0328272	0.0388773	0.0213313	0.0313214	0.0168571	0.025364	0.0140242	0.022584	0.0248756	0.027928	0.0349847	0.0361883	0.0372763	0.0450839
