 	o	m	b	ω	r	i	l	á	a	l	έ	n	g	í	s	έ	m	ú	b	h	u	</S>
le	0.00732913	0.00731044	0.0124022	0.0147796	0.0111256	0.0148619	0.035176	0.0358566	0.0337692	0.0401837	0.0412589	0.0510179	0.0670261	0.0974906	0.124709	0.0945233	0.065298	0.0738507	0.0516448	0.046164	0.0404252	0.0337969
soldat	0.0878482	0.0608099	0.138101	0.0603768	0.0233799	0.0263372	0.0412554	0.0358314	0.0416855	0.0468524	0.0478524	0.0729083	0.0821677	0.0850997	0.0696788	0.0395007	0.0142816	0.0133171	0.00548538	0.00318596	0.00220397	0.00184067
est	0.031684	0.0398217	0.0274029	0.0195924	0.0434261	0.106776	0.0981263	0.148319	0.120268	0.0813613	0.0469179	0.0603272	0.0381937	0.0414688	0.039405	0.0175435	0.0128628	0.00804586	0.00553634	0.00440899	0.00483134	0.00368094
en	0.0658263	0.0859171	0.0682166	0.0488744	0.0391851	0.0430381	0.0423626	0.0283906	0.021779	0.0130321	0.0113358	0.0115411	0.0176782	0.0198846	0.0538042	0.0640684	0.0749595	0.0754584	0.0560854	0.0530013	0.043046	0.0625154
train	0.0493933	0.0475133	0.0501899	0.031632	0.0319866	0.0508665	0.0492796	0.0642791	0.0628106	0.041869	0.0342015	0.0356498	0.0290314	0.0331421	0.0635686	0.0571222	0.0495536	0.0485011	0.0445539	0.0441341	0.0396988	0.041023
de	0.0539985	0.03745	0.0399762	0.0420215	0.0297882	0.0347107	0.0666458	0.0686895	0.0718636	0.0724115	0.0585258	0.0985643	0.0617457	0.0198625	0.0132863	0.00790271	0.00801178	0.014465	0.0299414	0.0247156	0.0266105	0.118813
surveiller	0.0605375	0.0581512	0.0500171	0.0386609	0.0431892	0.0556633	0.0639514	0.0711259	0.089634	0.0743137	0.0540971	0.0502335	0.0339523	0.020474	0.0319174	0.0219002	0.0229556	0.0287234	0.0265414	0.0251843	0.0264654	0.0523112
le	0.180489	0.159254	0.140098	0.0938172	0.0788677	0.0480882	0.0524703	0.0249653	0.0144831	0.0112145	0.00856525	0.00891319	0.00670686	0.00443569	0.00860047	0.0125338	0.0172259	0.0176371	0.0142159	0.0197515	0.0210596	0.0566076
voleur	0.134719	0.10671	0.093994	0.0596143	0.0248027	0.0177495	0.0166761	0.0108294	0.00922285	0.00847248	0.00919609	0.00646612	0.0135299	0.00978741	0.0164431	0.02472	0.0478158	0.0572677	0.0210653	0.050722	0.0615436	0.198653
</S>	0.137538	0.0739987	0.0494551	0.0279554	0.0195664	0.0144211	0.012744	0.0170746	0.0185472	0.0170801	0.013805	0.00959386	0.0127807	0.00985171	0.0154265	0.0205444	0.0382511	0.0504503	0.0510158	0.0569329	0.0936445	0.239323
