 	m	w	á	n	a	i	b	a	a	w	ó	a	d	í	l	a	p	ώ	ω	b	á	a	l	a	m	w	á	s	í	</S>
ce	0.00193502	0.00238591	0.00610699	0.0122186	0.010966	0.00415796	0.00390612	0.00177056	0.00931283	0.00983569	0.00925154	0.0339358	0.0302516	0.0745974	0.0890854	0.0683419	0.0596855	0.062944	0.0774329	0.0792437	0.0999031	0.0557231	0.029197	0.0274603	0.0215641	0.0350552	0.0239632	0.0162595	0.0223217	0.0211874
jeune	0.0590229	0.0360957	0.0348853	0.125622	0.125847	0.214098	0.142143	0.130217	0.05727	0.0107596	0.0232672	0.00354826	0.00216977	0.00819542	0.00949365	0.00357921	0.00181691	0.00159355	0.00133397	0.00163426	0.000606033	0.000630115	0.000927711	0.00054283	0.000824097	0.000941182	0.00094676	0.00071097	0.000627639	0.000649922
garçon-ci	0.0514978	0.0233211	0.0328962	0.0602722	0.037871	0.104787	0.076562	0.039675	0.0255339	0.0190051	0.0300543	0.0154896	0.0246802	0.0145314	0.0221536	0.0208427	0.0293376	0.0364873	0.0696324	0.0887513	0.0394999	0.0342805	0.0149165	0.0186171	0.0109907	0.00553269	0.0128197	0.0116811	0.0157102	0.0125704
a	0.0891338	0.0812745	0.0392872	0.023656	0.0211265	0.0476362	0.026843	0.0284862	0.0162742	0.0494135	0.0561528	0.0308724	0.0432874	0.012928	0.0110047	0.0118089	0.0209419	0.0306242	0.030946	0.0539129	0.0467197	0.0366853	0.0372424	0.0253216	0.0221524	0.0306947	0.0291956	0.0162315	0.0130427	0.0171038
des	0.129432	0.0215624	0.0109875	0.0139507	0.013489	0.0445862	0.040388	0.036179	0.0165612	0.0234346	0.0257456	0.027183	0.0233122	0.0303267	0.0363144	0.0303899	0.0305067	0.0276873	0.0284097	0.0216514	0.0305575	0.0341839	0.0303848	0.0341356	0.0371173	0.0357559	0.0330986	0.0317087	0.0410036	0.0599561
problèmes	0.0663699	0.0412166	0.0321327	0.0426458	0.0549143	0.0439966	0.0472014	0.0224326	0.0139746	0.0182552	0.019183	0.0283742	0.01095	0.012467	0.0171698	0.0182463	0.0140391	0.018075	0.0192174	0.0196667	0.0251386	0.033908	0.0369092	0.0376224	0.0506409	0.0414442	0.0525563	0.0715775	0.0376599	0.0520145
avec	0.0796656	0.030035	0.0421058	0.0300201	0.0307433	0.0243946	0.0446565	0.0284963	0.0161708	0.0189552	0.0160524	0.0197881	0.0145139	0.0120568	0.0127852	0.0137795	0.0122972	0.0144273	0.0149203	0.0173523	0.0230351	0.035399	0.0387748	0.0486604	0.0558707	0.0457455	0.0579001	0.0791792	0.0606606	0.0615584
sa	0.0477138	0.0451919	0.0469955	0.0351256	0.0257115	0.0321963	0.0288423	0.018719	0.00912798	0.0106904	0.0102667	0.00937176	0.00827968	0.00773523	0.00970042	0.00568212	0.00826277	0.0144509	0.011629	0.0134025	0.0202818	0.0289385	0.0453511	0.0447728	0.0578333	0.0670863	0.0665517	0.0709452	0.0886089	0.110535
femme	0.0597213	0.0802202	0.0745353	0.054959	0.0347212	0.0323416	0.0311077	0.031606	0.0111739	0.0123266	0.0158108	0.00762963	0.00511822	0.00481054	0.00786684	0.00737598	0.0123012	0.019717	0.0160743	0.0218083	0.0222806	0.0149236	0.03224	0.0213158	0.0494744	0.0360549	0.0422022	0.0742155	0.0594402	0.106627
</S>	0.110551	0.065007	0.0488513	0.0322319	0.0183953	0.0259669	0.0225535	0.0271183	0.0064256	0.0124488	0.0155576	0.00830267	0.00825716	0.00371356	0.00394436	0.00562062	0.00686602	0.0100347	0.00575845	0.0168323	0.0173761	0.0148712	0.0402295	0.0265994	0.0740379	0.0624254	0.0496257	0.0917762	0.0584929	0.110128
