 	a	t	s	o	m	b	o	b	á	a	b	v	á	f	u	l	ú	s	í	k	u	n	d	á	</S>
les	0.198852	0.113058	0.0589741	0.011374	0.0384538	0.0323089	0.0526035	0.0455923	0.0308598	0.0211647	0.034771	0.0279496	0.0308092	0.0332015	0.0245303	0.0241887	0.0134643	0.0250967	0.0257491	0.025276	0.0203844	0.0286781	0.0276019	0.0370767	0.017982
sangliers	0.0322541	0.0376078	0.0616312	0.0825598	0.110473	0.113099	0.123777	0.0599891	0.0807304	0.0607023	0.0500544	0.0495809	0.0317388	0.0250911	0.0211649	0.0159402	0.0104222	0.00842747	0.00542719	0.0041745	0.00329764	0.00453965	0.00268675	0.00237906	0.00225194
dorment	0.012969	0.0156765	0.0131603	0.0352046	0.0376901	0.0377972	0.0494116	0.0654825	0.0726637	0.0556523	0.0488066	0.0536247	0.0516803	0.0354763	0.0654564	0.0478711	0.0294987	0.0555348	0.0648292	0.046401	0.0390841	0.0276644	0.0175964	0.0119911	0.00877702
dans	0.0150259	0.0274032	0.0465293	0.0481131	0.055317	0.0637441	0.0672214	0.0698574	0.0621498	0.0672201	0.0463045	0.0433853	0.0341287	0.0411632	0.0306709	0.0187831	0.0210785	0.0312425	0.0241927	0.0244309	0.0313614	0.020265	0.0242808	0.0300799	0.0560509
les	0.0234159	0.0208815	0.0324288	0.056666	0.0363115	0.0323087	0.0450219	0.0439407	0.0461389	0.0355522	0.0294741	0.0237672	0.0211688	0.0237521	0.0258907	0.0224501	0.0254009	0.0311527	0.0327928	0.0329827	0.0522827	0.0392526	0.0661215	0.0744801	0.126365
endroits	0.01672	0.0156087	0.018281	0.0474744	0.0527635	0.0603761	0.057547	0.0609821	0.0718784	0.0552426	0.0533813	0.0587868	0.0563951	0.0561226	0.0328714	0.0152175	0.012956	0.015367	0.023732	0.0273871	0.0325247	0.0293884	0.0321341	0.0323771	0.0644852
touffus	0.0336412	0.0227998	0.0207472	0.0449201	0.0517993	0.0522904	0.0589803	0.0640725	0.0876893	0.0724551	0.073794	0.0673993	0.0448882	0.0211046	0.0205504	0.00828107	0.0105717	0.0136711	0.014154	0.0148462	0.0216656	0.0182539	0.0317446	0.046706	0.0829744
de	0.021527	0.0202685	0.0268155	0.0538947	0.0582562	0.0585203	0.0613894	0.0623962	0.0645615	0.0560172	0.0593627	0.0514347	0.0413795	0.0268954	0.028444	0.0211239	0.0173873	0.0230555	0.0224435	0.0206677	0.025395	0.0232526	0.0390639	0.0447603	0.0716875
la	0.0330418	0.0281513	0.027859	0.0289648	0.0312272	0.0350554	0.0386129	0.0316593	0.0260556	0.0146422	0.0126836	0.0120492	0.0123123	0.0151449	0.016339	0.0234063	0.0324221	0.0473379	0.049745	0.0675581	0.0740026	0.0737513	0.0868808	0.0879212	0.0931765
forêt	0.0297293	0.0289158	0.025023	0.0264388	0.023763	0.0206188	0.0138101	0.0110228	0.0123977	0.00977611	0.0109579	0.0138617	0.0175661	0.0401052	0.018655	0.016457	0.0232793	0.0412527	0.0479138	0.0665112	0.0729397	0.0698891	0.0893765	0.0940253	0.175714
</S>	0.0388165	0.0318103	0.0322215	0.0304525	0.0314495	0.0280538	0.0241665	0.0209463	0.0166299	0.0144904	0.0126016	0.0168161	0.0202411	0.027729	0.0253484	0.0242938	0.0366267	0.0607188	0.0594497	0.072443	0.0778268	0.0654572	0.0751878	0.0643677	0.0918552
