 	n	g	á	í	m	i	k	á	n	á	á	l	i	d	z	w	a	l	á	d	z	á	n	d	e	</S>
il	0.247769	0.334169	0.153778	0.105053	0.0162905	0.00791917	0.00685917	0.00502673	0.00668145	0.00570521	0.00584321	0.00643664	0.00539675	0.00690165	0.00823975	0.0108406	0.00602041	0.00842661	0.00924487	0.00711992	0.0053092	0.00501929	0.00727713	0.00649043	0.00668534	0.00549695
y	0.0695946	0.0446704	0.0391977	0.0450256	0.033952	0.0639402	0.0481292	0.090591	0.0787581	0.0792786	0.066653	0.0306671	0.048609	0.0578051	0.0368905	0.0316658	0.0290689	0.0271932	0.0269818	0.0108696	0.00252241	0.00370586	0.00479887	0.0042812	0.0077339	0.0174163
a	0.0258143	0.0222978	0.0154511	0.0292499	0.0350056	0.0229528	0.0302769	0.0348401	0.0370118	0.0660161	0.0851855	0.0892299	0.0879828	0.0597591	0.0507558	0.0543131	0.0382697	0.0423748	0.0401925	0.0260658	0.0206568	0.0191237	0.0140649	0.0155205	0.0174732	0.0201155
longtemps	0.0241226	0.0132201	0.00897703	0.0145974	0.0289343	0.0251084	0.0235495	0.0317174	0.0207024	0.0206028	0.0391567	0.0504888	0.0611519	0.0480384	0.0755093	0.0600649	0.0255592	0.0328821	0.0297563	0.0619921	0.0507991	0.0619915	0.0369049	0.0447204	0.0481181	0.0613344
que	0.0139333	0.00819178	0.00608117	0.00570016	0.0140099	0.0217563	0.0263126	0.0284565	0.0246455	0.026011	0.0315494	0.0408018	0.045189	0.0531766	0.0901577	0.0399691	0.0272818	0.0374111	0.0338588	0.0585241	0.0479023	0.0487381	0.0429632	0.0696842	0.0705659	0.0871286
je	0.0297749	0.01625	0.00542244	0.00359577	0.0108851	0.0167008	0.0328698	0.0513388	0.0370368	0.0404827	0.0540811	0.0804299	0.0767101	0.0605535	0.0569663	0.0360993	0.0270203	0.0263226	0.0336682	0.0304767	0.0248378	0.0312559	0.0324284	0.0449492	0.0488599	0.0909837
ne	0.0208301	0.00856306	0.00448109	0.00496351	0.0169242	0.025533	0.0457841	0.0508504	0.0418626	0.0360116	0.0385933	0.0538648	0.0508766	0.0502268	0.05795	0.0433251	0.026277	0.0342584	0.0385504	0.0432332	0.032216	0.0414536	0.046841	0.0546966	0.0535949	0.0782386
suis	0.0251158	0.00804142	0.00561818	0.00719532	0.0215788	0.0288492	0.045899	0.0374561	0.0323597	0.0300461	0.0329442	0.0386062	0.0338788	0.0321559	0.04214	0.0405776	0.0252303	0.0417962	0.0325556	0.0594615	0.0543683	0.0622038	0.0579511	0.0587256	0.0581376	0.0871079
plus	0.0238878	0.0207304	0.0215977	0.0293873	0.0225448	0.0201325	0.0211953	0.0232896	0.0141608	0.0104215	0.00866812	0.00724286	0.00850645	0.0133644	0.0171537	0.0128722	0.0104656	0.01902	0.025071	0.0223868	0.0368856	0.0428954	0.0927131	0.140767	0.155385	0.179255
parti	0.0194457	0.0112649	0.01336	0.0121344	0.0189217	0.0120538	0.00902576	0.00698733	0.00493339	0.00428546	0.00333764	0.00569809	0.00619583	0.00887684	0.0279135	0.0123201	0.00997203	0.0204306	0.0370939	0.0732384	0.108166	0.149073	0.0942457	0.123524	0.109305	0.0981962
au	0.0313545	0.0118665	0.0138744	0.011284	0.0246576	0.0150345	0.00904891	0.00875713	0.00585038	0.00847019	0.00663176	0.00935304	0.0204656	0.0251642	0.0706707	0.0226621	0.0244318	0.0289329	0.0428375	0.0865723	0.0946289	0.0944672	0.0805096	0.109173	0.0757738	0.0675275
marché	0.0185938	0.0132075	0.0130406	0.0148827	0.0140709	0.00769958	0.00636225	0.00530202	0.00353556	0.00301376	0.00212536	0.00164278	0.00401678	0.00724218	0.014544	0.0114033	0.0121555	0.031978	0.0448109	0.0526417	0.100871	0.0779802	0.133106	0.147658	0.128002	0.130114
</S>	0.0137436	0.0113538	0.0119744	0.0154789	0.0118277	0.00846008	0.00793182	0.00784736	0.00491965	0.00340399	0.00237529	0.00208003	0.00512295	0.0111943	0.020703	0.0163789	0.0173926	0.0568402	0.0672007	0.0701278	0.0831868	0.0685216	0.124374	0.131342	0.106231	0.119987
