 	n	g	a	n	g	a	á	d	z	o	o	l	á	m	w	á	n	a	w	ó	l	a	l	e	k	ú	</S>
le	0.0733985	0.130262	0.0883845	0.0752168	0.0566297	0.0363835	0.0115513	0.0195687	0.030537	0.0315011	0.0286461	0.0265729	0.0332528	0.0296699	0.0377181	0.026807	0.0250213	0.0212897	0.0321334	0.031021	0.0240878	0.0203246	0.0351673	0.0244113	0.0243316	0.0139344	0.0121779
féticheur	0.167553	0.230935	0.0719847	0.0735946	0.0703451	0.071132	0.0368545	0.0474574	0.068696	0.0328284	0.0190177	0.00802741	0.0107074	0.00991036	0.0132285	0.00904536	0.00786476	0.00406074	0.0020743	0.00422628	0.0173724	0.00755945	0.00336002	0.00368275	0.00296652	0.00322101	0.00229473
a	0.0655686	0.0315712	0.0309597	0.0236189	0.0306197	0.0339603	0.0566457	0.0361714	0.0439672	0.073955	0.108504	0.145789	0.0793825	0.0590033	0.0258703	0.0155442	0.0195181	0.00533482	0.0124665	0.0191068	0.00922691	0.007372	0.0114531	0.0106698	0.0131836	0.013182	0.0173555
arraché	0.0401443	0.0320339	0.0421703	0.0426615	0.0286276	0.0465427	0.0461385	0.0511065	0.0429264	0.0503853	0.0635647	0.059733	0.0738324	0.0740826	0.0243782	0.0195876	0.0321096	0.0221796	0.0217261	0.0176358	0.0176819	0.017517	0.0192887	0.0201527	0.0258036	0.0276451	0.0403444
cet	0.0991266	0.0575086	0.0453727	0.0406744	0.0498744	0.0323903	0.0441335	0.0339048	0.026388	0.0318725	0.0443411	0.0383909	0.0375991	0.0191161	0.0163058	0.0170643	0.0370622	0.0230651	0.0424137	0.0212346	0.0301851	0.0274363	0.0268509	0.0275194	0.0311673	0.030027	0.0689753
enfant	0.0630852	0.0325606	0.029257	0.0244682	0.0223611	0.0234634	0.0314774	0.0506	0.0521189	0.0440009	0.0564504	0.06822	0.0650679	0.0466865	0.0881858	0.0353732	0.0349849	0.0324361	0.0195882	0.0187486	0.0229849	0.024265	0.0204609	0.0204303	0.0166104	0.0196843	0.0364299
de	0.0562146	0.0346949	0.0269933	0.0241698	0.0270425	0.0243041	0.0271895	0.0409697	0.038438	0.03305	0.0364773	0.0546801	0.0480448	0.0490858	0.0311456	0.0265722	0.0221963	0.0302274	0.0370633	0.0255432	0.0255343	0.0255958	0.0219755	0.0286107	0.048885	0.0684939	0.0868025
la	0.0228409	0.0158055	0.0158669	0.0144905	0.0132719	0.0191232	0.0199551	0.0290276	0.0435204	0.031777	0.0352271	0.026793	0.028921	0.0437687	0.0654727	0.0566178	0.0336253	0.0451393	0.0769715	0.0537375	0.0255525	0.0176711	0.036939	0.0322645	0.0373672	0.0542229	0.10403
mort	0.047727	0.0400016	0.0465066	0.0450017	0.0435083	0.0506549	0.0275235	0.0265742	0.0272744	0.0283626	0.0239878	0.0165784	0.0114717	0.0142164	0.0079091	0.00671685	0.00677575	0.00454367	0.0186225	0.00976637	0.00992151	0.015051	0.0157077	0.0282164	0.114485	0.138408	0.174487
</S>	0.0650091	0.0357401	0.0220757	0.020495	0.0269051	0.0219459	0.0375857	0.0220514	0.0164083	0.0164523	0.0230065	0.0292536	0.0224383	0.0273653	0.0205494	0.0227899	0.0408122	0.0197729	0.0610965	0.0407014	0.0374898	0.0203288	0.0352297	0.0383564	0.0448063	0.0774838	0.153851
