 	i	k	ω	n	í	l	á	m	w	á	s	í	í	b	h	i	d	z	ú	n	g	u	l	u	l	a	n	g	á	</S>
la	0.0309302	0.0168637	0.00933129	0.00759966	0.00806254	0.00844315	0.018498	0.0379083	0.0371887	0.0956102	0.0814358	0.0376785	0.0548547	0.0326896	0.0218002	0.018816	0.0341806	0.035975	0.0282173	0.0326187	0.0253255	0.0274407	0.0296633	0.0349768	0.028982	0.0408243	0.0523294	0.0377458	0.0484673	0.0255425
maladie	0.154252	0.187851	0.136602	0.231361	0.115214	0.0698605	0.0202888	0.0113391	0.0155754	0.00175341	0.00169874	0.00230039	0.00303436	0.0065757	0.00347566	0.00590417	0.00578818	0.00394156	0.00195081	0.00222286	0.00144769	0.00280491	0.00100902	0.000908547	0.00238276	0.000937577	0.00384486	0.00214977	0.00189539	0.00162929
de	0.0490824	0.0258474	0.00528875	0.00384079	0.00872798	0.0110282	0.0111868	0.0181328	0.0263511	0.0128594	0.0157191	0.0158012	0.016147	0.0265185	0.0369229	0.041804	0.105771	0.0969698	0.0814982	0.130258	0.072617	0.0322629	0.0121562	0.0162827	0.012621	0.0214275	0.024215	0.0293669	0.02556	0.0137352
mon	0.020722	0.0534491	0.0667345	0.0609235	0.0387292	0.0212412	0.0123199	0.0113534	0.0318927	0.0189449	0.0217542	0.0191134	0.0127241	0.0188102	0.0336636	0.0386731	0.0391103	0.0240687	0.0193638	0.0212029	0.0327902	0.0404506	0.0135148	0.00909073	0.0323627	0.0153458	0.0418365	0.0758326	0.0512913	0.10269
épouse	0.0291671	0.0241747	0.0282189	0.0518467	0.0497593	0.0362558	0.0312118	0.0158311	0.0215409	0.00865492	0.00718338	0.0104084	0.0210385	0.0234788	0.0360818	0.0322789	0.0433391	0.0611623	0.049683	0.055712	0.0282857	0.0351918	0.0180513	0.0185304	0.024146	0.0167992	0.039239	0.0605229	0.0443285	0.0778778
a	0.0407487	0.0522509	0.0562197	0.0635708	0.0598271	0.0322781	0.024008	0.0238763	0.0204512	0.0228799	0.0132405	0.0157293	0.0115092	0.00673609	0.00769072	0.00925512	0.0107988	0.0137356	0.0188741	0.0238776	0.021045	0.0251106	0.0301401	0.0275046	0.0325055	0.0422723	0.0287611	0.0577244	0.0701374	0.137241
totalement	0.0464719	0.0389155	0.0527887	0.060571	0.0527446	0.0340324	0.0202379	0.0230879	0.0181005	0.0147779	0.0169228	0.0291804	0.0225178	0.014971	0.0128113	0.014005	0.0178093	0.0275729	0.038647	0.0270165	0.0314282	0.025141	0.0206135	0.020782	0.0341639	0.0255747	0.0327955	0.0612269	0.0573253	0.107767
dépassé	0.0342848	0.0292914	0.0340864	0.0340071	0.0284522	0.0237391	0.0182485	0.0236231	0.0211739	0.0278275	0.0427319	0.0277346	0.0336267	0.0267453	0.0318937	0.0464699	0.026496	0.0460271	0.0361639	0.0234655	0.0119082	0.0170126	0.0257777	0.0158509	0.0291505	0.0140753	0.0416312	0.039026	0.0756255	0.113853
mes	0.0454536	0.0327955	0.0271076	0.0256596	0.0279869	0.0226997	0.0143708	0.0136307	0.00637004	0.0095115	0.0138976	0.0297602	0.0369252	0.0381622	0.0406026	0.042881	0.0414249	0.0664289	0.0531496	0.0339115	0.0142759	0.0211352	0.0296598	0.0204477	0.032385	0.0139188	0.043729	0.0409544	0.0707745	0.0899901
moyens	0.0669011	0.0463788	0.0404813	0.0372823	0.0286377	0.0136523	0.00828862	0.00749036	0.00600641	0.00564589	0.00751594	0.0117838	0.0154978	0.0134872	0.014311	0.0157345	0.0156176	0.082473	0.0635186	0.0399574	0.0275112	0.0286168	0.0288875	0.0238745	0.0287734	0.0250962	0.0397493	0.0389808	0.0827099	0.135139
</S>	0.0393726	0.03256	0.0318256	0.0325935	0.0296717	0.0226256	0.0121905	0.0120033	0.00584383	0.00748939	0.0059499	0.012798	0.0125844	0.0174502	0.0297509	0.0263123	0.0229807	0.027472	0.042548	0.0568281	0.0403081	0.0327145	0.0382861	0.0342611	0.0598557	0.0249835	0.03938	0.0770205	0.0863742	0.0859659
