 	n	g	a	n	g	a	á	m	i	b	h	á	m	b	á	l	e	t	s	a	t	s	a	e	m	ó	o	k	ω	n	í	</S>
le	0.0364138	0.0625629	0.0690645	0.0331026	0.0247827	0.0246121	0.0587796	0.0319649	0.0331912	0.029043	0.0281985	0.0289432	0.0359142	0.0270581	0.0273381	0.0310707	0.0305142	0.0428104	0.0307838	0.0481444	0.05614	0.0418376	0.0292272	0.0235369	0.0198024	0.0163105	0.0121257	0.0162226	0.0136177	0.0125975	0.0110244	0.0132644
guérisseur	0.19856	0.0889046	0.0494641	0.0951249	0.135156	0.100553	0.115938	0.051818	0.0446543	0.0399043	0.00906595	0.0034268	0.00564161	0.00869999	0.00235977	0.00186075	0.00142553	0.00222326	0.00191771	0.00246754	0.0022773	0.00334699	0.00263964	0.00400165	0.00628576	0.00350654	0.00677367	0.00681697	0.00209562	0.00194367	0.000779687	0.00036677
a	0.00365182	0.00996968	0.0157081	0.0112396	0.017871	0.0229075	0.0309266	0.0260482	0.0365528	0.0437033	0.0382377	0.0592323	0.0635595	0.0934371	0.0665914	0.0363227	0.0381321	0.0425431	0.0315146	0.0420627	0.0455109	0.0491755	0.042251	0.0279764	0.0244043	0.0163393	0.00990998	0.0132833	0.0138795	0.00996032	0.00957634	0.00752125
crachoté	0.0103721	0.00494888	0.00418988	0.00506141	0.00551098	0.00634584	0.0112235	0.0121801	0.0204219	0.028103	0.0214648	0.0251778	0.0252966	0.0327463	0.0374685	0.0489811	0.0431751	0.0634952	0.0809325	0.0679803	0.0628573	0.109199	0.0389146	0.0361347	0.0259995	0.0255537	0.0271122	0.0314159	0.0266615	0.0208373	0.0181023	0.0221361
de	0.0412183	0.0127799	0.0114633	0.011062	0.0126649	0.0198548	0.0168754	0.023095	0.029851	0.0238878	0.0310466	0.0395875	0.0395246	0.0575094	0.049917	0.0356212	0.0360596	0.0336482	0.0340136	0.0270509	0.0165516	0.0227549	0.0162634	0.0203009	0.0199322	0.0255469	0.0316171	0.0314601	0.0423977	0.0400005	0.0497224	0.0967214
l'	0.0163231	0.00612844	0.00600646	0.00587656	0.00703104	0.0107865	0.0185333	0.0191771	0.0221495	0.0268846	0.0264408	0.0309543	0.0307074	0.0402649	0.0388262	0.0348113	0.0303896	0.0293496	0.0292969	0.0224671	0.01428	0.0251448	0.0253413	0.0373628	0.0392001	0.0474166	0.0603983	0.04591	0.0530788	0.0656143	0.0638011	0.0700471
herbe	0.00825752	0.00554413	0.0056042	0.00524894	0.00599795	0.00716069	0.0119972	0.0199184	0.0181929	0.0162904	0.0192684	0.0223716	0.0307663	0.0336664	0.0561002	0.0665348	0.0519774	0.0350474	0.0380408	0.0268028	0.0255037	0.0403354	0.0289437	0.0328921	0.0351805	0.0414629	0.0510155	0.0470192	0.041659	0.05045	0.0401259	0.0806239
mâchée	0.00943601	0.00745787	0.00701841	0.00717245	0.00733039	0.00746139	0.0106589	0.0113071	0.0112143	0.012264	0.0132243	0.0152071	0.0226758	0.0180966	0.0233806	0.0377332	0.0360834	0.0355137	0.0431885	0.0315716	0.038921	0.0469884	0.0386592	0.0321307	0.0351155	0.0591171	0.0875611	0.047723	0.0541841	0.0559772	0.0617913	0.0738359
sur	0.012951	0.00789555	0.00521055	0.00513559	0.00634745	0.0088091	0.0109264	0.0254676	0.0354614	0.039791	0.0410057	0.0328312	0.0220134	0.0352775	0.0301146	0.0308739	0.0222284	0.0225139	0.0213522	0.0166938	0.0147974	0.0253696	0.0197833	0.0205262	0.0203061	0.0213564	0.0352758	0.0270229	0.0456485	0.0824304	0.0789748	0.175608
le	0.042814	0.0237029	0.0153258	0.0142183	0.0167194	0.0235527	0.014068	0.0151763	0.0241726	0.0179751	0.0190716	0.022195	0.0212766	0.0200846	0.018768	0.0240056	0.0204715	0.0274184	0.0303867	0.0204501	0.0238683	0.0376338	0.034294	0.0352895	0.0385595	0.0331099	0.0356765	0.0420877	0.0588483	0.0690593	0.0589581	0.100762
malade	0.0191915	0.0100858	0.00669333	0.00543416	0.00442481	0.00519441	0.010848	0.0172001	0.0170424	0.0179178	0.0235558	0.0173013	0.0194232	0.0234189	0.026499	0.028277	0.0255966	0.0293762	0.0360701	0.0207332	0.028021	0.0380932	0.0413089	0.0354654	0.0399257	0.0391261	0.057857	0.04015	0.0470725	0.0729226	0.0830581	0.112716
</S>	0.0460087	0.0342061	0.0202065	0.0273716	0.0233928	0.0145196	0.0220505	0.019067	0.0159461	0.0131876	0.014695	0.0316529	0.0256997	0.0236257	0.0271993	0.0326721	0.031087	0.0341641	0.041972	0.0250463	0.0274939	0.0228623	0.0255196	0.0183866	0.0160244	0.00884539	0.0207999	0.0151456	0.0187176	0.0512394	0.0684585	0.182736
