 	o	k	y	έ	m	b	i	s	i	b	í	s	í	k	á	s	i	y	á	m	b	é	m	b	é	á	d	z	e	o	k	o	n	d	z	i	y	a	k	a	l	a	</S>
c'	0.00853993	0.0106972	0.00885431	0.00741258	0.00724336	0.00766192	0.0143965	0.0201325	0.0230507	0.0474931	0.0496217	0.0755866	0.079234	0.0552149	0.0402183	0.0372184	0.0382576	0.0424311	0.0342732	0.0127069	0.011228	0.0134799	0.0128262	0.00853355	0.0158837	0.0166213	0.0171521	0.0194243	0.00980432	0.0122737	0.0120946	0.0114065	0.00902285	0.0104378	0.0107859	0.0131597	0.0141623	0.0159349	0.021615	0.0197779	0.0294444	0.0408489	0.0338376
est	0.0315323	0.0268124	0.0353204	0.028916	0.0264292	0.0183503	0.0203729	0.0213471	0.0212058	0.0223515	0.0225131	0.0179458	0.0140037	0.0151047	0.00879547	0.00903551	0.026028	0.0259807	0.027596	0.0382547	0.0215129	0.0252477	0.0310153	0.0497914	0.0365356	0.0395769	0.0390674	0.0274471	0.0276865	0.0299032	0.0451117	0.0340594	0.0241208	0.0157304	0.0223729	0.0227093	0.00788527	0.00812759	0.0107738	0.00610068	0.00510343	0.00560186	0.00662338
l'	0.0648669	0.0671396	0.0546771	0.0585444	0.0627294	0.0662195	0.0376408	0.0301766	0.0139763	0.00774562	0.0114327	0.015456	0.0104841	0.00832869	0.00744793	0.00549954	0.00673836	0.00727091	0.0235707	0.0221455	0.0392884	0.0224354	0.0303726	0.0103564	0.0127533	0.00707633	0.00800816	0.00557445	0.00949668	0.00892013	0.0128026	0.034354	0.0420886	0.0441665	0.0236185	0.0111582	0.00767998	0.0115483	0.0127071	0.0127314	0.0163435	0.00869525	0.0257335
ancien	0.025124	0.0327187	0.0289035	0.019518	0.0230576	0.0105274	0.00566406	0.0062292	0.0045107	0.00805298	0.00726047	0.00571497	0.00404338	0.00215618	0.00204883	0.00312074	0.00774986	0.00642622	0.0095839	0.0160527	0.0203999	0.0111374	0.0136828	0.0101027	0.0281675	0.0199463	0.0236486	0.0338812	0.0354982	0.0448344	0.0572124	0.0684372	0.0481926	0.0665497	0.0645139	0.0462827	0.0346551	0.0279873	0.0229543	0.0164528	0.0159551	0.0155848	0.0454599
président	0.00478922	0.00350663	0.00433294	0.0035674	0.00337489	0.00327277	0.00425669	0.00655429	0.00191633	0.00184396	0.00132717	0.00296599	0.00515801	0.00372859	0.00430859	0.00230731	0.00389765	0.0292416	0.0693792	0.0871848	0.0590375	0.0251138	0.0313995	0.0246169	0.0269841	0.0276123	0.0246988	0.0319636	0.0395047	0.0411244	0.0354265	0.0513112	0.0714014	0.0691273	0.0544015	0.0218335	0.016689	0.0131425	0.0114735	0.0124767	0.0159426	0.0162887	0.0315162
qui	0.0321708	0.0384094	0.0465985	0.0429576	0.0469239	0.0429046	0.0304968	0.0208396	0.0380409	0.0311066	0.0335012	0.0201994	0.0347201	0.0394803	0.0382089	0.0452023	0.0494162	0.0325451	0.0214533	0.0207281	0.0190042	0.00946346	0.0103025	0.00451031	0.00797749	0.00911474	0.00504028	0.00701605	0.0072344	0.00798929	0.00613009	0.0109757	0.0132515	0.0120641	0.0136516	0.0146356	0.0191865	0.0190153	0.0145105	0.0146791	0.0158508	0.0159193	0.0365737
nous	0.0187307	0.0194664	0.0220023	0.0200966	0.02104	0.0218292	0.0120646	0.0143501	0.0227398	0.00962307	0.0124258	0.00864795	0.0110199	0.0142459	0.0182005	0.0177124	0.034467	0.0169001	0.0187115	0.0387523	0.0324865	0.0234961	0.0468727	0.0343713	0.0307001	0.0291522	0.0258884	0.031187	0.0291869	0.0295106	0.0280214	0.0272993	0.0257329	0.0284493	0.0289509	0.0200169	0.0173828	0.0165322	0.0167894	0.0154774	0.0188404	0.0214496	0.0491796
a	0.0455061	0.0263181	0.0264925	0.0239	0.0199153	0.0173012	0.014082	0.0129747	0.0228609	0.0156743	0.019133	0.0170597	0.024261	0.0390771	0.047229	0.0435154	0.0626319	0.0410609	0.0315373	0.0384307	0.0227684	0.0174097	0.0321344	0.0203255	0.0233177	0.0169933	0.0165648	0.0212641	0.0194602	0.0165747	0.0196793	0.0141646	0.0105435	0.00829023	0.0071201	0.00660937	0.00983538	0.0106137	0.0128851	0.0127747	0.0216245	0.0243534	0.0457323
fait	0.0982103	0.0453313	0.0267089	0.0176447	0.0103659	0.00780217	0.00733248	0.00731995	0.0131271	0.0105912	0.0131646	0.0115659	0.0130973	0.0220398	0.0267556	0.0350386	0.0622019	0.0353658	0.0306778	0.0296451	0.0243888	0.0169415	0.0258837	0.0137222	0.0172239	0.0116275	0.015933	0.0251777	0.0236624	0.0247873	0.0335408	0.0309331	0.0203248	0.0218235	0.0115911	0.0123519	0.012623	0.0143067	0.0182474	0.0177657	0.0226675	0.0232564	0.0372337
écrire	0.1014	0.0343292	0.0181189	0.0107858	0.00644222	0.00505357	0.00480599	0.0060552	0.00841888	0.00784216	0.00886665	0.00857175	0.00842559	0.0105067	0.00979845	0.015655	0.0242029	0.0213899	0.0270951	0.0232852	0.0287656	0.0238427	0.0280971	0.0205741	0.0224798	0.0187997	0.0237133	0.0309983	0.0284273	0.0302941	0.0397581	0.0453798	0.029741	0.0368376	0.0232216	0.0261644	0.0157362	0.0179754	0.0254232	0.0192032	0.0271886	0.028051	0.0482783
