 	m	w	á	s	í	y	a	n	g	á	n	d	z	ó	r	o	é	l	a	a	n	g	i	é	k	á	r	í	n	g	á	w	a	a	b	έ	ε	</S>
ma	0.0110506	0.00961761	0.00890179	0.00632631	0.00814777	0.00887379	0.0119866	0.0132764	0.0202636	0.0439819	0.0463711	0.0702925	0.0855092	0.086924	0.11759	0.0481631	0.0446917	0.0344501	0.0183885	0.0147573	0.0188923	0.0083785	0.00982048	0.018315	0.0109652	0.0227261	0.0127799	0.0178372	0.011369	0.0200843	0.0182137	0.0142599	0.0138461	0.0158816	0.0149362	0.0224761	0.0156007	0.0240535
femme	0.113687	0.146652	0.144498	0.0862054	0.0426776	0.0761613	0.040109	0.073461	0.0472367	0.0484096	0.0276133	0.0107969	0.00620821	0.00362409	0.00252611	0.00468112	0.00323075	0.00781382	0.0147115	0.00830116	0.0230304	0.012943	0.00671336	0.00179153	0.00129403	0.000654129	0.000783495	0.000534366	0.00062119	0.0006325	0.00199908	0.00890315	0.00470705	0.00713299	0.00610086	0.0108952	0.00167014	0.000988684
s'	0.02608	0.0479698	0.0299797	0.0380058	0.0409328	0.0412681	0.0592522	0.0219831	0.0255123	0.024269	0.0407052	0.026832	0.0153227	0.02886	0.025276	0.0333702	0.0314965	0.0389711	0.0198455	0.0203944	0.0235112	0.0322318	0.0228853	0.0336995	0.0269715	0.0328898	0.0361925	0.0509663	0.0359666	0.0138162	0.00697972	0.00412515	0.00459498	0.00402368	0.00459325	0.0134203	0.0115768	0.00522898
est	0.0358226	0.0228281	0.0192653	0.0194529	0.0158078	0.019437	0.0213046	0.0173486	0.0160668	0.0272729	0.0273032	0.0320966	0.0273046	0.0455894	0.0468767	0.051574	0.047367	0.0487806	0.0476061	0.0325377	0.0184342	0.0107442	0.0135988	0.0119396	0.0193998	0.0282606	0.0348897	0.0267029	0.0400052	0.0177772	0.0249985	0.0123525	0.0144124	0.0209387	0.00897725	0.012436	0.0291385	0.0333517
excitée	0.0169914	0.0216722	0.0221565	0.0146732	0.0107742	0.0250374	0.0252288	0.0241251	0.0232121	0.0278485	0.0205247	0.0244822	0.0179867	0.024945	0.0288653	0.0231226	0.0409755	0.0473204	0.0617673	0.0307741	0.0500657	0.0191263	0.0163172	0.0154509	0.0127613	0.0110451	0.0114634	0.0113479	0.0119518	0.0129992	0.0242816	0.0348905	0.0374137	0.0414887	0.0329311	0.0481125	0.0289393	0.0469303
lorsque	0.0343162	0.0241233	0.0190346	0.0102794	0.0213899	0.0131675	0.0109712	0.00764525	0.012771	0.0269581	0.0210773	0.0103119	0.00873473	0.0109033	0.0215703	0.0284596	0.0477255	0.0291306	0.0605384	0.0671847	0.0299563	0.047477	0.0331655	0.0345332	0.0330343	0.0466702	0.0354912	0.0399217	0.0341138	0.0135643	0.0121857	0.00845543	0.00835745	0.0148178	0.0094967	0.0164792	0.0411278	0.0548595
je	0.0267096	0.0182091	0.0138516	0.00808308	0.0102582	0.0233957	0.0152944	0.0164107	0.0163276	0.0269406	0.0457436	0.0132811	0.00782546	0.00875451	0.0178493	0.0200002	0.0323726	0.054171	0.132923	0.139483	0.0472537	0.0246997	0.0245845	0.0228108	0.0251946	0.0185244	0.0172626	0.0115893	0.00905535	0.00759894	0.0111479	0.0163186	0.0140839	0.013664	0.00895979	0.0122846	0.0326266	0.0344573
lui	0.0681742	0.0450068	0.0311611	0.0270239	0.0324173	0.040569	0.0264772	0.0268001	0.0369969	0.0336354	0.0301176	0.0216473	0.0126185	0.0211099	0.025075	0.0209289	0.0207424	0.0166585	0.0243161	0.0380378	0.0139546	0.0113822	0.0123495	0.00690225	0.018764	0.00861972	0.0242918	0.0212017	0.0263286	0.030463	0.0395445	0.0170006	0.0219386	0.0179276	0.0130408	0.0152595	0.0153967	0.0861205
ai	0.193257	0.0570508	0.0328188	0.0299666	0.026619	0.0146774	0.0168035	0.0103347	0.0184824	0.0171913	0.0361184	0.0139688	0.0140853	0.0206211	0.0272052	0.0265969	0.0248245	0.022908	0.0430703	0.059959	0.0362224	0.0376837	0.0360663	0.0129954	0.0205271	0.011158	0.0084042	0.00647609	0.00740928	0.00826436	0.00928126	0.00536394	0.00807851	0.0084188	0.00786977	0.00801514	0.0142603	0.0469465
caressé	0.207906	0.0463501	0.0298288	0.030668	0.0189205	0.0207792	0.0239324	0.0113992	0.0134754	0.0175845	0.028506	0.0122854	0.0139955	0.0257494	0.0272432	0.0246128	0.0265626	0.0241158	0.0345089	0.0398544	0.0323202	0.0136099	0.0164822	0.00907486	0.012373	0.0125418	0.0142599	0.00888546	0.0102217	0.0109528	0.012606	0.00781872	0.0110901	0.0116247	0.00962215	0.00963112	0.0201333	0.0984741
les	0.308221	0.0463922	0.0383069	0.0441481	0.0184733	0.0142479	0.016265	0.0141538	0.0128028	0.0174363	0.028519	0.0221289	0.0185622	0.0354406	0.0342583	0.0266448	0.0273099	0.0155551	0.0194135	0.0146227	0.00997977	0.00791151	0.0131846	0.00629923	0.0126104	0.00854986	0.0129669	0.0061764	0.00596422	0.00608103	0.00511662	0.00312454	0.00437167	0.00852692	0.00468592	0.00575096	0.0123137	0.0934839
seins	0.103771	0.0175391	0.02517	0.0306501	0.0133592	0.0197929	0.0244597	0.0227682	0.0152449	0.0185207	0.0351516	0.0404631	0.0236083	0.0345351	0.0366386	0.0284298	0.0322445	0.0232742	0.0267825	0.0181814	0.023114	0.00901402	0.0108662	0.00850606	0.0147586	0.012781	0.0191905	0.00906126	0.0105952	0.0137907	0.0182177	0.0134065	0.0185542	0.0204417	0.0246764	0.0329962	0.0408624	0.108583
</S>	0.107245	0.0345097	0.0487781	0.0606031	0.0253377	0.0383691	0.0279793	0.0262638	0.0143746	0.0215217	0.0235642	0.0243198	0.0116106	0.0266721	0.0168165	0.0138022	0.0213564	0.0171505	0.0259753	0.0186983	0.00979098	0.00468254	0.0069994	0.00699739	0.010136	0.0150893	0.0252797	0.0212353	0.0223528	0.0262273	0.0218868	0.0195398	0.0177706	0.0301396	0.0212027	0.0285896	0.0423259	0.0648065
