 	o	l	ω	i	l	á	a	s	ω	l	ώ	n	d	é	e	y	á	e	b	h	ó	a	n	d	é	n	g	é	y	é	é	s	ω	l	ώ	o	t	o	í	i	d	u	u	</S>
le	0.00810587	0.0113699	0.0100434	0.0105606	0.0141796	0.0200416	0.0443165	0.0206787	0.0279495	0.0355605	0.0278111	0.0435563	0.0417043	0.0420012	0.0185895	0.0189017	0.0150612	0.021389	0.00976356	0.0104545	0.0144761	0.0152364	0.0178565	0.0162671	0.0152589	0.0277857	0.0393695	0.0356978	0.0327197	0.0321952	0.0211197	0.0225166	0.0214848	0.016365	0.0196658	0.0180221	0.0143458	0.0155806	0.0211908	0.0260654	0.0280919	0.0251428	0.0256085	0.0258987
sorcier	0.00736046	0.014003	0.0208514	0.0199824	0.0261712	0.035129	0.039321	0.0647711	0.0619227	0.113423	0.0481074	0.0544156	0.0725748	0.0848684	0.0500914	0.0473264	0.0159285	0.0115677	0.00243643	0.00136283	0.00157204	0.000592369	0.000641933	0.0011014	0.000775735	0.0012377	0.0013197	0.00179494	0.00250696	0.00365309	0.00563096	0.00663503	0.00535717	0.00462382	0.0182727	0.0167867	0.018384	0.0286665	0.0376267	0.0278119	0.013797	0.00517527	0.00223732	0.00218395
connait	0.0670636	0.0491364	0.0538719	0.0664828	0.0603192	0.0257862	0.00482183	0.00732914	0.00591917	0.0072776	0.00539114	0.0112129	0.0249155	0.0217387	0.0178767	0.0160442	0.011963	0.0148307	0.00963912	0.0120288	0.0144813	0.0133857	0.0279019	0.0320694	0.0316392	0.0228491	0.0358537	0.0308644	0.0517782	0.0356681	0.0299122	0.0158953	0.0234549	0.0236134	0.0176556	0.0169879	0.0120388	0.00981543	0.0138589	0.00993901	0.00938632	0.0106005	0.0103637	0.00633846
la	0.029204	0.0307247	0.030052	0.0195234	0.0148039	0.0189909	0.0259268	0.0240742	0.0205028	0.025648	0.0238291	0.0407375	0.0443009	0.0480174	0.0530581	0.0633875	0.0363836	0.0293488	0.0216114	0.0260434	0.0275261	0.025081	0.0243927	0.0250928	0.0217146	0.0155509	0.0138404	0.0204677	0.0113375	0.00934168	0.00942807	0.0145825	0.00806774	0.0156488	0.0132908	0.00876588	0.0099463	0.0108925	0.0121328	0.0137763	0.00956877	0.00956167	0.0115014	0.0323224
maison	0.0152138	0.0145581	0.0135059	0.0156413	0.0152363	0.0141359	0.0214231	0.0245398	0.0260747	0.0298427	0.0210331	0.034582	0.0365764	0.0453082	0.0405369	0.0500433	0.0380963	0.0304276	0.0279669	0.0219838	0.0219298	0.0161201	0.0157633	0.0263855	0.0259639	0.0238902	0.0146143	0.01756	0.0135815	0.0152966	0.0161959	0.014993	0.0136236	0.0182667	0.0203717	0.016913	0.0205981	0.0172111	0.0155778	0.0132844	0.0158592	0.0215058	0.022466	0.0453021
du	0.0410966	0.0392482	0.0291211	0.0224624	0.0244713	0.0269112	0.0176997	0.0265795	0.0197671	0.0204749	0.012197	0.0163333	0.0160419	0.0229475	0.0306883	0.035916	0.0341501	0.0305992	0.0277611	0.0322466	0.0453019	0.0365372	0.0338876	0.0285577	0.0230021	0.0212402	0.0253471	0.0311383	0.0264446	0.0141942	0.0211448	0.0119704	0.0114318	0.0158392	0.00900631	0.00557643	0.00804516	0.00813543	0.00635914	0.00512871	0.00508912	0.0133737	0.0173227	0.0492132
fou	0.0280397	0.0228499	0.0192358	0.0213771	0.0182018	0.0113756	0.0108109	0.0107936	0.0111044	0.0108534	0.0114943	0.0117791	0.0116207	0.0126312	0.0135019	0.0143613	0.0105781	0.0132492	0.0129906	0.0190493	0.0197181	0.0228912	0.0294236	0.037868	0.0353779	0.0544221	0.0377448	0.0614656	0.0305764	0.0316965	0.0369759	0.0224165	0.0231025	0.017247	0.0212042	0.012558	0.0126765	0.0144337	0.0179626	0.0179667	0.0216507	0.0292044	0.040107	0.0554122
de	0.0821036	0.0440944	0.032838	0.0286646	0.0255486	0.0180469	0.017541	0.0174286	0.0171889	0.0145948	0.0194864	0.0228935	0.0249377	0.0320928	0.025859	0.0195003	0.0157287	0.020682	0.0179647	0.0251697	0.0241512	0.0347184	0.0375947	0.0305382	0.0262684	0.0471907	0.0327987	0.0373054	0.0231468	0.0293672	0.0471484	0.0192037	0.0100944	0.00516539	0.00664439	0.00227344	0.00200877	0.00171878	0.00254455	0.00231786	0.00433112	0.00935613	0.0139007	0.0278485
la	0.0515579	0.0345222	0.0271242	0.0236373	0.018157	0.0115482	0.00892176	0.00799012	0.00761616	0.00810054	0.0106736	0.0143474	0.0147177	0.0136285	0.01394	0.0151946	0.012599	0.0262601	0.0166322	0.0245408	0.0253902	0.0303286	0.0260541	0.0137107	0.0132525	0.0208423	0.0214319	0.0290177	0.0190906	0.0271157	0.0495832	0.0264723	0.0211146	0.0176928	0.0188007	0.0112492	0.0116101	0.0122825	0.0254076	0.0273148	0.0283877	0.040588	0.0457385	0.0758144
même	0.0413091	0.0299103	0.0239884	0.0176686	0.0100517	0.00755486	0.00893125	0.00956836	0.00967462	0.0107872	0.0113414	0.01788	0.0143536	0.0145394	0.00943686	0.00848366	0.00739421	0.0113338	0.0119231	0.0123988	0.0146902	0.0145907	0.0201054	0.0152262	0.0231135	0.0438008	0.045152	0.0329818	0.0260388	0.040945	0.0356599	0.0286749	0.017647	0.0123469	0.0182996	0.0092835	0.00732461	0.00981325	0.0175274	0.0185174	0.0287796	0.0502781	0.0841665	0.096508
manière	0.0341611	0.0187606	0.0230069	0.0253884	0.0233933	0.0198162	0.0129849	0.0179971	0.0128949	0.0109589	0.00667129	0.006529	0.00508782	0.007091	0.0107669	0.0120798	0.014088	0.018051	0.0296622	0.0341228	0.0409848	0.0350131	0.042981	0.0476938	0.0442709	0.0425563	0.0353523	0.0266126	0.0331397	0.0202286	0.0226886	0.0218692	0.0158588	0.0210929	0.017063	0.0127175	0.0148062	0.0132569	0.0147927	0.0124347	0.0146303	0.0185389	0.0250214	0.0628837
qu'	0.0522702	0.0251467	0.0207009	0.0201031	0.021741	0.0200377	0.0123878	0.0114577	0.00934838	0.0091752	0.00934751	0.0116129	0.00989988	0.00661629	0.0091968	0.0104147	0.0115993	0.0165065	0.0218669	0.0286696	0.035483	0.0328912	0.0273556	0.0212927	0.0246027	0.0202447	0.0230287	0.0203763	0.0237496	0.0186351	0.0223367	0.0255997	0.0219125	0.0397979	0.0268656	0.0341677	0.0244676	0.0257566	0.028439	0.0282679	0.0284557	0.0264873	0.0307104	0.0509767
un	0.0874137	0.0569483	0.0393421	0.0268001	0.0157441	0.0097671	0.00679978	0.00687103	0.00476506	0.00463092	0.00560735	0.0116972	0.0115847	0.00827726	0.0106651	0.0148282	0.0135557	0.0189868	0.0103432	0.0157114	0.0255425	0.018569	0.014183	0.0101457	0.0164239	0.0209104	0.0191046	0.0139016	0.0166768	0.0219129	0.0274554	0.035208	0.0182812	0.0290326	0.0288617	0.0179214	0.014849	0.0118783	0.0130124	0.00782145	0.0162869	0.0377506	0.0607043	0.123227
pêcheur	0.0814185	0.0305031	0.0118778	0.00759687	0.00645106	0.0058187	0.00618182	0.00615243	0.00612302	0.00647873	0.00699849	0.0108367	0.0110847	0.0107886	0.0101512	0.0133399	0.0116631	0.0173259	0.0200656	0.0186596	0.0183005	0.0215416	0.0226207	0.0160205	0.0188832	0.0253255	0.0296169	0.0300648	0.0217356	0.0193401	0.0233265	0.0214929	0.0180319	0.0225607	0.0180614	0.0167979	0.0171398	0.0152909	0.0256374	0.0231363	0.0322954	0.0472028	0.0735469	0.122514
connait	0.0281971	0.0136383	0.00824222	0.00732663	0.00482595	0.00275	0.00217855	0.00204879	0.00198101	0.00187898	0.00239472	0.00379063	0.00346451	0.00343875	0.00350298	0.00371849	0.00417115	0.00971769	0.0113237	0.0211766	0.030183	0.0388466	0.0382097	0.0242952	0.0273521	0.0378049	0.0391465	0.0362546	0.0334966	0.0274798	0.0525628	0.0389598	0.0257465	0.0262129	0.0264663	0.0170994	0.017882	0.0131263	0.0183795	0.0149223	0.0252408	0.0418648	0.0711696	0.137531
les	0.0416588	0.0299001	0.0285558	0.0302309	0.0359355	0.0381887	0.0438866	0.0503325	0.0427914	0.0436811	0.0332417	0.0387952	0.0227975	0.0180467	0.0245309	0.0239129	0.0209359	0.016931	0.0149526	0.0184613	0.0176006	0.0187758	0.0217407	0.0199026	0.0161106	0.0155122	0.0148318	0.0169763	0.0149749	0.0103157	0.0143345	0.0126696	0.00795602	0.0107384	0.0105772	0.00978097	0.011103	0.00904294	0.0108572	0.01108	0.0156807	0.0212932	0.0266715	0.043706
caches	0.0388101	0.0308919	0.0284878	0.0203555	0.012253	0.00847665	0.00770923	0.00761039	0.00714967	0.00637205	0.00854499	0.0131248	0.011648	0.0103246	0.0094724	0.00932706	0.00872761	0.0116516	0.0106891	0.0117822	0.0134611	0.014224	0.0122883	0.0062861	0.00989663	0.0144512	0.0139126	0.0123463	0.0128889	0.0153565	0.0241564	0.0308659	0.0174394	0.0233624	0.0297577	0.0249566	0.0278041	0.0277933	0.0348647	0.0336796	0.050663	0.0707414	0.0903801	0.115015
des	0.0273033	0.0227684	0.0286992	0.0309667	0.0290611	0.0272323	0.0285464	0.0226429	0.0155427	0.0156402	0.0118321	0.0169639	0.0132574	0.0123099	0.0145152	0.0167002	0.0174143	0.0156497	0.0198896	0.023331	0.0205079	0.0256842	0.0279746	0.0225169	0.0232836	0.0223495	0.01974	0.0246962	0.0190776	0.0153993	0.0250717	0.022141	0.0199808	0.0216666	0.0231292	0.0238237	0.0217396	0.0195177	0.0195927	0.0258997	0.0280559	0.0335082	0.0392005	0.0451767
poissons	0.0614038	0.0470532	0.0514559	0.0360139	0.0283448	0.0191456	0.0108711	0.00987262	0.00891933	0.0079338	0.00944939	0.0147268	0.011778	0.0115808	0.0121342	0.0121193	0.0105075	0.0188264	0.00716112	0.0103136	0.0123989	0.00969175	0.00594873	0.00475385	0.00814584	0.00923761	0.011714	0.0116454	0.0126581	0.0157798	0.0262105	0.0324216	0.0180946	0.0195806	0.0295724	0.0176447	0.0197814	0.0165793	0.0213227	0.0198174	0.0325108	0.05475	0.0641274	0.126002
</S>	0.0495756	0.0408589	0.0494886	0.0532049	0.0487897	0.0429346	0.0279734	0.0238307	0.0178074	0.0152871	0.00757086	0.0104146	0.00790265	0.0100859	0.0123203	0.0137642	0.0137854	0.0130415	0.0157882	0.0172031	0.0161534	0.0192943	0.0240062	0.0174809	0.0184262	0.0173359	0.0164787	0.0176541	0.0149692	0.0152096	0.0185323	0.0212488	0.0166021	0.021581	0.0236044	0.0200741	0.0213021	0.0152113	0.0193747	0.0173994	0.0249262	0.0336596	0.0336198	0.0442282
