 	d	z	w	a	á	o	y	e	b	h	é	r	á	m	w	ε	n	έ	w	á	r	e	o	b	a	é	m	ó	o	b	á	n	d	á	i	m	b	y	é	n	g	í	</S>
va	0.0620297	0.015081	0.0382727	0.0264897	0.0352571	0.0242235	0.0334821	0.0348563	0.0616205	0.029309	0.0402705	0.0474791	0.0569304	0.0555012	0.0367131	0.0341095	0.0283014	0.0258637	0.0335902	0.0081209	0.00852559	0.00499555	0.0131638	0.00957004	0.00820407	0.0122673	0.00876182	0.00944609	0.00669303	0.00597156	0.00717408	0.0079024	0.0110957	0.0128953	0.0112251	0.0165866	0.0156746	0.0171414	0.0173133	0.012441	0.0189899	0.0197109	0.0167492
avertir	0.0286669	0.0650569	0.0417392	0.0311247	0.0285146	0.0677063	0.0566322	0.0690042	0.0604387	0.0441926	0.0426402	0.03091	0.0232829	0.0492077	0.0708972	0.0700582	0.019422	0.054107	0.0396933	0.019653	0.00899945	0.00780596	0.0128738	0.00467738	0.00531927	0.00234506	0.00294442	0.00208405	0.0016121	0.00236939	0.00155512	0.00279316	0.00294342	0.00377962	0.00308247	0.00244202	0.00174779	0.00250459	0.00242146	0.00149418	0.00269714	0.00277827	0.00578226
le	0.0195321	0.0540571	0.0371318	0.0135964	0.029408	0.0314319	0.0276927	0.0176942	0.0171308	0.0239761	0.0368051	0.0305321	0.0249043	0.0370532	0.0252087	0.0418544	0.0331631	0.0469529	0.0299438	0.0696316	0.0241871	0.0228657	0.0337445	0.0230754	0.0144127	0.0385004	0.0180306	0.0139377	0.0126457	0.00822633	0.00877011	0.00798854	0.00840446	0.00827372	0.00919911	0.0153269	0.0101371	0.012002	0.0125001	0.0107397	0.0141793	0.016553	0.00859945
notable	0.00752126	0.0205242	0.0285744	0.0189127	0.0197608	0.0212264	0.0290956	0.0600847	0.03001	0.0380538	0.0209238	0.0441264	0.0351679	0.0298433	0.0494475	0.0320059	0.0314146	0.0276918	0.052924	0.0478115	0.0358232	0.0316175	0.0132796	0.00953134	0.0101875	0.00476498	0.010665	0.00771787	0.0103963	0.0168838	0.0127745	0.0155419	0.0191963	0.0217081	0.0261147	0.0270708	0.0105638	0.0103847	0.0132043	0.00456346	0.00937905	0.0118245	0.0216865
que	0.00756831	0.0119771	0.00599871	0.00557343	0.00613262	0.0100614	0.0121777	0.0124558	0.0149315	0.0147755	0.015574	0.0162398	0.0167103	0.0176306	0.0305055	0.0478921	0.0310244	0.0451842	0.0335715	0.0502457	0.0400797	0.0502181	0.0376405	0.0390202	0.0365069	0.0352683	0.0333639	0.0270244	0.0277981	0.0265653	0.0158689	0.0173128	0.0150695	0.0157094	0.0109807	0.0118867	0.0112022	0.0118781	0.0158856	0.0154988	0.0247215	0.0314069	0.0428635
le	0.00554363	0.00804762	0.00886932	0.00812554	0.00698784	0.0110775	0.0116057	0.0105877	0.0109885	0.0119111	0.0140463	0.0161894	0.0202972	0.0167063	0.0194751	0.0498943	0.0316132	0.0517431	0.0777646	0.0926467	0.0409211	0.0698148	0.0339995	0.0365341	0.0346138	0.0423922	0.0324719	0.0299214	0.0265141	0.0268653	0.0118967	0.015816	0.00893662	0.00786179	0.00674743	0.00462843	0.00430557	0.00581342	0.00561691	0.00622862	0.0164054	0.0230237	0.0245503
recensement	0.022171	0.0134333	0.0113686	0.0110091	0.0126932	0.0135823	0.0159722	0.0136654	0.0164796	0.0121934	0.0176673	0.0104398	0.0145861	0.0176059	0.014406	0.0307777	0.0235577	0.0259613	0.0210736	0.0415984	0.0248896	0.0323082	0.0290847	0.0295264	0.041127	0.0386353	0.0386794	0.0351241	0.0319633	0.0410788	0.0201861	0.0287685	0.0206819	0.0191545	0.0126495	0.012831	0.014427	0.017795	0.0180091	0.0216526	0.0283935	0.0340657	0.0487267
commence	0.00847501	0.00626266	0.00795587	0.00618826	0.00793561	0.0059785	0.00690299	0.00748101	0.00857593	0.00860896	0.00870477	0.0126156	0.0171031	0.0169628	0.0177636	0.0433064	0.0295627	0.0231866	0.018106	0.0416653	0.0216662	0.0266187	0.0241318	0.0288263	0.0476515	0.0420182	0.039277	0.0379562	0.0377854	0.0359401	0.022032	0.0255468	0.0239837	0.0252437	0.0203399	0.0214421	0.0215158	0.0244373	0.025899	0.0248554	0.032752	0.0325952	0.054144
demain	0.0143601	0.0113454	0.0112283	0.0106805	0.0111405	0.0108679	0.00943785	0.00617418	0.00758464	0.00530328	0.00680703	0.00514762	0.0063555	0.00788953	0.00633336	0.00966961	0.0102292	0.0114278	0.0110335	0.0141664	0.0147505	0.0192679	0.0182738	0.0195705	0.0288151	0.0188232	0.0267707	0.0242571	0.0262461	0.0473768	0.0327972	0.0516101	0.045081	0.0490341	0.0401099	0.043767	0.0404998	0.0476311	0.0411952	0.0425681	0.0416099	0.0429848	0.0497781
</S>	0.0233241	0.0173577	0.0131268	0.00866996	0.00764393	0.00781819	0.00603651	0.00576466	0.00632976	0.00579464	0.0065133	0.00768625	0.0094022	0.00937797	0.00990371	0.0195176	0.0155897	0.0265534	0.0160033	0.0202665	0.0320231	0.0504275	0.025801	0.0397404	0.0438462	0.0324393	0.0465354	0.0399358	0.0405673	0.0404561	0.0334264	0.0305799	0.0246946	0.0246098	0.0176166	0.0159611	0.0153334	0.0153762	0.0172144	0.0255854	0.0375463	0.0389424	0.0686613
