 	m	w	á	s	í	á	m	i	w	ú	r	á	p	o	o	y	ó	l	ó	m	i	</S>
la	0.00655374	0.0174913	0.00852039	0.00809916	0.00669197	0.015888	0.0384649	0.0725978	0.0821726	0.0811367	0.0875219	0.0952414	0.0777398	0.0342122	0.0700018	0.0452942	0.0401672	0.0290264	0.0271261	0.0627266	0.0494784	0.0438473
femme	0.0757171	0.100942	0.20859	0.325086	0.078025	0.0576564	0.0404019	0.00439242	0.00994803	0.00817565	0.0219732	0.0190337	0.0100869	0.00412766	0.00726061	0.00369754	0.00547152	0.00781117	0.00462527	0.00419953	0.00166314	0.00111535
est	0.0390809	0.148894	0.0511303	0.0488929	0.0700761	0.0588733	0.0318692	0.0334445	0.0669746	0.0387398	0.0320133	0.0493799	0.0354344	0.0321631	0.0225303	0.0470843	0.0336885	0.0426208	0.0344004	0.0279915	0.036387	0.0183305
rentrée	0.0439735	0.024412	0.017176	0.0611726	0.0335115	0.0201013	0.0416616	0.058417	0.0781147	0.0720628	0.0334484	0.0530391	0.0516692	0.0504041	0.0786531	0.0399813	0.0325081	0.0187545	0.0234738	0.0436642	0.0489179	0.0748834
du	0.161113	0.0777191	0.0361375	0.0324546	0.0386355	0.0288382	0.0317154	0.0261347	0.0280033	0.0192889	0.0120698	0.0142246	0.0169885	0.0178456	0.029348	0.0407851	0.060318	0.0541416	0.0546027	0.0394057	0.0624183	0.117812
village	0.0513754	0.0315246	0.0193146	0.0169969	0.0229725	0.0148156	0.0158767	0.0159958	0.0154193	0.0160277	0.0118368	0.0147828	0.0172063	0.0402786	0.0632033	0.0568103	0.0889584	0.0970018	0.111	0.0978456	0.0771125	0.103645
de	0.0763276	0.0446689	0.0499814	0.0432115	0.0326907	0.0397822	0.0390824	0.034174	0.033668	0.0325888	0.0127059	0.0127312	0.0121656	0.0204429	0.0386243	0.0269643	0.0591406	0.0552018	0.0868464	0.0530117	0.0780542	0.117935
son	0.148146	0.0822091	0.067977	0.0442819	0.0272746	0.0278346	0.0223339	0.0150093	0.0218383	0.0174795	0.0125679	0.0184972	0.0102603	0.0191664	0.0302533	0.018232	0.0375627	0.0319787	0.052941	0.0773546	0.0901052	0.126697
mari	0.134747	0.0930035	0.10011	0.0467416	0.0285469	0.021857	0.0207086	0.0290168	0.0226678	0.0217519	0.015131	0.0220945	0.0137781	0.0138526	0.0212927	0.0109171	0.0235587	0.023685	0.0389653	0.0644147	0.0492956	0.183863
</S>	0.0922429	0.0826404	0.0785865	0.052985	0.0313017	0.0260423	0.0245322	0.0284107	0.0301684	0.0331888	0.0156836	0.0272081	0.0150653	0.0159189	0.0218135	0.0179315	0.0289599	0.0280578	0.0684963	0.0731916	0.0753789	0.132196
