 	i	k	ώ	ώ	b	í	í	s	i	á	o	y	ú	r	u	w	ó	í	d	í	i	p	f	u	s	u	</S>
le	0.090829	0.070864	0.0463281	0.0220752	0.0371417	0.0339325	0.0389397	0.0422726	0.0414671	0.0444651	0.0386215	0.0488928	0.0452473	0.0348299	0.0221594	0.0241976	0.0312075	0.0257211	0.0475995	0.0241272	0.0432026	0.0199655	0.0246319	0.0216529	0.0302887	0.0276138	0.0217256
manioc	0.0812225	0.074862	0.0611362	0.110672	0.0711238	0.0785141	0.0450925	0.0246756	0.0210237	0.00737807	0.0119008	0.0217153	0.0167583	0.0169391	0.0201308	0.0181236	0.0637961	0.0319032	0.0663911	0.0227725	0.0319521	0.0327571	0.0387294	0.0111025	0.00947369	0.00555856	0.00429579
préparé	0.0727032	0.039351	0.0132141	0.00529053	0.00514804	0.00444574	0.00543798	0.00801391	0.00717051	0.0131065	0.0163181	0.0130331	0.0267232	0.0394569	0.0199368	0.013951	0.0394227	0.172125	0.0901417	0.172791	0.0776371	0.0492079	0.0326806	0.0261075	0.0161454	0.0146579	0.00578297
par	0.0224056	0.0178134	0.0231421	0.0341112	0.0199176	0.0176552	0.00753423	0.00792344	0.018381	0.0268008	0.0191434	0.0429542	0.0354456	0.020288	0.0222147	0.0314407	0.0352701	0.0432381	0.0403877	0.0414751	0.0393826	0.0622938	0.0462401	0.0359821	0.0790003	0.118201	0.0913583
cette	0.0393932	0.03158	0.0419573	0.043494	0.0373137	0.0367856	0.0450633	0.0530465	0.0360878	0.0236577	0.0119867	0.0118191	0.0141043	0.0118675	0.0135436	0.0157402	0.041644	0.0408682	0.0329906	0.0559823	0.0572136	0.0540421	0.0472889	0.0495351	0.0444348	0.0515596	0.0570003
femme	0.0721918	0.0602223	0.0608982	0.0398662	0.0382352	0.0311958	0.0327895	0.0334197	0.0252286	0.0198545	0.00876481	0.00509038	0.00714918	0.0128737	0.0188595	0.0197185	0.0227463	0.00847288	0.0183699	0.0154321	0.0386499	0.0512829	0.069035	0.0562106	0.0682845	0.0644381	0.10072
n'	0.151752	0.102202	0.0830111	0.0416268	0.0414726	0.0345797	0.0341642	0.0234625	0.0183605	0.0116496	0.008232	0.00711347	0.00833301	0.0109271	0.0172465	0.0187693	0.00785199	0.00888348	0.0135654	0.0124631	0.0298615	0.0243795	0.0591439	0.033086	0.0499153	0.0694309	0.0785163
est	0.169698	0.0660422	0.0648866	0.0618782	0.061138	0.0472098	0.0276011	0.0174293	0.0154105	0.0142225	0.0162568	0.0297034	0.0173406	0.0130168	0.0177459	0.0307561	0.00892398	0.0114908	0.0207175	0.00843372	0.0321969	0.0123131	0.0482545	0.0202797	0.0392185	0.0595189	0.0683168
pas	0.210274	0.119657	0.0801291	0.0509851	0.0220316	0.011228	0.0059067	0.00502374	0.00503198	0.00590879	0.00398357	0.00855925	0.00816828	0.0147	0.0253005	0.0141295	0.0105873	0.00813764	0.0134329	0.0103316	0.0179285	0.0130099	0.0382923	0.0211686	0.0647061	0.0703447	0.141043
bien	0.0666448	0.0469808	0.041613	0.0384992	0.0258117	0.0144935	0.00560382	0.00438074	0.00346058	0.00401703	0.00389202	0.0067716	0.00758664	0.012464	0.0130196	0.00917361	0.00673155	0.00738105	0.012154	0.0101937	0.0485856	0.0442364	0.109006	0.0962881	0.0929429	0.126805	0.141263
pétri	0.0783465	0.0658363	0.078168	0.070318	0.0332208	0.0148085	0.00715089	0.00680645	0.00827103	0.00988642	0.00966585	0.0106683	0.00696914	0.0124661	0.0129907	0.017736	0.00606982	0.00451306	0.00937488	0.00582265	0.0251914	0.0249531	0.0785842	0.071572	0.0973094	0.11237	0.12093
</S>	0.0499246	0.0454099	0.0568564	0.0593886	0.0345744	0.0217843	0.0123674	0.0111692	0.0103891	0.0126716	0.00961097	0.0101395	0.0108957	0.00892333	0.0118455	0.011186	0.0124041	0.0142657	0.0154052	0.0166919	0.0386686	0.0454601	0.0761155	0.0841223	0.095286	0.101696	0.122748
