 	n	g	ó	o	á	p	έ	ε	w	a	e	l	ε	n	g	í	y	á	n	y	a	m	a	</S>
sa	0.261059	0.156668	0.061857	0.0165042	0.00951231	0.00874873	0.00722443	0.00730583	0.00862762	0.0126562	0.013149	0.0193497	0.0250343	0.0389514	0.0463081	0.0312451	0.0332172	0.030471	0.0320722	0.0302467	0.0369715	0.0481178	0.041828	0.0228739
mère	0.297285	0.121589	0.170049	0.0818533	0.0444629	0.0312445	0.0311006	0.0101525	0.0600962	0.0691569	0.0306667	0.0218685	0.00586481	0.0029937	0.00274519	0.00472538	0.00309633	0.00399598	0.00111214	0.00132712	0.00121322	0.00135406	0.00123334	0.000814538
lui	0.0207921	0.0428662	0.0634203	0.0722539	0.0766623	0.0384045	0.049341	0.0328785	0.053279	0.0440165	0.056362	0.0444781	0.0408472	0.0455591	0.0308416	0.0385377	0.0291907	0.0308471	0.0217835	0.0313777	0.037601	0.0342973	0.0401721	0.0241908
a	0.0292714	0.0248425	0.0321631	0.0322376	0.0275319	0.026584	0.0318312	0.0237309	0.01672	0.0156963	0.0251931	0.0373951	0.0685276	0.0382977	0.0444512	0.0582925	0.0512671	0.0478574	0.0555553	0.054524	0.0593823	0.0550442	0.0630722	0.0805311
donné	0.0218107	0.0115118	0.011301	0.014021	0.0194608	0.0217282	0.0228205	0.0201714	0.0152599	0.0153576	0.0247845	0.0429575	0.0517838	0.0399447	0.0516176	0.0563306	0.0562311	0.0535168	0.0842884	0.0723148	0.0692274	0.0761944	0.0657564	0.0816091
un	0.0253619	0.0202709	0.0178073	0.018985	0.0175293	0.0170908	0.0174478	0.0133165	0.00877244	0.00946743	0.0127123	0.020657	0.0290697	0.0249812	0.0354767	0.0374882	0.0392604	0.0336855	0.0582843	0.098732	0.0813575	0.107688	0.118473	0.136085
morceau	0.0203901	0.0190078	0.0163876	0.0167903	0.0145072	0.0149196	0.0168942	0.0167476	0.0119418	0.0110378	0.0195999	0.0312912	0.0457847	0.0351074	0.039336	0.0487257	0.0590817	0.0530372	0.0758767	0.0792258	0.0731253	0.0781171	0.0875532	0.115514
de	0.0373527	0.0367579	0.0390318	0.035286	0.0353976	0.0356432	0.0375191	0.0357595	0.0177161	0.0161467	0.0202853	0.018589	0.0250492	0.0169126	0.0235947	0.0174665	0.0209197	0.019998	0.0372661	0.0700219	0.0588294	0.0587402	0.0818256	0.203891
viande	0.0298757	0.0251215	0.0268821	0.0258693	0.026375	0.0245376	0.022986	0.01539	0.0170466	0.0123344	0.0154372	0.020263	0.0245818	0.0247212	0.0341035	0.0214239	0.0302687	0.0478243	0.053438	0.0878745	0.0959678	0.0774077	0.109864	0.130406
</S>	0.0311627	0.026284	0.0303717	0.0299585	0.029041	0.0253369	0.0217198	0.0145366	0.0150109	0.0131675	0.0142192	0.017043	0.0214317	0.0221211	0.0277781	0.0288127	0.0290905	0.0307277	0.0492648	0.0950949	0.0914296	0.0990067	0.108869	0.128522
