 	a	d	i	m	í	b	á	n	g	á	á	w	u	r	u	o	y	é	n	g	á	i	t	s	έ	t	s	ε	l	í	</S>
mes	0.119057	0.0205355	0.0106244	0.00603174	0.00626817	0.0101366	0.00797307	0.00782848	0.0111296	0.0426349	0.0382489	0.0446581	0.0489627	0.0472386	0.0496889	0.0457714	0.0429032	0.0447714	0.0432507	0.0432155	0.0396482	0.0424352	0.0397688	0.0367958	0.0366128	0.0274168	0.0275748	0.0233973	0.0136887	0.011434	0.0102988
petits	0.132007	0.124326	0.0934471	0.0592325	0.0522856	0.0404652	0.0447807	0.0559775	0.0465171	0.0397491	0.0359596	0.0124618	0.0120641	0.0106482	0.0228341	0.0153272	0.00942045	0.0133288	0.0121303	0.0121925	0.0137849	0.0114027	0.0163001	0.0086555	0.0196559	0.0102728	0.0197269	0.0174738	0.0196475	0.00912512	0.00880007
frères	0.065115	0.071665	0.0464952	0.0326707	0.0275199	0.03335	0.0386062	0.0460391	0.0342421	0.035344	0.0407916	0.0436378	0.0456101	0.0550498	0.0594304	0.0456698	0.0472225	0.0525413	0.0353779	0.010967	0.02027	0.0118582	0.0131705	0.0132247	0.00812216	0.0101106	0.0136312	0.0159972	0.00944229	0.00940968	0.00741791
reviennent	0.0412334	0.0255221	0.0552228	0.047225	0.0385204	0.0499727	0.0796381	0.0782133	0.0977184	0.0364899	0.0476326	0.0205747	0.0358143	0.0262198	0.0184349	0.0100383	0.0118188	0.00968778	0.00782463	0.0079206	0.015792	0.00853806	0.00497815	0.0101994	0.00634542	0.0109964	0.0141617	0.0252227	0.0362996	0.0595151	0.062229
de	0.0556146	0.0732515	0.0539156	0.065968	0.0495317	0.0530968	0.0444541	0.0491837	0.0265406	0.0238114	0.0198522	0.0179931	0.0276293	0.0212213	0.0334703	0.03127	0.0307693	0.0270598	0.0231198	0.0285936	0.0252543	0.0222874	0.0257561	0.0216829	0.0174491	0.0131469	0.014014	0.0153422	0.0188331	0.0233265	0.0465609
chercher	0.0185569	0.0156703	0.0214063	0.0244527	0.0313637	0.02564	0.0322671	0.0217076	0.0203587	0.0213945	0.017789	0.0163319	0.0239818	0.0231367	0.0239576	0.0269275	0.0288621	0.0285546	0.0322554	0.028223	0.0331779	0.0275526	0.0324808	0.0461127	0.0336709	0.0482807	0.0639098	0.0473789	0.0523533	0.0541536	0.0780914
les	0.0214685	0.0189382	0.0274458	0.0284276	0.0377043	0.0318169	0.038313	0.028872	0.0275575	0.0304733	0.025616	0.0198553	0.030097	0.0276587	0.0262994	0.0247754	0.0284868	0.0274665	0.0274861	0.0253368	0.0294722	0.0243614	0.0268373	0.0361913	0.0316327	0.0419294	0.0463018	0.0386208	0.0447778	0.0509935	0.074787
chénilles	0.0202365	0.0230324	0.0203536	0.0183242	0.014512	0.0132473	0.0110787	0.0111024	0.0150093	0.00823906	0.0134744	0.0167116	0.0100474	0.020916	0.028055	0.0297563	0.0275972	0.0304182	0.0371159	0.0338638	0.0428288	0.0434367	0.0494427	0.0414701	0.0497971	0.0398115	0.0401932	0.0480598	0.0654159	0.0761308	0.100322
itsetseli	0.0271813	0.0277116	0.0253374	0.031046	0.0214024	0.021616	0.0185957	0.0173951	0.011217	0.00627157	0.00629052	0.0110092	0.0113752	0.0121382	0.0239003	0.0330091	0.0324174	0.0331554	0.0368192	0.0282378	0.0457899	0.0462492	0.0438265	0.0354544	0.0383014	0.0333803	0.0480092	0.0511628	0.0641151	0.071172	0.0864128
</S>	0.0223845	0.0226567	0.0207757	0.0241755	0.0184048	0.0181557	0.015659	0.0163551	0.0173334	0.0118771	0.0130458	0.0182501	0.0170391	0.0199932	0.0269548	0.032486	0.0324102	0.0331283	0.0366418	0.0327113	0.0451493	0.0449512	0.0458572	0.0386602	0.0420398	0.0408321	0.0472923	0.0518623	0.0584139	0.0639006	0.0706028
