 	b	a	r	e	b	ó	b	á	a	y	i	r	á	m	ú	b	h	u	</S>
les	0.146175	0.0465764	0.0146672	0.00931182	0.0101128	0.0180595	0.0682072	0.0792384	0.0811018	0.0622236	0.0558	0.0778591	0.0860358	0.0418212	0.0419627	0.0530084	0.0399203	0.0360042	0.0319148
gens	0.0954387	0.0880632	0.162958	0.120211	0.106105	0.0993567	0.0912966	0.0630353	0.0357535	0.0213429	0.0226976	0.0148609	0.00835344	0.00838655	0.0112008	0.0145494	0.0157587	0.0147849	0.00584703
sont	0.0370826	0.0373122	0.059443	0.0651592	0.067994	0.0530473	0.0649954	0.0600353	0.0421193	0.0268576	0.0294787	0.0589541	0.0839649	0.0818964	0.0771569	0.0689849	0.0446586	0.0264397	0.0144197
en	0.0250935	0.0308471	0.0443516	0.0650508	0.0678428	0.0634785	0.0836113	0.0782852	0.0598785	0.037352	0.0362099	0.0423409	0.0852036	0.0595321	0.0511667	0.0317297	0.0384284	0.0430457	0.0565517
train	0.056457	0.0526896	0.0550435	0.0526792	0.0519235	0.0423556	0.0341829	0.0345828	0.0655513	0.0529709	0.071674	0.0860684	0.0796446	0.0444244	0.0374062	0.0328237	0.0390623	0.0453238	0.0651364
de	0.121488	0.0887782	0.150122	0.108474	0.0848557	0.0570359	0.0344545	0.038631	0.032313	0.0390763	0.0269054	0.0249659	0.0135844	0.0121952	0.0110719	0.0143243	0.0251917	0.0256603	0.0908723
huer	0.100763	0.0527245	0.0482126	0.0299269	0.0342794	0.0522022	0.0596125	0.0601153	0.0533223	0.0292771	0.0284147	0.0379187	0.0421818	0.0427336	0.0440116	0.0331182	0.0521078	0.0745419	0.124535
le	0.0774713	0.0634046	0.0610822	0.056397	0.0444674	0.0366906	0.0374525	0.0255132	0.0241939	0.0173853	0.0248617	0.0246664	0.0303115	0.0470514	0.0597418	0.0658873	0.0735912	0.0776113	0.152219
voleur	0.0531799	0.0604776	0.0543287	0.062582	0.0664283	0.0533138	0.0471499	0.0252681	0.0202664	0.00745056	0.00895744	0.0149684	0.0201887	0.0204341	0.0327822	0.0414989	0.064271	0.086284	0.26017
</S>	0.136889	0.090681	0.0818209	0.0749838	0.0492746	0.0253757	0.0215041	0.0119199	0.00990662	0.00652185	0.00936712	0.0151166	0.0141716	0.0213223	0.0369275	0.0500745	0.0677662	0.0784082	0.197969
