 	n	z	a	m	b	é	a	d	í	o	s	u	n	g	u	b	a	r	e	l	a	k	ω	n	í	</S>
c'	0.0153901	0.0109676	0.0101788	0.0115509	0.0137216	0.0204907	0.0395685	0.0485158	0.0425102	0.0776899	0.0755969	0.0745572	0.0656078	0.0584914	0.0566961	0.0545614	0.0523208	0.0455186	0.0381398	0.036875	0.0303412	0.0248253	0.0244782	0.0183605	0.0256994	0.0273463
est	0.259596	0.176131	0.0767599	0.0536218	0.034775	0.0256713	0.0247222	0.0150854	0.0190142	0.0195076	0.0223229	0.0247455	0.0272796	0.0229315	0.0222945	0.0190075	0.0162813	0.0139175	0.0197426	0.018632	0.0128457	0.0125935	0.0137748	0.0138259	0.0142137	0.0207072
dieu	0.0213292	0.0147465	0.00680275	0.00476631	0.00680394	0.0118858	0.030682	0.0600624	0.0778496	0.123847	0.130031	0.129109	0.0900009	0.0890923	0.0493705	0.0230374	0.00961532	0.012408	0.0135047	0.0113995	0.0158367	0.0157376	0.0155902	0.015599	0.00382545	0.0170665
qui	0.0351972	0.0564194	0.0587142	0.0625357	0.102156	0.0409355	0.02966	0.0228611	0.0349056	0.0333939	0.0409003	0.0430593	0.0544671	0.0355529	0.0257996	0.0378689	0.0301272	0.0297552	0.0269839	0.0239754	0.0199049	0.0215452	0.0261967	0.0198232	0.0147901	0.0724716
délivre	0.0643574	0.0344664	0.0297677	0.0451604	0.0704739	0.0594569	0.0384317	0.0352378	0.0451143	0.0360899	0.0441062	0.0383504	0.0639939	0.0430008	0.027647	0.0256943	0.0163503	0.0149208	0.0228242	0.0242558	0.0160399	0.0206161	0.025963	0.0399955	0.0487111	0.0689745
les	0.035689	0.0517949	0.0538564	0.0522445	0.073339	0.0842229	0.136166	0.0508948	0.0511899	0.0196438	0.0238876	0.0225177	0.0258952	0.0210307	0.0247918	0.0156583	0.0170086	0.0119797	0.0129438	0.0133796	0.0125437	0.0160087	0.0208178	0.029375	0.0400645	0.0830557
hommes	0.0871552	0.0684155	0.0692993	0.0644068	0.0737366	0.0439938	0.0226207	0.0210626	0.0244556	0.0234215	0.0206157	0.0230848	0.0271331	0.0232818	0.0217889	0.0203475	0.0135674	0.00975667	0.0134576	0.0155871	0.0176421	0.0174519	0.0273504	0.0284668	0.0285924	0.193308
des	0.144592	0.0826166	0.0664509	0.0575294	0.0386894	0.0178557	0.0123807	0.011449	0.0146261	0.0175386	0.0163661	0.0156162	0.0181463	0.0181197	0.0155283	0.0134715	0.010054	0.00930605	0.0158587	0.0195232	0.0258396	0.0327506	0.0472524	0.0760171	0.0748773	0.127545
maladies	0.137565	0.0962442	0.0562791	0.030578	0.0100486	0.00514529	0.00503187	0.00509064	0.00567257	0.00694983	0.00718892	0.0092872	0.0108073	0.00688017	0.00848351	0.0143703	0.00817301	0.0142912	0.0162853	0.0169645	0.0202044	0.0276627	0.0576532	0.0858091	0.0692921	0.268042
</S>	0.0665312	0.0365553	0.0244666	0.0210903	0.0114445	0.0074329	0.00477956	0.0041556	0.00401488	0.00410964	0.00383312	0.00465628	0.00619091	0.00470399	0.00710156	0.0191428	0.0168887	0.0313167	0.0393543	0.0458531	0.0576091	0.0614994	0.0954515	0.105475	0.102052	0.214291
