 	w	á	o	b	á	n	g	á	ó	b	h	í	b	h	i	l	i	m	ó	l	e	b	á	m	b	á	l	á	l	í	í	n	ώ	n	g	í	w	a	</S>
sa	0.15496	0.135281	0.106035	0.0311323	0.0369658	0.0116916	0.0102685	0.0240526	0.0322236	0.0479079	0.0351356	0.0636739	0.0357004	0.0337957	0.0149147	0.0269969	0.0143703	0.00807186	0.00382322	0.00454105	0.00566021	0.0085453	0.00940178	0.00769858	0.0069969	0.00543527	0.00575079	0.00504512	0.00517164	0.00704608	0.0100844	0.013034	0.00519829	0.0156263	0.0131499	0.0165181	0.00861318	0.00949913	0.00998342
joue	0.0380155	0.0247944	0.0210557	0.0852692	0.107549	0.0922521	0.0691264	0.0775421	0.0103803	0.00861818	0.00387799	0.00503071	0.00235337	0.00140948	0.000904232	0.000809654	0.00049709	0.000436103	0.000402197	0.000781334	0.00106937	0.00145291	0.00318416	0.00460093	0.00286723	0.00397701	0.0196222	0.0317486	0.0316765	0.0672511	0.0753014	0.0922072	0.0262308	0.0427944	0.0254397	0.00776921	0.00775631	0.00217303	0.00177235
s'	0.0152515	0.033682	0.0805	0.0646222	0.0575112	0.0507435	0.0299198	0.0440756	0.0296007	0.0384149	0.0222797	0.0244458	0.0161699	0.0165017	0.00672409	0.00732334	0.00463157	0.00587793	0.00938539	0.0115734	0.0152266	0.00934569	0.0274847	0.0186819	0.023033	0.0163355	0.0467285	0.0455849	0.0387949	0.0396334	0.027321	0.0205632	0.0206845	0.0168551	0.00955725	0.0191922	0.0175273	0.0125995	0.00561645
est	0.0193624	0.0186097	0.0313749	0.0141935	0.0076242	0.0128517	0.0120675	0.011806	0.0181545	0.0119882	0.016865	0.0121633	0.00980317	0.0177089	0.0231843	0.0309348	0.025092	0.0235089	0.0115804	0.0182713	0.00638872	0.0133458	0.0287188	0.0313426	0.0544797	0.0682615	0.0648199	0.0826575	0.0659404	0.0542739	0.0329178	0.020929	0.0150498	0.0133965	0.0186903	0.015789	0.0127289	0.0211862	0.0319389
contusionnée	0.0304963	0.0298605	0.0374418	0.0256083	0.0210993	0.0248654	0.0226656	0.0220277	0.027864	0.0180734	0.0216012	0.0204766	0.0150109	0.0216787	0.0189354	0.0243927	0.0202798	0.0173445	0.0147803	0.0201834	0.020358	0.0221006	0.0426761	0.0439525	0.0399996	0.0167568	0.0250487	0.0260964	0.0256756	0.037339	0.0376227	0.0319074	0.0210081	0.0268127	0.0222123	0.0210586	0.0210729	0.0290749	0.0345415
suite	0.0240205	0.0173611	0.0290228	0.00808515	0.00691024	0.00705561	0.00664121	0.0107596	0.0134247	0.00794521	0.00902229	0.00833775	0.00980477	0.0132888	0.0183066	0.0219218	0.0214526	0.0201668	0.0188502	0.0170109	0.0217145	0.0145819	0.0229182	0.0309908	0.042949	0.0316204	0.0381069	0.038452	0.0336727	0.048063	0.0473454	0.0489342	0.0336388	0.0463065	0.0503391	0.0336926	0.0233125	0.0326926	0.0712801
à	0.0195234	0.0193972	0.0203651	0.0157575	0.0136748	0.0113449	0.0067421	0.00664173	0.00840757	0.00729246	0.0133331	0.0178101	0.0329859	0.0559322	0.0681211	0.0707105	0.0787651	0.0602823	0.0225664	0.0211372	0.022473	0.0204966	0.0219547	0.0227831	0.0234976	0.0277285	0.0166335	0.0244824	0.0279449	0.0421806	0.0277373	0.0171142	0.0189751	0.0167107	0.0217589	0.0178006	0.0139595	0.0162	0.028778
la	0.0165325	0.0168371	0.0202122	0.0127625	0.0119495	0.0154662	0.0161946	0.0166809	0.0181192	0.0130503	0.0100954	0.00857606	0.00708213	0.0117683	0.0200874	0.015454	0.0202549	0.0172545	0.0255419	0.053551	0.0256435	0.0336017	0.0329411	0.0380094	0.0439594	0.0655641	0.0344158	0.0410026	0.0379975	0.0355183	0.0259365	0.0230183	0.0192419	0.0202816	0.0269653	0.0356069	0.023747	0.0397097	0.0493688
giffle	0.0282164	0.0248601	0.0316915	0.0270228	0.0140006	0.0127211	0.00602691	0.00408905	0.00395774	0.00293204	0.00382176	0.00322347	0.00508669	0.00746517	0.00702175	0.0128096	0.0162927	0.014905	0.0112297	0.0131277	0.00622234	0.0134952	0.0255703	0.0794759	0.0997552	0.0677258	0.0408007	0.0452035	0.0377832	0.0182429	0.0236956	0.019236	0.0106856	0.02299	0.026059	0.0117401	0.0048658	0.0375409	0.15841
qu'	0.0312443	0.0303376	0.0271462	0.0236659	0.014491	0.00975254	0.00872085	0.0134678	0.0110723	0.00916157	0.006737	0.00712628	0.00472585	0.00683694	0.0102005	0.0133708	0.0171237	0.0157021	0.0174022	0.0263123	0.0194082	0.0223792	0.0226412	0.0391125	0.0431605	0.045179	0.0456144	0.0520319	0.042651	0.0322781	0.0367275	0.0338642	0.0206125	0.0253753	0.0294098	0.0223332	0.0266017	0.0381248	0.0978973
il	0.0237635	0.0267284	0.0265519	0.0251494	0.0147391	0.0183625	0.0148735	0.0143182	0.0125465	0.00838408	0.00669663	0.00480709	0.00475268	0.00900595	0.0156847	0.013018	0.0155282	0.0139239	0.0109516	0.0146298	0.00724474	0.0107123	0.0133872	0.0189381	0.0235802	0.0459618	0.0382504	0.0446976	0.0568438	0.0632483	0.0514203	0.0453214	0.0329271	0.0335823	0.0408673	0.0267355	0.022317	0.0429466	0.0866024
a	0.0451531	0.0405454	0.0445198	0.0374115	0.0175206	0.0166935	0.00936256	0.00723542	0.00662792	0.00437835	0.00487844	0.00427507	0.00412003	0.00655239	0.00851135	0.0141565	0.0162577	0.0180449	0.0168985	0.0127511	0.0121674	0.0110607	0.0175685	0.026705	0.0328209	0.022674	0.0264792	0.0349979	0.0359616	0.0216078	0.0390958	0.0373894	0.0213313	0.0338302	0.0391824	0.0298632	0.0225708	0.0677812	0.131019
reçue	0.0295542	0.0260566	0.0306714	0.0340591	0.0212849	0.0209573	0.0173731	0.0101846	0.00739068	0.00623293	0.00806523	0.00451251	0.00662745	0.00985932	0.00846287	0.0106144	0.0122806	0.014869	0.0172086	0.0164893	0.0106268	0.0135663	0.0196746	0.0250769	0.0273764	0.0273817	0.019796	0.0304637	0.0289471	0.0207293	0.0252138	0.0323579	0.0180937	0.0416637	0.0434844	0.0387832	0.0188906	0.0996629	0.145457
</S>	0.014161	0.0139475	0.0182992	0.0197099	0.0203888	0.0223731	0.0197248	0.0179047	0.0160511	0.0132286	0.00930929	0.0115972	0.0112669	0.018885	0.0226998	0.0308425	0.0423433	0.0361496	0.0407889	0.0534323	0.0185385	0.0326057	0.0268205	0.04241	0.0349003	0.0391568	0.0215955	0.0196454	0.0154067	0.0129201	0.0131772	0.0178044	0.0168853	0.0157704	0.0265195	0.0314893	0.029324	0.0397658	0.0921612
