 	w	á	á	i	d	í	p	ó	s	á	o	d	z	e	e	m	á	b	h	á	k	a	á	i	d	z	w	e	e	b	é	e	e	s	ú	s	u	</S>
si	0.127362	0.0592604	0.136048	0.0714257	0.0478266	0.0279502	0.03101	0.0260454	0.0239044	0.0389015	0.0239146	0.0197845	0.0109548	0.0166209	0.0121767	0.0362854	0.0293158	0.0305239	0.020823	0.0119771	0.0153656	0.0188268	0.0101011	0.00958333	0.0144783	0.0131294	0.0114156	0.0114207	0.00961959	0.00844235	0.00741415	0.00978647	0.00874562	0.00651878	0.00961045	0.00989727	0.0116828	0.0118504
je	0.146268	0.0589119	0.0535395	0.0525084	0.0474153	0.0573556	0.0321554	0.0421647	0.0287035	0.0185351	0.0356846	0.0218083	0.0250969	0.0243836	0.0202159	0.0599031	0.0386224	0.0261211	0.0127812	0.0123906	0.0187898	0.0124701	0.0100881	0.00761145	0.0169986	0.0121604	0.0100562	0.0150048	0.0174179	0.00876916	0.00831335	0.00690202	0.00606312	0.00456421	0.00611873	0.00588253	0.00428136	0.013943
ne	0.0242808	0.0131068	0.020487	0.0327644	0.0303983	0.0542173	0.042492	0.0524349	0.040953	0.0343092	0.0718081	0.050731	0.0520337	0.0401377	0.0400917	0.0282682	0.0221001	0.0223729	0.00987128	0.013549	0.0330261	0.00800667	0.00734658	0.00974543	0.0129723	0.0108793	0.0126173	0.0148421	0.0215978	0.0141206	0.0142909	0.0138948	0.0156803	0.0142184	0.0171272	0.0185612	0.0264853	0.0381801
veux	0.0116274	0.00835098	0.00932216	0.0123285	0.020929	0.0156857	0.0199944	0.01509	0.0179391	0.0145482	0.0118774	0.0166243	0.0207834	0.0276944	0.0349523	0.0423131	0.0455759	0.0696089	0.0421721	0.0380539	0.0431155	0.0295407	0.029595	0.0373158	0.0327145	0.0325387	0.0328205	0.0299171	0.0231287	0.0300006	0.0297345	0.0375879	0.0318514	0.0263549	0.0192727	0.0133208	0.0132945	0.0124252
pas	0.0124369	0.00562373	0.00684887	0.0129402	0.0137372	0.0161275	0.0173232	0.0332168	0.0140284	0.0191567	0.0304819	0.0172537	0.0220658	0.0362745	0.038823	0.02146	0.0195768	0.0248215	0.029644	0.0475761	0.0636512	0.0668553	0.0634571	0.0767836	0.0355562	0.0166227	0.0209021	0.00884734	0.0175048	0.0155216	0.0058977	0.0185927	0.0196565	0.0174639	0.0204342	0.0200157	0.0331988	0.0396217
rester	0.00592848	0.00345213	0.00377829	0.00846262	0.0172664	0.0363044	0.0287302	0.0435537	0.033031	0.0205731	0.0366626	0.0295361	0.0241791	0.0185413	0.0162971	0.0213346	0.016528	0.0312438	0.0201784	0.0189608	0.0180253	0.0149339	0.0128793	0.0236969	0.0161255	0.0171794	0.0154607	0.0110451	0.0145068	0.0191328	0.0160894	0.0318631	0.0383675	0.0367671	0.0462269	0.0506992	0.0666446	0.115814
ici	0.00763974	0.00798758	0.00656048	0.0108411	0.020402	0.0350782	0.0216177	0.0294523	0.0324401	0.0264997	0.0452418	0.03482	0.0273557	0.0203713	0.0158702	0.0183042	0.0130586	0.0276255	0.0188398	0.0172219	0.0174809	0.0194784	0.0136696	0.0288179	0.0233353	0.0212783	0.0217563	0.0152058	0.0163319	0.0243461	0.0202411	0.0320886	0.0401611	0.0374238	0.0430209	0.0459423	0.0565209	0.085673
j'	0.00926191	0.0103831	0.00894228	0.011231	0.0153417	0.0282825	0.0145829	0.0192319	0.0155786	0.0126331	0.0231936	0.0205611	0.0183461	0.0115129	0.0155976	0.0100312	0.0106686	0.0180633	0.0167616	0.0210218	0.0259828	0.0280792	0.0183473	0.0264264	0.0217013	0.0163881	0.0191249	0.00863852	0.00737863	0.00919978	0.00904778	0.0142791	0.0186983	0.0231568	0.0657104	0.0729789	0.128325	0.17531
irai	0.0127229	0.0120763	0.0122578	0.0145187	0.0146559	0.0177086	0.0185024	0.0263159	0.0159238	0.0177254	0.0281607	0.0197113	0.0197448	0.0158732	0.0157764	0.0151847	0.0129326	0.0225432	0.0246672	0.0261683	0.0331244	0.0274402	0.0212724	0.0318959	0.0318133	0.0233088	0.0270299	0.0200227	0.0209745	0.0290779	0.0258405	0.0371058	0.0344163	0.0293	0.0439168	0.0452068	0.0532479	0.101836
ailleurs	0.0150896	0.0166528	0.0199555	0.0263544	0.0196272	0.0235202	0.0163277	0.0186236	0.0123943	0.0113742	0.016097	0.0211445	0.0277332	0.0168996	0.0197734	0.0143569	0.0172583	0.0270846	0.0303773	0.0309274	0.0456408	0.0382802	0.0218761	0.0203889	0.0141594	0.0111165	0.0136078	0.00907367	0.0102634	0.00835983	0.00854966	0.00996602	0.0102404	0.012751	0.0423188	0.0564233	0.0776781	0.187734
</S>	0.0124364	0.00914601	0.0137286	0.0205858	0.0203498	0.023925	0.0189741	0.0234695	0.0121534	0.0112227	0.0154384	0.0147681	0.0177451	0.0140422	0.0147072	0.00775205	0.00891549	0.0119148	0.0104342	0.0144729	0.0207039	0.0132137	0.0108921	0.0190283	0.0131332	0.0130383	0.016499	0.0127123	0.0246133	0.0169818	0.0216202	0.039263	0.0472642	0.0644342	0.0802049	0.0903978	0.103328	0.0964905
