 	b	á	a	á	l	e	e	s	i	k	ó	l	í	s	á	k	ώ	á	k	ω	n	d	i	o	b	v	ú	l	á	p	o	o	</S>
ils	0.0867958	0.0900779	0.1372	0.162095	0.122342	0.055609	0.0244886	0.0221953	0.0196682	0.0193655	0.0172182	0.0156144	0.0176986	0.0178206	0.0205861	0.0249773	0.0188226	0.0185575	0.0135992	0.0122463	0.00847481	0.00796798	0.00745419	0.00977309	0.00728029	0.00705777	0.00518985	0.00476254	0.00473777	0.00459654	0.00458526	0.00426313	0.0068782
se	0.0410372	0.0321746	0.0241882	0.0230235	0.021376	0.0269796	0.0645177	0.0704673	0.0926125	0.118725	0.0842482	0.0610316	0.0390898	0.0353327	0.0364132	0.0281484	0.0179473	0.0302786	0.0210439	0.0236691	0.00629683	0.009276	0.00891636	0.00979193	0.010399	0.0110949	0.0107882	0.0109347	0.0110464	0.00696886	0.00545689	0.00411439	0.00261117
sont	0.0419394	0.0255212	0.0217942	0.0254457	0.0320928	0.0326835	0.0190054	0.023603	0.0312892	0.0385963	0.0534113	0.0569292	0.0731141	0.0629537	0.0604966	0.0546644	0.0461789	0.0382771	0.0352702	0.0414369	0.017203	0.0174299	0.0128737	0.0106726	0.01266	0.0155474	0.0141251	0.0108733	0.0130444	0.0123049	0.0177459	0.0169823	0.0138345
anuités	0.0108291	0.0249537	0.0192423	0.0323944	0.0223019	0.0169211	0.0155742	0.0178799	0.0169838	0.0199651	0.0261415	0.0291198	0.031061	0.0255096	0.0230682	0.0238709	0.0209811	0.0127582	0.0184362	0.0282406	0.0374999	0.0267229	0.0370699	0.042283	0.047832	0.0723123	0.0539694	0.0490407	0.051752	0.0375603	0.0370264	0.0408045	0.0298942
dans	0.0349533	0.0155598	0.0114071	0.0146384	0.0179492	0.0239845	0.0310274	0.0321614	0.0332191	0.0360895	0.0362752	0.035462	0.0374295	0.0354486	0.0352767	0.0290784	0.032973	0.0270309	0.0252367	0.0241886	0.0145665	0.0220274	0.023286	0.0211674	0.0245715	0.0229079	0.024318	0.0246437	0.0319875	0.0331023	0.045189	0.050482	0.0923616
la	0.066904	0.0350557	0.0287572	0.0220477	0.014322	0.0163309	0.0189109	0.0202598	0.0271514	0.0346424	0.0305884	0.0282054	0.0309359	0.0326525	0.0280873	0.0263634	0.0281996	0.0324605	0.0282548	0.0232095	0.0169644	0.0281093	0.0362367	0.0280369	0.0362727	0.0260093	0.0353437	0.031133	0.0353537	0.033693	0.03637	0.0362264	0.0469115
forêt	0.0379233	0.0427324	0.0241732	0.0172453	0.0133162	0.0192226	0.0186454	0.020798	0.0243557	0.0241508	0.0205827	0.0180308	0.0207444	0.0188487	0.0170742	0.0193326	0.0157252	0.0175501	0.0302615	0.0312634	0.0371938	0.0362315	0.0347536	0.036815	0.0391031	0.0539203	0.0434836	0.0449044	0.0411494	0.0423538	0.0414184	0.036407	0.0602896
ils	0.0395985	0.050101	0.0234201	0.0229873	0.0150807	0.016899	0.0179363	0.0191513	0.023631	0.0220805	0.0249772	0.023478	0.027279	0.0268128	0.0262989	0.0283202	0.0350159	0.0355901	0.0262791	0.0204937	0.0238326	0.0246917	0.0295729	0.0312461	0.0358969	0.035183	0.0360298	0.0385506	0.0323229	0.0353683	0.0433302	0.0382572	0.0702871
n'	0.0514448	0.0906004	0.0776357	0.0719411	0.0574992	0.0358457	0.0356895	0.0364789	0.0280258	0.0124116	0.0087803	0.00619597	0.00265193	0.00245017	0.00280417	0.00529707	0.00864852	0.00824431	0.0102227	0.0132722	0.0206511	0.0215138	0.0189543	0.0179876	0.0180108	0.026929	0.0190972	0.0322823	0.0295364	0.0496634	0.0545624	0.0702933	0.0543785
ont	0.0279207	0.0133419	0.00659174	0.00891795	0.00657323	0.00968756	0.0104492	0.0076365	0.00770463	0.0114704	0.0106526	0.013968	0.010521	0.0105225	0.0171593	0.0173667	0.0268554	0.0362238	0.04134	0.044128	0.0566737	0.0641925	0.0977198	0.0746609	0.0681936	0.0440305	0.0462596	0.0353315	0.0339574	0.0327464	0.0299919	0.0370728	0.0401382
pas	0.0672149	0.0392159	0.0248192	0.0227658	0.020087	0.0180673	0.0176104	0.0204183	0.0171132	0.0132635	0.0101302	0.0116278	0.0126712	0.0156207	0.0152461	0.0210194	0.0223527	0.019541	0.0204657	0.0269239	0.0415353	0.0621824	0.0744461	0.0535246	0.0519974	0.0527918	0.0403795	0.0363654	0.0238904	0.0244122	0.0261353	0.0324244	0.0437408
pu	0.0564219	0.0263611	0.0225661	0.0222377	0.021964	0.0186739	0.0187213	0.0186597	0.0155476	0.00938052	0.0058504	0.00551397	0.00409549	0.00548261	0.00897512	0.0179278	0.0241009	0.0217055	0.0256415	0.0305817	0.035178	0.0456896	0.0479471	0.0378471	0.0356056	0.0311685	0.0307634	0.0357367	0.0359028	0.0609362	0.0654712	0.0752235	0.0821215
rentrer	0.0535579	0.0285402	0.023828	0.0273195	0.0203683	0.0216979	0.0243038	0.0196437	0.0200851	0.0189096	0.0130166	0.012212	0.0113277	0.0162262	0.0187866	0.0383294	0.0388871	0.0215916	0.0211041	0.0257535	0.0655256	0.0668337	0.0841462	0.054003	0.0370831	0.025783	0.0259183	0.0166332	0.0156783	0.0208624	0.0265432	0.0317604	0.0537409
</S>	0.036592	0.0236208	0.0274099	0.0297676	0.0253394	0.0288202	0.0273742	0.0205875	0.0210097	0.0209932	0.0157719	0.0132288	0.0098885	0.00893581	0.0142955	0.0271241	0.0409995	0.0280133	0.0251713	0.0182061	0.0278972	0.0267053	0.0277989	0.0203815	0.0174431	0.016136	0.0160423	0.0234886	0.0258861	0.0520337	0.0805872	0.0724961	0.129955
