 	o	b	h	é	m	b	i	s	i	o	t	ω	m	b	í	l	i	l	á	a	n	y	i	á	y	i	n	d	a	m	í	k	a	l	i	s	a	l	ó	t	ω	m	b	í	l	i	</S>
le	0.00826863	0.0107931	0.0132126	0.011237	0.00900611	0.010147	0.0135862	0.0118701	0.013933	0.0388592	0.0231693	0.0392626	0.0568761	0.0422705	0.0342208	0.0309119	0.0273755	0.0267909	0.0380025	0.0211732	0.0392884	0.0350811	0.0263024	0.0180036	0.0190113	0.0124933	0.013217	0.00740616	0.00834729	0.00654348	0.00603097	0.00509079	0.00882581	0.00685437	0.0166036	0.0172366	0.0263	0.0232392	0.027981	0.0255453	0.0206785	0.0237804	0.0188966	0.0274884	0.0286592	0.0279873	0.0221416
chauffeur	0.0135201	0.0311208	0.0540754	0.0652353	0.0467981	0.0464522	0.0815903	0.0447528	0.0627718	0.0729883	0.0607117	0.0619702	0.0299842	0.0105036	0.0238623	0.012002	0.0160369	0.0144122	0.0384268	0.0186746	0.0249028	0.0230359	0.00899043	0.0114946	0.0187557	0.0131821	0.0153776	0.0088383	0.0112574	0.00456107	0.00358218	0.00148269	0.0018846	0.00119609	0.00113775	0.000737944	0.00126488	0.00318454	0.00707841	0.00498523	0.00566726	0.00379989	0.00621653	0.00440019	0.00302803	0.00192222	0.00214611
tourne	0.0196864	0.0162312	0.0148099	0.0093455	0.0107189	0.0146871	0.0128744	0.0128174	0.00796692	0.0082912	0.0105667	0.0104377	0.010838	0.0159549	0.0172015	0.0255737	0.0159405	0.0243396	0.0172353	0.0116245	0.00791481	0.0067301	0.00591517	0.00571689	0.0100387	0.00894487	0.00665795	0.0137617	0.0115396	0.0155506	0.0254424	0.0265655	0.0210293	0.0375889	0.0537452	0.057557	0.0521091	0.0612087	0.0511998	0.0424771	0.0596832	0.0422918	0.0289736	0.0185699	0.0117864	0.0172255	0.0126347
le	0.0139075	0.015286	0.0175988	0.0227823	0.0292796	0.0284971	0.0297668	0.0289429	0.0354993	0.0340195	0.032694	0.0278348	0.0198488	0.0204643	0.0174038	0.0136369	0.0187896	0.0255385	0.0226571	0.024966	0.0308864	0.0271805	0.0248894	0.0200428	0.0224308	0.0214133	0.0245875	0.0287429	0.026719	0.02871	0.0201743	0.0223073	0.0214839	0.0218003	0.0168974	0.00942294	0.00993708	0.00825725	0.00965056	0.010393	0.00916014	0.0101179	0.0121027	0.0183269	0.0135037	0.017198	0.0342506
volant	0.0120969	0.0135848	0.0169879	0.016419	0.0167262	0.0176788	0.0156858	0.0146119	0.0173448	0.0173715	0.0210574	0.0218841	0.0226996	0.0216054	0.0240996	0.0149551	0.013042	0.0216884	0.0248667	0.0242353	0.0312418	0.0342044	0.0262068	0.0259518	0.0243604	0.0275777	0.0230187	0.0267985	0.0301077	0.0222062	0.0231106	0.016637	0.0156833	0.0123162	0.0136082	0.00895294	0.0101839	0.0143113	0.0184655	0.0261304	0.0248575	0.0249696	0.0254735	0.0235372	0.026676	0.0315511	0.0432204
pour	0.0547833	0.0332521	0.0258401	0.0191768	0.0152511	0.01189	0.010176	0.0100334	0.00928543	0.00893093	0.00963348	0.00899796	0.0073374	0.00813689	0.00705002	0.00528906	0.00541975	0.00809439	0.00882732	0.0102356	0.0228852	0.0204803	0.0365795	0.0399536	0.036066	0.0340309	0.0242243	0.0267002	0.0255672	0.0322428	0.0271345	0.0390861	0.0268938	0.0359586	0.0269285	0.0226606	0.0226413	0.017568	0.0136058	0.0115123	0.0177855	0.0194048	0.0161038	0.0251759	0.0230527	0.0282931	0.0498238
garer	0.0471325	0.0233319	0.0149343	0.0113626	0.0131081	0.0149378	0.0151731	0.017959	0.0183632	0.0157164	0.0180733	0.015196	0.0196442	0.0208187	0.0190527	0.0187173	0.0110036	0.0206146	0.0210217	0.0252719	0.0401563	0.0311883	0.0261323	0.0238284	0.0214702	0.0219569	0.0193328	0.0228811	0.0192514	0.022034	0.0211713	0.025751	0.0226127	0.025056	0.0228901	0.0212339	0.0209296	0.0194996	0.0149819	0.0191545	0.0233645	0.0216115	0.017605	0.0165863	0.0199463	0.0242334	0.033708
sa	0.0361469	0.0269632	0.022556	0.0196398	0.0223038	0.0293571	0.0267936	0.0239767	0.0295206	0.0244554	0.0163417	0.0137142	0.0167336	0.0161504	0.0166685	0.0156147	0.0169316	0.0210594	0.0170101	0.0306264	0.0532548	0.041749	0.0391513	0.0300327	0.0276431	0.0211912	0.0275265	0.0217979	0.0177814	0.014605	0.00782588	0.0102057	0.013589	0.0103189	0.0145846	0.00979538	0.0132543	0.0112075	0.0094294	0.0109621	0.014419	0.010507	0.0171224	0.0163785	0.0157578	0.0170594	0.0602865
voiture	0.0246132	0.0218683	0.0205349	0.0192487	0.0152514	0.00996133	0.00923338	0.00970214	0.013508	0.0134534	0.0193109	0.0200985	0.024169	0.0210754	0.0293197	0.0213946	0.0188914	0.0180199	0.0167925	0.0312403	0.0393982	0.0337812	0.0354423	0.027003	0.0209852	0.0216351	0.0190974	0.0171251	0.0121824	0.0119981	0.0113421	0.014183	0.0109165	0.0118728	0.0154955	0.0118636	0.0160279	0.0208041	0.0151711	0.0133925	0.0256777	0.0138903	0.0246978	0.0237458	0.0284821	0.0445034	0.0815986
</S>	0.05167	0.0378403	0.0316256	0.0293342	0.0288489	0.0269477	0.0193992	0.015829	0.016311	0.0134557	0.0174746	0.0176084	0.0126106	0.0116655	0.0127921	0.00887228	0.00744341	0.00788482	0.00623933	0.00958293	0.0122694	0.0115346	0.0153101	0.015016	0.011243	0.0134846	0.0129712	0.0117318	0.0153851	0.018934	0.00837709	0.0140605	0.0158723	0.0159645	0.0225982	0.0164567	0.0260416	0.0209367	0.0185852	0.0186422	0.0273006	0.0230875	0.0289879	0.0278733	0.0337971	0.0401191	0.119984
