 	a	m	w	e	n	έ	l	i	b	é	l	a	á	d	i	s	á	l	e	k	ω	l	ώ	l	ó	t	w	ε	r	ε	</S>
les	0.0240638	0.018043	0.0115354	0.0102879	0.00539331	0.011123	0.0167863	0.0393547	0.0465312	0.049697	0.0660029	0.0832483	0.0681356	0.110644	0.0560553	0.0445265	0.0303419	0.035223	0.0395987	0.0442393	0.0332135	0.0232207	0.0312573	0.0161385	0.0170495	0.0145425	0.00934024	0.0090534	0.0119555	0.00781602	0.015581
notables	0.109604	0.107995	0.0880745	0.119842	0.101367	0.0516487	0.0462374	0.0409296	0.0530081	0.0464799	0.0223934	0.0345855	0.0128397	0.0266904	0.0169108	0.0105656	0.00759251	0.00989126	0.0130889	0.0111995	0.00858826	0.00979681	0.0081318	0.00882826	0.00894038	0.00729329	0.00652751	0.00359374	0.0029308	0.00209614	0.00232961
et	0.0223436	0.0230222	0.0117198	0.0179381	0.0269823	0.027791	0.0183257	0.0141565	0.018352	0.0208637	0.0254057	0.0204191	0.0189065	0.0173172	0.0254122	0.0228373	0.0256719	0.038192	0.0704869	0.0572061	0.0710965	0.0968016	0.0790443	0.0877682	0.0561633	0.02718	0.0202357	0.0127646	0.0110328	0.0108122	0.00375114
leurs	0.0225251	0.0244227	0.0256817	0.038302	0.0417856	0.0398499	0.0375839	0.0372836	0.0473638	0.0510291	0.0495926	0.0339809	0.0210017	0.0243421	0.0221587	0.0182101	0.0154647	0.0167763	0.0221746	0.0179836	0.0245046	0.0161619	0.0213605	0.0233933	0.0325166	0.0324797	0.0446232	0.0455345	0.0491638	0.0474686	0.0552805
assesseurs	0.058036	0.0490629	0.0276656	0.0517407	0.0453347	0.0340818	0.0333563	0.0334989	0.0365977	0.0398926	0.032115	0.0239643	0.0144605	0.0151221	0.0227434	0.0240327	0.0264083	0.023344	0.0222396	0.0256025	0.0298354	0.0194803	0.0215612	0.0263882	0.0362727	0.0347757	0.0291587	0.0280755	0.0348366	0.0392046	0.0611115
sont	0.0197546	0.0183592	0.0175719	0.0169258	0.0192564	0.0191003	0.0252655	0.0265805	0.0257468	0.024916	0.0233613	0.0196392	0.018861	0.017795	0.0193312	0.0165295	0.0188164	0.0155451	0.0180058	0.0175529	0.0231632	0.019626	0.0310767	0.0368805	0.0485952	0.0570288	0.0453319	0.0733793	0.0808819	0.0737661	0.111356
dans	0.0293773	0.0191738	0.0162232	0.0189124	0.0186452	0.0172624	0.0197734	0.0231428	0.0303532	0.0392664	0.0285741	0.0199651	0.0117529	0.0101553	0.0160669	0.0232703	0.0260711	0.0259065	0.0284052	0.0373983	0.0404492	0.0403814	0.0479197	0.0502037	0.049535	0.0503787	0.0262865	0.052891	0.0574572	0.0564459	0.0683559
le	0.0280453	0.0248936	0.019993	0.0227449	0.0212261	0.0358929	0.0356592	0.0373771	0.0387089	0.0370616	0.0341322	0.0308261	0.0277711	0.0193224	0.0186921	0.0197509	0.0203687	0.0196731	0.0292197	0.0190208	0.0250963	0.0230634	0.0228715	0.0202964	0.0222473	0.0238711	0.030943	0.056635	0.0542084	0.0823519	0.0980361
sanctuaire	0.0324338	0.0240659	0.020048	0.0204249	0.0164305	0.0230733	0.0151148	0.0116341	0.0126473	0.0100609	0.00617989	0.00525806	0.00383639	0.0020164	0.00399086	0.00737867	0.00796089	0.00952823	0.0163069	0.0169905	0.0267218	0.0284041	0.054351	0.0411041	0.0377653	0.0467459	0.0186213	0.0796036	0.0955861	0.122802	0.182915
</S>	0.0755249	0.063405	0.0600246	0.0554719	0.0314	0.0429146	0.0352588	0.0362501	0.0425461	0.0355187	0.015783	0.0119478	0.00914771	0.00762047	0.00849279	0.0108561	0.00570829	0.00520426	0.00688721	0.00496233	0.00822126	0.00584748	0.0078679	0.00732209	0.0110909	0.0101374	0.0397656	0.059433	0.0614174	0.0835116	0.140461
