 	o	b	v	ú	b	ó	ó	y	a	a	n	g	á	l	í	i	d	z	w	á	o	b	á	á	n	g	ó	l	ó	m	i	y	a	n	g	á	ó	p	ó	r	ó	</S>
l'	0.0102394	0.0138077	0.0120787	0.0175668	0.021108	0.0234521	0.0239302	0.0270886	0.0445508	0.0452312	0.0554934	0.0676209	0.0445775	0.0483533	0.0407105	0.027325	0.0213429	0.0217861	0.0107559	0.0180313	0.0146164	0.0148185	0.0253101	0.0165759	0.0218778	0.0216579	0.018016	0.0241446	0.0219646	0.0128536	0.014476	0.0156413	0.0113055	0.0222789	0.0155265	0.0167468	0.0187434	0.0156739	0.018162	0.0278517	0.0183267	0.0183813
année	0.0192217	0.0597878	0.0699274	0.0909067	0.0404221	0.0696777	0.0140087	0.0151553	0.0256607	0.0377592	0.0304154	0.0640427	0.115441	0.0637095	0.050137	0.0444984	0.0308781	0.0385593	0.00832872	0.0125166	0.00351634	0.00227089	0.00261746	0.0036453	0.00284572	0.00108438	0.00365784	0.00352948	0.00544885	0.00870477	0.00790706	0.00344621	0.00447576	0.00734944	0.00229896	0.00578005	0.00937361	0.00610159	0.00720168	0.00533513	0.0015579	0.000797279
prochaine	0.0274117	0.0138479	0.0171179	0.0139203	0.00911175	0.0151051	0.0186559	0.0147311	0.0228762	0.0158106	0.0190521	0.0318928	0.0474137	0.0545871	0.0694571	0.0696943	0.0545501	0.0436255	0.0618158	0.0324581	0.0158463	0.033399	0.0153021	0.0106649	0.010018	0.0155254	0.0101523	0.00880483	0.0177248	0.0159691	0.0185456	0.0278762	0.0183558	0.0230924	0.0216885	0.0202129	0.0149822	0.0152865	0.011693	0.00974356	0.010262	0.00171991
je	0.0570121	0.0487915	0.0578036	0.0567432	0.0656823	0.1016	0.0463072	0.0318445	0.0216099	0.0128855	0.0148064	0.0260023	0.0537506	0.0551229	0.0878729	0.0424139	0.0178696	0.0293055	0.025048	0.0209689	0.0120575	0.0165323	0.00804919	0.006942	0.00637915	0.00504785	0.00522829	0.00466846	0.00620322	0.00581258	0.00520467	0.00809414	0.00333407	0.00341521	0.00323138	0.00285574	0.00235201	0.00243305	0.00208958	0.0030195	0.00477049	0.00883853
rejoindrai	0.0454401	0.0306844	0.0269269	0.0254561	0.026553	0.0547536	0.0407154	0.0328598	0.0294824	0.0256625	0.0257004	0.0277354	0.020947	0.0269198	0.0282708	0.0368315	0.0426465	0.0578184	0.0305626	0.0279103	0.0268485	0.049847	0.0226655	0.031431	0.0262646	0.0106355	0.0222573	0.0162754	0.0201705	0.0173296	0.0118727	0.0190803	0.00512679	0.00468002	0.00358243	0.00383488	0.00286301	0.00365254	0.00314019	0.00607792	0.00802692	0.0204605
mon	0.0307314	0.0200391	0.0240412	0.0249617	0.0198668	0.0178902	0.0134836	0.00923882	0.0108946	0.00931159	0.0154944	0.0168795	0.0191494	0.0308994	0.0407549	0.0366492	0.027592	0.0297259	0.0136082	0.0216065	0.032594	0.0292594	0.0249196	0.0238164	0.0184345	0.0145371	0.0189044	0.0193521	0.0197692	0.025	0.0219731	0.0339281	0.0246215	0.0285331	0.0248521	0.0335423	0.0388771	0.0283861	0.0249946	0.0254966	0.0306584	0.0247319
oncle	0.0958023	0.0801238	0.0861746	0.0536955	0.068948	0.0297498	0.0235511	0.0308698	0.0375302	0.0308568	0.0214093	0.016042	0.0255507	0.022747	0.0202146	0.0246291	0.0199554	0.0125548	0.00501235	0.00634136	0.0130898	0.00770965	0.00987314	0.020359	0.0272239	0.00389238	0.0210702	0.0196288	0.00517197	0.00955803	0.00599178	0.00803288	0.00724253	0.0102174	0.014767	0.0117168	0.0119238	0.011952	0.0103844	0.0143535	0.0205965	0.0234857
en	0.100036	0.0399073	0.0366096	0.0196476	0.0248393	0.0175269	0.0127345	0.0165281	0.0176193	0.020419	0.0177217	0.0138233	0.012986	0.0128905	0.016203	0.0186894	0.0173139	0.0211938	0.0100293	0.01165	0.0395575	0.0248682	0.030311	0.0543379	0.0713334	0.0104379	0.053256	0.0515538	0.0128598	0.0208797	0.00914005	0.0134484	0.00883496	0.0132437	0.0140393	0.0145129	0.0117055	0.0172833	0.0148482	0.0163207	0.0147599	0.024099
europe	0.0394875	0.0427972	0.0518864	0.0449998	0.0572929	0.0166869	0.0154401	0.0159238	0.0156443	0.0192469	0.0212803	0.0156917	0.0155274	0.0165347	0.0112087	0.0144277	0.022583	0.0141232	0.00626755	0.00964385	0.0110479	0.00963697	0.0290774	0.0279259	0.0256315	0.00973161	0.016261	0.0205524	0.00985856	0.00718165	0.00439788	0.00562789	0.00780143	0.0203088	0.0243078	0.0163681	0.0273069	0.0251941	0.0314724	0.0484208	0.0529285	0.102267
</S>	0.0543204	0.0255958	0.0288857	0.0238551	0.0332915	0.0240238	0.023371	0.0209109	0.01676	0.0182451	0.0139934	0.00954927	0.00338657	0.00284851	0.00267191	0.00356441	0.00883632	0.01103	0.0192299	0.0127212	0.0362163	0.0344035	0.0520437	0.0483818	0.0552089	0.0320679	0.0417677	0.0409283	0.0233261	0.0155835	0.00551446	0.00944102	0.00624781	0.0110849	0.0206336	0.00959996	0.0113698	0.014936	0.0157837	0.0226033	0.0399747	0.0957924
