 	e	k	o	n	g	í	í	l	í	y	é	é	k	o	n	g	á	á	w	á	n	ω	y	é	a	d	í	l	i	b	h	ώ	ω	</S>
sa	0.00509323	0.00890733	0.014382	0.0154047	0.0172532	0.00924336	0.00566036	0.00663212	0.0112686	0.0181828	0.0256133	0.039111	0.0474079	0.0812018	0.0973436	0.100014	0.0909336	0.10294	0.0541954	0.0299329	0.0197258	0.0105273	0.00946246	0.00656111	0.00704703	0.00952922	0.0200618	0.0235262	0.0300657	0.0198814	0.0133834	0.0186764	0.0174382	0.0133929
manière	0.0113175	0.0210141	0.0247115	0.015556	0.0101148	0.0175984	0.0185197	0.03042	0.0236654	0.0302713	0.0282432	0.0415394	0.11081	0.148561	0.119007	0.0434277	0.0326472	0.0142804	0.0108194	0.00697446	0.00838229	0.0313959	0.0220871	0.0269026	0.0281261	0.0258696	0.0257211	0.022329	0.0259264	0.00851749	0.00737499	0.00321746	0.00248167	0.00216996
de	0.2281	0.0862375	0.0670215	0.0450797	0.0501021	0.0320337	0.0235679	0.0196103	0.0166671	0.0189529	0.0191766	0.0262556	0.0239759	0.0618318	0.0302833	0.0156834	0.0101368	0.00852549	0.00777461	0.00569238	0.0102672	0.0140199	0.0167822	0.0237994	0.0340578	0.0142421	0.00771338	0.00731565	0.00761682	0.00763038	0.0112487	0.0160984	0.016707	0.0157919
t	0.0724625	0.0590701	0.114834	0.170918	0.133193	0.0348052	0.019151	0.0116622	0.0142926	0.0120866	0.0155288	0.0289592	0.0176395	0.0447744	0.0222095	0.022839	0.00761283	0.0120665	0.00592154	0.0093198	0.00904235	0.00765349	0.0199007	0.0198076	0.0138409	0.0145198	0.00814134	0.00866394	0.00679477	0.00521842	0.00559129	0.00889312	0.0117826	0.0308039
'	0.0413116	0.0386398	0.0644936	0.0491642	0.0714959	0.0418298	0.0502576	0.032193	0.0250638	0.0106159	0.0119758	0.0168529	0.0121429	0.0157251	0.0122628	0.0113825	0.00614006	0.0157823	0.0101168	0.0101998	0.0187791	0.0231765	0.0299702	0.0634374	0.0664798	0.0524707	0.0337273	0.0311826	0.0228451	0.0172456	0.0164795	0.0218471	0.0234541	0.0312589
'	0.0834035	0.0814801	0.0844495	0.0956135	0.0596702	0.0505267	0.0467063	0.0427771	0.0224784	0.0194102	0.0132553	0.0144447	0.00775082	0.0232762	0.0154082	0.0211564	0.00888727	0.00725836	0.00773069	0.00956905	0.00848815	0.00881757	0.0170587	0.0268636	0.032043	0.0133123	0.00454914	0.00313117	0.00585971	0.00529082	0.0107711	0.0277	0.0347583	0.0861038
attendre	0.0537727	0.050245	0.0486224	0.0634273	0.0623337	0.0526585	0.0515443	0.0409336	0.0351699	0.0223771	0.0251481	0.0155635	0.0138777	0.0130511	0.0121341	0.0321795	0.02743	0.0335547	0.0196257	0.0232282	0.0228055	0.0123331	0.0187802	0.0145236	0.0110146	0.0154115	0.0125762	0.0104719	0.0159656	0.014747	0.0251502	0.033421	0.0376806	0.0582421
montre	0.156871	0.0791043	0.0347498	0.0270557	0.025286	0.0411248	0.0355422	0.0220936	0.0240007	0.0225051	0.0313862	0.0220987	0.0147964	0.016625	0.0119294	0.0235629	0.0226163	0.0166468	0.0108143	0.00781036	0.0109698	0.0137627	0.00724092	0.0063868	0.00449151	0.00662112	0.0134273	0.0145027	0.0250645	0.0253208	0.0334964	0.0334752	0.0556057	0.103015
qu'	0.112938	0.0550197	0.0307429	0.0392502	0.0365282	0.027491	0.0384012	0.037063	0.0451892	0.0240786	0.0387509	0.0269901	0.0188059	0.0199909	0.0213531	0.0320819	0.0222692	0.0196615	0.0116821	0.016829	0.0154576	0.0138603	0.0139346	0.0117533	0.0177094	0.0108479	0.0117001	0.00969856	0.0246622	0.0137111	0.0214151	0.0403354	0.0468973	0.0729
il	0.0939696	0.0654526	0.109657	0.140195	0.0565697	0.0362781	0.0276438	0.0194962	0.0107409	0.006516	0.00791131	0.00666004	0.00496101	0.00485018	0.00444545	0.00678577	0.00553831	0.00848497	0.0150884	0.0215467	0.0132817	0.0163131	0.0200902	0.0176503	0.0175419	0.0120725	0.0176935	0.0173243	0.0245978	0.0171222	0.0214857	0.032401	0.0375405	0.0820942
a	0.180888	0.0664321	0.0667957	0.0748924	0.0388551	0.0161431	0.0115135	0.00792054	0.00761707	0.00775731	0.0108292	0.0114869	0.0109546	0.00867003	0.00837467	0.0132342	0.00971448	0.0180485	0.0224691	0.0169913	0.0141461	0.0146341	0.0117651	0.00612534	0.00618607	0.00575838	0.0132874	0.0126187	0.0361042	0.0205221	0.0398023	0.0568351	0.0651482	0.0874788
