 	d	i	n	g	a	l	í	í	b	ε	r	í	n	g	á	l	a	p	ó	a	í	l	a	n	g	i	s	i	n	g	á	n	d	z	ó	r	o	b	v	ú	a	</S>
le	0.0202898	0.0238837	0.0218999	0.0241148	0.0229428	0.0192071	0.0100517	0.00870252	0.0066204	0.00872944	0.0116968	0.0316888	0.0666499	0.126349	0.0538206	0.0479354	0.0510219	0.0468785	0.0431614	0.0351816	0.0295979	0.017585	0.0186135	0.0168568	0.0204806	0.0139528	0.0181145	0.013032	0.0188856	0.0145061	0.0150146	0.0154267	0.0166216	0.0072247	0.0108746	0.0097125	0.012301	0.014147	0.0130425	0.00849958	0.00708331	0.00760156
football	0.0740317	0.081167	0.107352	0.071057	0.0508588	0.0120517	0.00612251	0.00250228	0.00181676	0.00335036	0.00390454	0.00588422	0.011767	0.0245816	0.0387471	0.0408804	0.0267923	0.0256261	0.0337371	0.0433371	0.0411423	0.0679856	0.0398892	0.0279198	0.013203	0.0136708	0.00618269	0.0154056	0.00549885	0.00503069	0.0111459	0.0139574	0.0111663	0.012073	0.00663807	0.0099182	0.00947667	0.00640097	0.00752597	0.0065191	0.00221318	0.00146961
que	0.0257379	0.0244788	0.0137094	0.0138567	0.0149471	0.0128602	0.032297	0.0164939	0.039438	0.0179973	0.0155102	0.0164246	0.0281241	0.041662	0.0358138	0.0464228	0.0190632	0.0267834	0.0373647	0.0238732	0.0295692	0.0210043	0.0260035	0.0227163	0.0379916	0.0244988	0.0350979	0.0262489	0.0281617	0.0187219	0.0235936	0.016913	0.0157827	0.0221731	0.0183154	0.0304668	0.0282323	0.0162455	0.021166	0.0140727	0.014749	0.00541762
j'	0.0232588	0.0192224	0.0230161	0.0380312	0.017364	0.0103593	0.0232331	0.0149527	0.0410535	0.0266122	0.0219173	0.0171607	0.0263579	0.0196433	0.0545576	0.0290347	0.0266804	0.0192958	0.019373	0.0166563	0.017411	0.0163292	0.017842	0.0224564	0.0245399	0.0188582	0.0176437	0.0188565	0.0156898	0.0126289	0.0113976	0.0127578	0.00991398	0.0156039	0.0238809	0.0354672	0.030434	0.0225704	0.0551818	0.0323867	0.0428917	0.0374782
ai	0.0182424	0.0231554	0.0257046	0.0232236	0.0254818	0.0252106	0.0317191	0.0320291	0.0400372	0.0332078	0.0302371	0.0247542	0.0308075	0.0292201	0.0297618	0.0373452	0.0314788	0.0403416	0.0647152	0.0506603	0.052683	0.0564692	0.0341653	0.0278445	0.0273346	0.0186696	0.0152972	0.0127927	0.00928633	0.00709663	0.00780332	0.0056366	0.0037325	0.00337638	0.00452957	0.00398715	0.00506864	0.00480862	0.0073117	0.00558911	0.010019	0.0291651
joué	0.0200708	0.0238445	0.0237234	0.0196869	0.0196196	0.0138865	0.0212205	0.0178365	0.0275888	0.0255743	0.0251849	0.0110378	0.0150496	0.0179252	0.0123629	0.0200478	0.00958081	0.0169171	0.0218597	0.0191872	0.0348476	0.0463016	0.047948	0.0511579	0.0379869	0.0488531	0.0245263	0.0275829	0.0150757	0.0139646	0.0148718	0.0161693	0.0145154	0.012536	0.0138812	0.0154697	0.0224872	0.0189616	0.0301565	0.02753	0.0313245	0.0516476
hier	0.0148231	0.0112519	0.0134256	0.0147049	0.0150284	0.0217843	0.0170498	0.0222597	0.0158498	0.0133673	0.0114051	0.00763916	0.00550183	0.0067129	0.00586034	0.00884555	0.00647337	0.00668593	0.00901412	0.00946773	0.0126576	0.0167911	0.0200477	0.0332635	0.0323833	0.0579393	0.039552	0.038684	0.0271394	0.0262304	0.0338509	0.0357127	0.0336451	0.056019	0.0309767	0.0376999	0.0299359	0.0283551	0.0264677	0.0299415	0.0368087	0.0787477
a	0.0236226	0.0170486	0.0185755	0.0151471	0.0192107	0.0232402	0.0443843	0.0328738	0.0454496	0.0190634	0.0272557	0.0157015	0.00867107	0.0130859	0.0149576	0.0155677	0.0131762	0.0148891	0.0109805	0.00981518	0.0103897	0.0132537	0.0184455	0.0206176	0.0188358	0.0284214	0.0195263	0.0196239	0.0174447	0.021441	0.0225218	0.023684	0.0270033	0.0492208	0.0264697	0.0316508	0.023774	0.0254857	0.016885	0.0261861	0.0427326	0.0936703
réactivé	0.0409424	0.0152067	0.0181187	0.0104455	0.0137904	0.0127754	0.0121542	0.00798185	0.0106448	0.00812937	0.0087547	0.00715849	0.00719092	0.00652938	0.00953505	0.0115261	0.0106233	0.0136083	0.0144625	0.0133714	0.0197104	0.0185877	0.0272728	0.0264952	0.023068	0.0355817	0.0226899	0.0243957	0.0290082	0.0356149	0.0252266	0.0241106	0.0247225	0.0293815	0.0242052	0.0255152	0.0297593	0.0345231	0.0336415	0.0527226	0.0596584	0.121159
ma	0.0538176	0.0291848	0.0345091	0.0260017	0.0348217	0.0475662	0.0596038	0.0797506	0.0750386	0.0443129	0.0285144	0.0192604	0.0192116	0.0151432	0.0313068	0.0215914	0.0282571	0.0239295	0.0153269	0.0132419	0.0163413	0.00877506	0.0111519	0.00966864	0.00925993	0.00912603	0.00751578	0.0075276	0.00841639	0.00974807	0.00787264	0.0110138	0.00784773	0.0123793	0.0145281	0.012538	0.0109198	0.0104394	0.0115828	0.0148202	0.022182	0.0659552
