 	n	g	ó	o	á	m	i	d	z	w	á	o	t	ó	á	m	á	a	ó	i	t	ó	l	i	i	</S>
la	0.0870808	0.0244301	0.0199108	0.0109188	0.00887553	0.00641212	0.00829991	0.0093498	0.0109541	0.0306364	0.0814316	0.0857677	0.0691073	0.0845677	0.0482749	0.0368316	0.0355384	0.0416523	0.0354773	0.0413743	0.0434382	0.033223	0.0395507	0.0357206	0.0343163	0.0368598
maman	0.348504	0.216756	0.205951	0.0760316	0.0586221	0.0470324	0.0219726	0.00834703	0.00504091	0.00182656	0.000396602	0.000329214	0.000363818	0.000585019	0.000746391	0.000786945	0.000644272	0.000937824	0.00127093	0.00118937	0.0011127	0.000352597	0.000582143	0.000410771	0.000158234	4.83145e-05
est	0.0233093	0.0244427	0.0228216	0.0383094	0.0225996	0.0244249	0.0399879	0.0914765	0.0981181	0.141414	0.0762542	0.0351372	0.021702	0.0232902	0.0238954	0.0265728	0.025415	0.0318468	0.0231144	0.0390016	0.039031	0.0223343	0.0326261	0.0179977	0.0215782	0.0132998
partie	0.025402	0.0136986	0.0313633	0.0333588	0.0164207	0.0274769	0.0298373	0.0454495	0.0396742	0.0683792	0.0517317	0.044539	0.045615	0.0510769	0.0605249	0.0509077	0.0323019	0.037518	0.0216109	0.0477265	0.0223135	0.0224756	0.0360337	0.0442409	0.0562013	0.044122
chercher	0.0358178	0.0178448	0.0142951	0.0209133	0.0164701	0.0272325	0.0234341	0.0260789	0.0234092	0.0374157	0.0334668	0.0273221	0.0398282	0.0543989	0.0561297	0.0449216	0.0478874	0.0435376	0.0249343	0.0483311	0.0351205	0.0352226	0.044719	0.0505969	0.0695654	0.101107
de	0.0343547	0.0379001	0.0260471	0.0326317	0.0286796	0.0324451	0.0207087	0.0203228	0.0230797	0.0389298	0.0373363	0.0395114	0.0395751	0.0437164	0.030185	0.0265851	0.039765	0.0197861	0.0220005	0.0553056	0.0251928	0.0570862	0.0560232	0.0764508	0.0692654	0.0671159
l'	0.0304592	0.0212788	0.0164788	0.0286528	0.0226901	0.0370827	0.0391555	0.0413593	0.0260113	0.0285	0.0293093	0.0319828	0.0374142	0.0500723	0.0541546	0.0375339	0.0397208	0.0310939	0.0303823	0.0438189	0.0306044	0.0290708	0.0353645	0.0493375	0.0747402	0.103731
eau	0.0315572	0.0366005	0.0316937	0.0312729	0.0294998	0.0279426	0.0248078	0.0195388	0.0134788	0.010411	0.012302	0.0310951	0.0310221	0.0367865	0.0303747	0.0321308	0.0432217	0.0227617	0.0416732	0.0398498	0.0372814	0.0548297	0.0605251	0.0743994	0.0867224	0.108221
à	0.0423552	0.0362318	0.0381362	0.0434512	0.0299135	0.0242207	0.0202401	0.0170585	0.0173664	0.0183833	0.020774	0.0302012	0.0292599	0.03828	0.0391332	0.0519178	0.0888634	0.0385632	0.0199429	0.0190625	0.0129388	0.0366581	0.0246151	0.035392	0.0606993	0.166342
la	0.0313213	0.0289243	0.0336215	0.0361839	0.0226042	0.0166774	0.0146245	0.0123455	0.00865417	0.0071304	0.0079697	0.0125941	0.0154431	0.020621	0.0256045	0.0334669	0.0478055	0.0384494	0.0378553	0.0471488	0.0322748	0.052719	0.0542073	0.0949023	0.113066	0.153786
source	0.0201765	0.0198381	0.0246396	0.0359807	0.0208931	0.0163687	0.0115747	0.0132483	0.012542	0.0119394	0.0202927	0.0467414	0.0462666	0.0497301	0.0474718	0.0500619	0.0429926	0.0371036	0.0498292	0.035577	0.0382544	0.0653341	0.0487289	0.0690895	0.0768945	0.0884305
</S>	0.110473	0.0803778	0.093651	0.0868898	0.0608859	0.040477	0.025359	0.0153946	0.0125443	0.0117209	0.00630525	0.0254183	0.0153805	0.0201405	0.0130241	0.00952399	0.0157417	0.0152767	0.0223794	0.0088556	0.0134615	0.0283926	0.025048	0.0336056	0.04317	0.166503
