 	s	á	b	í	n	í	á	n	a	a	o	k	a	b	h	i	r	i	l	a	m	w	á	s	í	y	a	n	g	á	á	d	z	e	n	d	a	</S>
parmi	0.0116359	0.0213749	0.0434191	0.0303165	0.0215059	0.0152201	0.0154395	0.0141001	0.0213942	0.0269991	0.0473586	0.0715566	0.115568	0.0918317	0.0920399	0.0256789	0.0225312	0.0131679	0.0129962	0.00873601	0.0102547	0.00518486	0.00558643	0.00622018	0.00805212	0.00794566	0.0106024	0.00778321	0.0144261	0.0176827	0.0243169	0.0286763	0.0228093	0.0241389	0.0216922	0.0243003	0.0212834	0.016174
vous	0.174961	0.0952739	0.0707846	0.0321817	0.0330542	0.0493271	0.0444599	0.0468188	0.0506497	0.0325361	0.0392922	0.0381324	0.0357816	0.0242319	0.0276465	0.018092	0.0104174	0.0195487	0.0151635	0.0137972	0.0118684	0.00614241	0.00421574	0.0046589	0.00426225	0.00376773	0.00948425	0.00365695	0.00619551	0.0118501	0.00747126	0.00464435	0.00414	0.00362091	0.010656	0.00773043	0.0125728	0.0109117
quatre	0.111509	0.045109	0.0500318	0.0410206	0.0319425	0.0307535	0.0306246	0.0329542	0.0331299	0.0305905	0.0347262	0.0227299	0.0152751	0.0248425	0.0167169	0.0174327	0.0126529	0.0194775	0.0324614	0.0254437	0.0100447	0.0121425	0.00792257	0.0168433	0.0122063	0.0202196	0.0259707	0.0306939	0.0268467	0.03499	0.0173607	0.0147165	0.0153596	0.0125402	0.0203583	0.023817	0.0245674	0.0139758
quel	0.0217586	0.0194197	0.0190939	0.0152309	0.0107242	0.0123343	0.0164668	0.0150285	0.0183789	0.0198414	0.0178681	0.0188298	0.0162473	0.017327	0.014541	0.0121212	0.0125942	0.0366586	0.0541378	0.0773934	0.0342641	0.0805133	0.0490449	0.0439974	0.0444808	0.0364627	0.0448336	0.0250454	0.0169078	0.0246311	0.0192048	0.0161777	0.0136194	0.011218	0.0165573	0.0164204	0.0212548	0.0393714
est	0.0180094	0.0215994	0.0175365	0.0177964	0.0142942	0.0179466	0.0179876	0.0198029	0.0212412	0.024076	0.024645	0.0228955	0.0187673	0.024798	0.0125388	0.0136228	0.0156381	0.0377641	0.0435556	0.0362775	0.0135104	0.0285523	0.0275761	0.031681	0.0363166	0.0496634	0.0601602	0.03258	0.0308161	0.0248776	0.024626	0.0176437	0.025941	0.0329419	0.0211051	0.0284849	0.0291643	0.0435665
celui	0.0244207	0.0301874	0.0240317	0.0203328	0.0235229	0.0245283	0.0262683	0.0209391	0.0191401	0.019531	0.0193061	0.0212796	0.0152309	0.0211689	0.0178638	0.0207815	0.0238148	0.0323593	0.043178	0.0251751	0.0332655	0.0158265	0.00796956	0.015995	0.0122343	0.0265932	0.0262098	0.0297001	0.0175672	0.0360457	0.0261537	0.0272645	0.0285553	0.031439	0.035403	0.0405111	0.0359435	0.0802624
qui	0.0117907	0.0133617	0.0101686	0.00962639	0.0126036	0.0163347	0.0222898	0.0244912	0.0237284	0.0240898	0.018636	0.0186161	0.010458	0.0115444	0.0111387	0.0154686	0.0234215	0.0453243	0.0856554	0.0413783	0.0697794	0.0329736	0.0187497	0.024432	0.0227227	0.0349464	0.0182741	0.0280338	0.0129195	0.0153509	0.0168904	0.016278	0.0242285	0.0264995	0.0254247	0.0353104	0.0419541	0.0851059
s'	0.0215655	0.0164008	0.0165623	0.0145984	0.0164598	0.0191737	0.0182853	0.0128126	0.0103793	0.0114921	0.00851073	0.0103695	0.00707215	0.00880784	0.00964366	0.0141895	0.0175527	0.0288552	0.041683	0.0196001	0.040788	0.0259739	0.01615	0.0358709	0.0290096	0.0534626	0.0296125	0.0360701	0.0201064	0.0248436	0.0319421	0.0296358	0.0384058	0.039932	0.0392765	0.0503084	0.0550181	0.0795798
est	0.0945559	0.0355641	0.0345029	0.0278135	0.0251928	0.0126013	0.0123186	0.00827954	0.00988816	0.00820276	0.0124123	0.00947688	0.00946873	0.0174345	0.0132462	0.0180377	0.028097	0.0277597	0.0250066	0.0138251	0.0184442	0.011883	0.00797876	0.0122403	0.0138043	0.0248614	0.0230793	0.0378765	0.030402	0.0283242	0.0350088	0.0295106	0.0319203	0.0389457	0.0349514	0.0532502	0.0379473	0.0858875
disputé	0.0532594	0.0306064	0.0195652	0.0122835	0.0101189	0.012636	0.0129841	0.0134924	0.012793	0.0114145	0.0129352	0.0111554	0.0100041	0.0147723	0.0133814	0.0168705	0.0245904	0.0325818	0.0306826	0.0315528	0.0291788	0.0312577	0.0402841	0.0469571	0.0306324	0.0375083	0.0297674	0.0190833	0.0140323	0.0169987	0.0317855	0.0320556	0.0326545	0.0417172	0.0389546	0.0514958	0.0355817	0.0523751
