 	e	k	l	í	l	ú	l	ú	y	é	é	k	ú	l	ú	w	a	i	b	h	ώ	ω	d	í	i	a	s	á	a	l	a	k	y	έ	r	ε	s	ó	t	é	m	a	</S>
la	0.0135885	0.026061	0.0328855	0.0305503	0.0245692	0.0255367	0.022573	0.0300876	0.0266432	0.026809	0.0254254	0.0770087	0.0675116	0.0646686	0.0449983	0.00998741	0.0122127	0.0110211	0.0193764	0.00972982	0.00715533	0.00661621	0.00970377	0.00778104	0.00971846	0.0100217	0.0121719	0.00723795	0.0117785	0.00932059	0.011296	0.0135528	0.0198805	0.0191367	0.0321058	0.0332395	0.0293443	0.0277443	0.0284878	0.0281709	0.0247117	0.0204356	0.0191449
manière	0.00596909	0.00910228	0.0230752	0.0167344	0.016553	0.0193561	0.0236727	0.0181387	0.0213904	0.038679	0.0823723	0.119919	0.103193	0.0680212	0.0881356	0.0161383	0.0202117	0.0219703	0.0385242	0.0169755	0.0244261	0.0188635	0.0196373	0.0117966	0.0160398	0.00694054	0.0092871	0.0131135	0.00905215	0.00399428	0.00760177	0.0108446	0.0237019	0.00545768	0.00713331	0.0136919	0.00625826	0.00611205	0.00503612	0.00495223	0.00411799	0.00256884	0.00124057
dont	0.0502124	0.0180382	0.0148219	0.0144116	0.0176291	0.0186489	0.0176698	0.0100507	0.0202667	0.00747002	0.0364374	0.0314191	0.0334551	0.0337382	0.0929547	0.043781	0.0507369	0.0663046	0.123046	0.040071	0.0146631	0.0150934	0.0310154	0.0204148	0.0262636	0.0150563	0.0182307	0.013408	0.0175467	0.0116753	0.0131754	0.00897317	0.0111535	0.00799154	0.00404838	0.00616515	0.00230021	0.00190348	0.00189679	0.00373732	0.0047763	0.00355488	0.00579274
il	0.0543742	0.0635538	0.0427465	0.0490121	0.0391333	0.0372438	0.0488254	0.0178577	0.0297077	0.0130171	0.0270423	0.0139552	0.00787604	0.0190388	0.0251481	0.010172	0.0481991	0.068505	0.159499	0.0521967	0.0170291	0.0127992	0.0173498	0.00936276	0.011476	0.00610187	0.0110567	0.00734986	0.0116702	0.0091022	0.00547533	0.00282085	0.00224829	0.00330182	0.00260479	0.00264031	0.00218309	0.00282346	0.00291211	0.00342153	0.00614059	0.00448703	0.0185394
a	0.0663292	0.0524374	0.0521231	0.0626325	0.0558893	0.0474628	0.0301457	0.0174505	0.0232608	0.0182842	0.020421	0.0101949	0.011407	0.0129015	0.0267968	0.0179652	0.0319739	0.0239183	0.0480622	0.0346065	0.0273252	0.017503	0.0339521	0.0188056	0.034954	0.0132925	0.0170223	0.0269083	0.0176817	0.0216515	0.0125768	0.0102534	0.00719601	0.00859272	0.00573905	0.00381109	0.00440584	0.00284116	0.00520087	0.00529256	0.0051277	0.00673925	0.0288644
laissé	0.0383854	0.0402236	0.0553147	0.0648051	0.0767816	0.0709524	0.0482427	0.0269774	0.0315212	0.0249059	0.0496352	0.0188468	0.0202284	0.0192838	0.0293216	0.0237895	0.0263306	0.0090731	0.0200656	0.0194075	0.0181532	0.00500292	0.0144611	0.00656263	0.0142152	0.00374237	0.0044874	0.00688981	0.00411433	0.00627091	0.00730748	0.00962892	0.00919655	0.00919073	0.00936602	0.00581997	0.0076	0.00806898	0.0121939	0.0186777	0.018617	0.0223337	0.0640071
cette	0.0443371	0.0351774	0.0232875	0.0327072	0.0355221	0.0354094	0.0311376	0.0281859	0.0282513	0.0271229	0.0165763	0.00814161	0.0112336	0.0100927	0.0188257	0.0151223	0.0323495	0.0169352	0.0343288	0.0212247	0.0283286	0.0164007	0.0259166	0.00941913	0.0193338	0.00964134	0.0147866	0.0132598	0.0127803	0.0167411	0.0125834	0.0091392	0.00961556	0.00918563	0.0179506	0.0104698	0.0158793	0.0209884	0.0229991	0.0382982	0.0243614	0.0398349	0.0961176
affaire	0.0257228	0.0300618	0.0340451	0.0481137	0.029588	0.023346	0.0172556	0.0181608	0.0197488	0.0204522	0.0189492	0.012194	0.0152183	0.0152444	0.0365458	0.0177085	0.0226696	0.0145832	0.0188701	0.0139157	0.0194589	0.0125197	0.0126776	0.0102967	0.012037	0.00691554	0.00879453	0.00779374	0.00695003	0.0106728	0.00567571	0.00719726	0.00999957	0.00966987	0.0241388	0.0277776	0.0292742	0.0364256	0.0320987	0.0505327	0.0400816	0.0518146	0.114804
montre	0.020472	0.0295972	0.0327883	0.0376398	0.0281865	0.0234054	0.0222041	0.0189104	0.0248131	0.00877625	0.0170111	0.0142738	0.014285	0.0203312	0.0191072	0.0292532	0.0258329	0.0139701	0.0244794	0.0358614	0.0182402	0.00875197	0.0174393	0.0106769	0.0187555	0.00831605	0.0151519	0.00727102	0.0100931	0.0108268	0.00352529	0.00552289	0.00729176	0.0117984	0.0184087	0.0177445	0.0242952	0.0296424	0.0276575	0.0391878	0.0616322	0.0373943	0.129178
qu'	0.0350227	0.0380809	0.0354452	0.0372449	0.0313205	0.0418518	0.0515781	0.0376164	0.0630619	0.0301263	0.0523454	0.0182458	0.0131037	0.0277466	0.0341337	0.0575596	0.0538275	0.0153353	0.0349904	0.0331084	0.02241	0.0109005	0.0174858	0.00845796	0.0198868	0.0110721	0.0157197	0.00864584	0.0125335	0.0117289	0.00725209	0.00429589	0.0025491	0.00355016	0.00329486	0.00209641	0.0048195	0.00619927	0.00559461	0.00621601	0.0142015	0.00749114	0.0518534
