 	i	s	i	m	b	a	l	ó	s	έ	n	g	ε	í	m	i	b	h	o	n	í	s	á	m	w	á	n	a	i	b	a	a	w	ó	</S>
les	0.056589	0.0195114	0.012715	0.0166436	0.0183704	0.0264896	0.0307543	0.0271322	0.030234	0.0391589	0.0368931	0.0353669	0.0370016	0.0276525	0.0588321	0.0177738	0.0189856	0.0164402	0.0148546	0.0188573	0.0164842	0.0261494	0.0353484	0.0218143	0.0397255	0.0270564	0.023749	0.0365814	0.0290928	0.0270839	0.0194441	0.0396342	0.0325675	0.039179	0.0258337
plaisirs	0.0636797	0.0726817	0.0540959	0.0725264	0.0555556	0.0709012	0.0412919	0.0442608	0.0228162	0.0459795	0.0318248	0.0212988	0.0633557	0.0215558	0.0448974	0.0446475	0.0247846	0.0168445	0.00730345	0.00769034	0.0127148	0.0151288	0.0253148	0.0137536	0.0200989	0.0192657	0.00805047	0.00853167	0.00901082	0.0105506	0.00612398	0.00641616	0.006156	0.00393745	0.00695439
du	0.0604066	0.0490647	0.0335906	0.0513041	0.0425088	0.0414029	0.0308146	0.0562817	0.0389143	0.0400898	0.0486035	0.0277888	0.03384	0.0286735	0.0387093	0.0240021	0.0166407	0.00723917	0.00553907	0.00921935	0.0161945	0.0252951	0.0385846	0.0230413	0.049677	0.0409104	0.0252967	0.0182984	0.0157808	0.0149368	0.0101799	0.0104305	0.0137654	0.00939976	0.00357507
monde	0.0126708	0.011544	0.0141816	0.0222308	0.0306306	0.0307308	0.0295179	0.0308983	0.0220037	0.0190964	0.0127955	0.00420842	0.00347169	0.00304164	0.004704	0.00842842	0.0147559	0.0171216	0.0455193	0.0565641	0.0702431	0.0675003	0.067306	0.0635237	0.0734437	0.0506718	0.0403215	0.0321353	0.021672	0.0243525	0.0117795	0.0139607	0.0203668	0.0215093	0.0270982
ont	0.018911	0.0130773	0.0128922	0.0193831	0.0219754	0.0223764	0.0219693	0.0247517	0.0216218	0.0236014	0.0202333	0.0167068	0.0178829	0.0163919	0.0220684	0.0349749	0.0442044	0.0348558	0.0604615	0.0622227	0.0724793	0.0546901	0.0422387	0.0443307	0.0284551	0.0200654	0.0227501	0.0138277	0.0140782	0.0139613	0.0169689	0.0189113	0.0252274	0.0299456	0.0515079
détourné	0.016495	0.0160122	0.0176806	0.0224727	0.0238715	0.0288116	0.0292547	0.0306993	0.0274698	0.0343249	0.0249697	0.0142427	0.0160405	0.0199305	0.0200095	0.0272014	0.0228209	0.0269125	0.0371383	0.0456315	0.0547208	0.0430519	0.0418247	0.0396696	0.0382077	0.0314226	0.03694	0.0223697	0.0282962	0.017067	0.0152096	0.0195693	0.032519	0.0356821	0.0414601
ce	0.0418719	0.0423022	0.0522889	0.0663607	0.0759659	0.0712669	0.0644197	0.0723775	0.0419515	0.0298281	0.0330572	0.0355476	0.0301383	0.0205312	0.0118402	0.0102999	0.00900038	0.0135104	0.0181288	0.0332515	0.0266485	0.0304482	0.0329259	0.0227529	0.00622917	0.00874906	0.00701989	0.0047798	0.00290241	0.0047316	0.00265156	0.00663839	0.0136312	0.0156268	0.0403257
garçon	0.0345568	0.0345452	0.0363609	0.0390404	0.0404025	0.0355846	0.0285819	0.0267031	0.0137528	0.0133058	0.0158143	0.02269	0.0265533	0.0270827	0.0203504	0.0310878	0.022379	0.0230889	0.0298557	0.043079	0.0309675	0.0477696	0.03444	0.0267797	0.0122468	0.0153858	0.0140733	0.0126098	0.00693005	0.0119789	0.0061764	0.0148441	0.0348225	0.0723769	0.0937834
du	0.0651025	0.0466373	0.0497172	0.0374968	0.0343901	0.0256172	0.017059	0.0229691	0.00998773	0.0130701	0.0137687	0.0302776	0.0383073	0.0411577	0.0287538	0.0404692	0.0296075	0.0328775	0.0410914	0.0436919	0.0331748	0.0386817	0.0269737	0.0222684	0.00722159	0.00984209	0.00773929	0.00818161	0.0040313	0.00674662	0.0048882	0.0124161	0.0253107	0.0574491	0.0730252
droit	0.0493551	0.0372903	0.0278623	0.0246517	0.0199181	0.0209923	0.0183151	0.0230588	0.0221057	0.0262079	0.0203022	0.0375311	0.0504777	0.0335785	0.0322494	0.0497452	0.0387111	0.0463515	0.0570319	0.0542572	0.0221449	0.0201824	0.0149345	0.0154079	0.00537275	0.00721922	0.00727058	0.00817944	0.00514064	0.00931499	0.00707264	0.0166357	0.0463205	0.0620373	0.0627737
chemin	0.0154589	0.0220646	0.0257902	0.0278861	0.0269654	0.0256651	0.0260945	0.025949	0.0235965	0.0187439	0.0167379	0.0118051	0.0146577	0.0126366	0.0118595	0.0164212	0.012962	0.0103707	0.0175935	0.0242286	0.0266804	0.0318789	0.0304227	0.041708	0.0239897	0.0250527	0.0352632	0.0264982	0.0149857	0.0416674	0.0282543	0.0655091	0.0720386	0.0587265	0.0898379
</S>	0.0253496	0.0256121	0.0236034	0.025558	0.0229909	0.0202894	0.0155674	0.0146362	0.00918491	0.00688574	0.00744846	0.00759014	0.00710734	0.00828532	0.0074251	0.00938564	0.00929538	0.00703008	0.0115301	0.0149175	0.0100876	0.0196346	0.0166052	0.0268909	0.0328331	0.0395956	0.0490664	0.0429664	0.0394477	0.0592971	0.0625974	0.0750643	0.0738391	0.0761225	0.0962594
