 	e	t	ε	r	ε	y	á	á	d	z	w	a	n	ώ	n	g	y	e	l	ε	y	é	n	ω	o	s	á	a	i	s	á	l	a	o	d	i	a	k	a	á	</S>
n'	0.0108035	0.00986353	0.0108411	0.014372	0.0311161	0.0307863	0.0352632	0.0344618	0.03822	0.038417	0.0430632	0.0418083	0.0460202	0.0546214	0.0461697	0.0352355	0.0285443	0.0364508	0.0262567	0.0329471	0.0198116	0.018889	0.0113015	0.00679565	0.00577947	0.00829575	0.00433619	0.00977496	0.00661382	0.0099145	0.00986298	0.0159609	0.0194109	0.0191416	0.0191403	0.0243358	0.0266485	0.029978	0.0338249	0.0308032	0.0241187
as-tu	0.0518661	0.0591423	0.0419378	0.0461912	0.0385624	0.0487138	0.0403144	0.031515	0.0316907	0.0419718	0.0350344	0.040817	0.0349175	0.0485566	0.0371781	0.0329455	0.0387697	0.0405624	0.0436384	0.0444101	0.0371261	0.0286561	0.0125937	0.00820106	0.0113336	0.00539093	0.00468907	0.00282061	0.00734247	0.0048225	0.00251152	0.00183399	0.00224081	0.00223126	0.0022956	0.00421405	0.00498924	0.00999272	0.00634521	0.00381849	0.00781573
pas	0.0964424	0.0841825	0.0831482	0.0866559	0.0718082	0.0815867	0.0553933	0.0443953	0.0260784	0.029714	0.0187904	0.0265536	0.0234971	0.0244401	0.0170231	0.0104149	0.0272709	0.030282	0.032315	0.0206756	0.0147261	0.00856048	0.00590498	0.00544544	0.00283955	0.00286053	0.00174193	0.00290329	0.0033888	0.00200258	0.00536887	0.00472581	0.00616918	0.00393549	0.0059654	0.00532859	0.00625241	0.00621281	0.00640084	0.00434303	0.00425624
trouvé	0.0408574	0.0485416	0.0416424	0.030133	0.0313779	0.032697	0.0420301	0.0488126	0.020806	0.0160574	0.0114598	0.00830552	0.00675496	0.00812812	0.00596135	0.0088469	0.024426	0.0196426	0.0271991	0.0265751	0.0378058	0.0323358	0.0472126	0.0651768	0.0400701	0.0370659	0.022809	0.0269358	0.0486643	0.0235429	0.0158929	0.0150094	0.0149951	0.0115684	0.0127624	0.00748602	0.00507102	0.00522584	0.00522561	0.010221	0.0146687
un	0.00996048	0.0143788	0.0137089	0.011312	0.00962705	0.0127397	0.0180431	0.0152485	0.0105382	0.0103752	0.00730565	0.0058564	0.00817433	0.00972055	0.00865442	0.0113702	0.0190582	0.0281004	0.0323772	0.0550877	0.0869664	0.0702204	0.0721354	0.0861467	0.0585194	0.048514	0.0274838	0.0256376	0.0333559	0.0276481	0.0202587	0.0191542	0.0208032	0.0177808	0.0106965	0.00989358	0.00541829	0.0107005	0.0094415	0.0125746	0.0150133
emploi	0.0167587	0.0236123	0.0223524	0.0276533	0.0209868	0.0253126	0.0393217	0.0322967	0.0266855	0.0238885	0.0227189	0.0334329	0.0190802	0.0148101	0.0383279	0.0211105	0.0291654	0.0236462	0.0242801	0.0232901	0.0285876	0.0213845	0.0300864	0.0258542	0.0171284	0.0148709	0.0164317	0.0252202	0.0136403	0.0150227	0.0182174	0.0246857	0.045262	0.0346687	0.0384415	0.015896	0.00744183	0.0110356	0.0145079	0.020406	0.0524796
depuis	0.0200773	0.0190751	0.0126079	0.0116124	0.00863716	0.00910463	0.0155725	0.0150584	0.0167562	0.0148053	0.0160983	0.0226704	0.0199819	0.0193249	0.0350581	0.0365425	0.0276084	0.022661	0.0272645	0.02095	0.0216632	0.0207803	0.035888	0.0512166	0.0374642	0.0425329	0.048532	0.0400367	0.0360929	0.0288479	0.0387771	0.027058	0.0280427	0.0268357	0.0259366	0.00955338	0.00513187	0.00599823	0.00972773	0.0286256	0.0397915
que	0.0347983	0.0262459	0.0201995	0.0228039	0.0189414	0.018184	0.0321696	0.0267165	0.0192818	0.0170651	0.0179457	0.0193505	0.0160881	0.0133797	0.0221063	0.0219159	0.0247619	0.0192668	0.02002	0.018518	0.0242783	0.0250279	0.039479	0.040252	0.0312592	0.0227482	0.0300405	0.024988	0.0123362	0.0198502	0.0167831	0.0188575	0.0261255	0.0211453	0.0292924	0.0149165	0.0120047	0.0157646	0.0292465	0.0411416	0.074704
tu	0.0343184	0.0209447	0.0184973	0.0185768	0.0174284	0.0179064	0.0236474	0.0205473	0.0125687	0.00923108	0.00857996	0.00750544	0.0073835	0.00796883	0.0101353	0.00586961	0.00675766	0.00482318	0.00659026	0.00623197	0.0149108	0.015583	0.0340295	0.0588776	0.0623403	0.0426922	0.0594551	0.0377823	0.02521	0.0349738	0.0388766	0.0417025	0.0499233	0.0269181	0.0283972	0.0113232	0.0148353	0.0139927	0.0201752	0.0458481	0.0566407
es	0.0482661	0.0251931	0.0268626	0.0266769	0.0238728	0.027504	0.0359666	0.0202988	0.00887647	0.0077625	0.00640227	0.00539806	0.00618112	0.00770014	0.00411145	0.00375032	0.0071548	0.00608818	0.00590139	0.00822673	0.0172745	0.0173127	0.0222904	0.0303692	0.0346987	0.0359733	0.0385287	0.0392608	0.0225247	0.0273565	0.045039	0.0408966	0.031513	0.0168235	0.0275267	0.0236476	0.0382901	0.0313812	0.0419163	0.0467435	0.0584388
