 	m	w	á	n	a	y	a	n	ω	w	ó	l	á	a	k	ω	n	ώ	m	b	e	m	b	e	l	o	y	a	a	a	k	u	l	ú	s	ú	a	b	i	a	</S>
ton	0.00374844	0.00608751	0.00541904	0.0040292	0.00739076	0.00266207	0.00342411	0.00424538	0.00384799	0.00531734	0.00475531	0.00577405	0.0119434	0.0250275	0.0445443	0.0360816	0.0781447	0.075019	0.0760564	0.0987581	0.100258	0.0229024	0.0223842	0.0209664	0.015943	0.0319441	0.0207301	0.017663	0.0211318	0.0181439	0.0186083	0.017992	0.0197541	0.0170079	0.0188022	0.0222352	0.0230838	0.0208552	0.0213815	0.0131463	0.0127896
enfant-ci	0.0495454	0.0219703	0.0502627	0.255462	0.216508	0.0840785	0.0930629	0.0736248	0.0152845	0.0105948	0.00549455	0.00854692	0.00633102	0.00801573	0.00586879	0.00632862	0.00294639	0.00382072	0.00240909	0.00154556	0.00123339	0.000547464	0.00128381	0.000909606	0.00234206	0.00333851	0.00185007	0.00363468	0.00561632	0.0037409	0.00212772	0.00612607	0.00759034	0.00608371	0.0147772	0.00410961	0.00451873	0.00413461	0.00282961	0.000964608	0.000539874
souffre	0.0153423	0.0353892	0.0240578	0.0271709	0.0384948	0.0491485	0.0660288	0.108614	0.0512548	0.0366042	0.0262599	0.0250317	0.0425708	0.0227704	0.0178306	0.0170139	0.0153758	0.0178635	0.0259606	0.0210204	0.0226544	0.0108114	0.0154199	0.00967998	0.0183144	0.0195683	0.011697	0.0154716	0.0175009	0.0159509	0.0161202	0.013922	0.0235592	0.0162374	0.0179349	0.014705	0.0106836	0.0113942	0.0100501	0.0133847	0.0111366
de	0.0231781	0.01796	0.0101563	0.00971632	0.00983618	0.0078409	0.0130287	0.015674	0.014005	0.00984433	0.0118157	0.00922775	0.0136322	0.0114296	0.0136395	0.0130431	0.0184431	0.0241139	0.0295996	0.0331499	0.0316778	0.0245135	0.0252192	0.0238329	0.0289215	0.0245328	0.0327043	0.036713	0.0278034	0.0340792	0.0470975	0.0340466	0.0346694	0.0402953	0.0338305	0.0412364	0.0319965	0.0349649	0.0342631	0.0414744	0.0267935
la	0.0349571	0.0288963	0.0259523	0.0124935	0.0131357	0.0123684	0.0174914	0.0177473	0.0167197	0.0138446	0.0164792	0.0115042	0.018689	0.0145916	0.0125479	0.0170791	0.0250735	0.0237053	0.0265718	0.0348517	0.0336997	0.0423885	0.046328	0.0381268	0.0529025	0.0452929	0.040782	0.0383123	0.0214298	0.0171734	0.017442	0.0153739	0.0136217	0.0150312	0.0165016	0.0151262	0.0179821	0.0200981	0.0243608	0.0285551	0.0447716
rougeole	0.0375921	0.0193398	0.0223973	0.0167469	0.0174296	0.0156246	0.0224878	0.0240043	0.0191341	0.0281679	0.0237132	0.0222647	0.0201221	0.0222541	0.0205824	0.0252253	0.0215919	0.0137108	0.0174192	0.023037	0.0176946	0.0205281	0.0246455	0.0191911	0.0329022	0.032203	0.0321329	0.0329745	0.0259028	0.0220715	0.0224826	0.0270026	0.0262011	0.029018	0.0293861	0.0282255	0.0276388	0.0275726	0.0265778	0.0257369	0.0370666
il	0.0600393	0.0306318	0.0261845	0.021275	0.0206661	0.015686	0.0194342	0.0150027	0.0140634	0.0162894	0.0165783	0.0185604	0.015172	0.0161036	0.0127946	0.0154723	0.00886158	0.00729579	0.00757775	0.0169734	0.0129323	0.0322602	0.0234662	0.0289647	0.0441529	0.0256131	0.0380717	0.0476419	0.0282515	0.0290349	0.025736	0.0285243	0.013622	0.0253928	0.0212505	0.0237136	0.0225327	0.0282449	0.0283542	0.0452576	0.0523199
risque	0.0691684	0.0342917	0.0231198	0.0177485	0.0209586	0.0227474	0.0236459	0.0206071	0.00895554	0.024941	0.0134607	0.017304	0.0167113	0.0126871	0.0113018	0.014146	0.0192668	0.0161763	0.0215521	0.0229696	0.02212	0.0267232	0.0271767	0.0267973	0.0501132	0.0252556	0.0171219	0.0301954	0.0259792	0.0227653	0.01032	0.0210197	0.013113	0.0237491	0.0226213	0.0238266	0.0243327	0.0330039	0.0287996	0.0374185	0.0557879
de	0.0506275	0.0264566	0.0144909	0.00693498	0.00675486	0.00929223	0.0154024	0.0217151	0.015284	0.0241281	0.0152531	0.00969149	0.0139296	0.0127483	0.012519	0.0129361	0.0208942	0.0139248	0.0229059	0.0268094	0.032446	0.040468	0.041268	0.0404027	0.0422366	0.0632743	0.0303305	0.0545836	0.0250962	0.0151143	0.0126427	0.0201405	0.00960122	0.0186016	0.0120876	0.0159903	0.0122148	0.0153969	0.0170303	0.0386614	0.0897138
contaminer	0.0501205	0.0285156	0.0171709	0.00897726	0.0120715	0.0163449	0.0202298	0.0184432	0.0113243	0.00904559	0.00951137	0.00283059	0.00887997	0.00386708	0.00347636	0.00434747	0.00941975	0.00763816	0.0131661	0.0159604	0.0164425	0.0152733	0.0244559	0.0129493	0.0219254	0.026785	0.0197	0.0297174	0.016906	0.0157686	0.0093902	0.0240776	0.0187585	0.0266369	0.036706	0.0467187	0.0552894	0.0689104	0.0638252	0.0842105	0.0942124
