 	m	v	u	l	u	l	á	a	d	z	á	á	m	ó	m	y	ω	ώ	</S>
l'	0.0185827	0.0161714	0.0137573	0.0124003	0.031393	0.0530322	0.141326	0.111631	0.0856334	0.0782549	0.0514115	0.0701347	0.0567161	0.0670997	0.0642248	0.034228	0.0208106	0.0451485	0.0280443
antilope	0.152358	0.154881	0.0602294	0.0242749	0.0266673	0.0261972	0.0335705	0.0582219	0.0566349	0.0849711	0.0967327	0.0959132	0.0576178	0.0312866	0.017604	0.0142738	0.00524196	0.00118523	0.00213843
se	0.031441	0.0560366	0.0502619	0.0851987	0.0837851	0.0779546	0.0729617	0.0620066	0.0460846	0.0705584	0.0772247	0.0634968	0.0745898	0.0555385	0.0314961	0.0274907	0.0101196	0.0102042	0.0135503
nourrit	0.107124	0.0878961	0.0820738	0.0930269	0.0654298	0.0519239	0.0498383	0.0298121	0.0205627	0.0304984	0.0342512	0.0392877	0.0521453	0.0500545	0.0461642	0.040411	0.0376793	0.0355638	0.0462572
de	0.124942	0.0845882	0.0938813	0.0733394	0.0557569	0.0341878	0.0294435	0.0177153	0.016832	0.0178659	0.0236308	0.027285	0.027259	0.0338319	0.0502522	0.0487645	0.0681008	0.0662137	0.10611
feuilles	0.0534988	0.0489667	0.0369674	0.0336686	0.0289656	0.0198459	0.0286773	0.0331667	0.035706	0.0410073	0.0460934	0.0757617	0.0663742	0.0847958	0.0907816	0.0638516	0.0657666	0.0415951	0.10451
de	0.0585154	0.0678202	0.0484679	0.0995828	0.0596166	0.0367411	0.0288335	0.021592	0.0209841	0.0204583	0.0383907	0.0699583	0.0565804	0.0410368	0.0562792	0.0568631	0.0570023	0.056663	0.104614
la	0.0887113	0.0951978	0.0591295	0.0797993	0.0521159	0.0345574	0.0249682	0.0149789	0.0102885	0.0114538	0.0196153	0.029466	0.0343567	0.0332347	0.0479448	0.0556995	0.0851527	0.0923401	0.13099
plante	0.157032	0.114629	0.0374726	0.0319988	0.0124403	0.00580361	0.00523245	0.00346978	0.00116278	0.0015269	0.00302565	0.00443385	0.00924182	0.0152015	0.0515796	0.0815327	0.102603	0.119282	0.242333
aquatique	0.130466	0.0942578	0.0422342	0.0532238	0.0262662	0.0124128	0.00936769	0.0116192	0.0120851	0.0160733	0.0338124	0.0270199	0.0410233	0.0299207	0.041766	0.0434301	0.0542806	0.0720336	0.248707
moo	0.0875143	0.0807151	0.0442275	0.0556952	0.023125	0.0131317	0.0106445	0.00781404	0.00618437	0.00572474	0.00941448	0.0102709	0.0198585	0.0196949	0.0381448	0.0772319	0.123105	0.172226	0.195276
</S>	0.0971007	0.0922239	0.0442593	0.0648764	0.0236142	0.0164129	0.0107167	0.00646599	0.00436424	0.0046912	0.0094037	0.00901998	0.0169995	0.0143948	0.0346537	0.0673169	0.101659	0.145905	0.235921
