 	t	á	á	y	a	n	g	á	á	m	i	k	w	ε	r	έ	i	s	u	m	ú	i	y	í	í	m	í	t	ó	n	g	a	l	á	n	d	é	e	y	á	p	á	r	á	a	d	í	</S>
mon	0.0163371	0.0224145	0.0224511	0.034908	0.0189052	0.019572	0.028479	0.0444879	0.0280944	0.0534652	0.038668	0.0564259	0.0308242	0.0693518	0.0479044	0.0471118	0.0624855	0.0252886	0.0248197	0.00942473	0.00463884	0.00578455	0.00585967	0.00908572	0.00703162	0.0113551	0.00694391	0.00708115	0.00736036	0.00795835	0.00749163	0.00847251	0.00771775	0.00659219	0.0087914	0.00889109	0.00775179	0.00732314	0.00844533	0.0124853	0.0110846	0.0122584	0.0149635	0.0180617	0.0168462	0.0247244	0.0209327	0.0226481
père	0.205716	0.224573	0.112646	0.135521	0.0860328	0.0718657	0.0260541	0.0291355	0.0168583	0.0166404	0.0167631	0.00503287	0.0087678	0.00154297	0.00101702	0.000361559	0.000741002	0.000292839	0.000505587	0.000436853	0.000479675	0.000214432	0.00026907	0.000189958	0.000215032	0.00029222	0.000328613	0.000325329	0.000388494	0.000429143	0.000323443	0.000680533	0.000415059	0.000598895	0.000600873	0.00187643	0.00340093	0.00686747	0.0016145	0.00263467	0.0030408	0.00274438	0.0043324	0.00385689	0.0011424	0.00125535	0.000572457	0.000405073
a	0.0213053	0.0263866	0.0201921	0.0199331	0.0199393	0.0254296	0.0791424	0.0555373	0.0703041	0.0532348	0.0517365	0.0456419	0.0192514	0.0277951	0.0264617	0.0172885	0.0263429	0.0125997	0.0128891	0.0111806	0.0084082	0.0077206	0.00892923	0.0108582	0.0108847	0.0140456	0.0166711	0.016206	0.0129453	0.0134611	0.0130021	0.0153217	0.0139064	0.0141203	0.0134566	0.0134548	0.0145657	0.0160206	0.0167748	0.0150163	0.0135376	0.0123328	0.0139203	0.0131534	0.00823355	0.00990007	0.0125897	0.0079713
coupé	0.0330205	0.0173318	0.0070014	0.0183269	0.0101483	0.0134096	0.0160024	0.0256931	0.019165	0.0258962	0.0265467	0.0252482	0.0197291	0.0137476	0.0213922	0.0188868	0.0152932	0.0125066	0.0163654	0.0202731	0.0100526	0.0117832	0.0166802	0.0175991	0.0200993	0.0168104	0.0183516	0.0175684	0.0216125	0.0198929	0.0174244	0.0209264	0.0253796	0.0180466	0.0266414	0.0171041	0.0169131	0.0142335	0.0168811	0.0249943	0.0217859	0.0310864	0.0375206	0.0386673	0.0309745	0.0319527	0.0215972	0.0414371
beaucoup	0.02254	0.00867302	0.0046914	0.00549158	0.00590801	0.00630301	0.0110782	0.0179797	0.0168321	0.0187786	0.0183436	0.0161952	0.0212274	0.0132124	0.011396	0.0130155	0.0146712	0.030366	0.0207269	0.0523971	0.03249	0.0323272	0.0373221	0.0223591	0.0420561	0.0223415	0.0212391	0.0264347	0.0238573	0.0250865	0.0240915	0.0212624	0.0229596	0.0348539	0.0348634	0.0284039	0.0366226	0.0293054	0.0251727	0.0131305	0.012011	0.00990128	0.00872885	0.00896606	0.0108754	0.0144431	0.0158732	0.0331949
de	0.0132655	0.00508471	0.00250423	0.00351137	0.00477091	0.0055665	0.00770747	0.00867213	0.010379	0.00892145	0.0151201	0.00817611	0.0180547	0.0108228	0.00740192	0.0130069	0.0142995	0.0271464	0.0189172	0.0388925	0.0310312	0.0259869	0.0335286	0.0201693	0.030041	0.0215461	0.0186126	0.022908	0.0256128	0.0266114	0.0235499	0.0293533	0.0280735	0.0327075	0.0390897	0.0396468	0.0492054	0.0377567	0.0315663	0.0257306	0.0244654	0.0205456	0.0200299	0.0167683	0.0150327	0.0203726	0.0208819	0.0269544
poteaux	0.0153297	0.00830869	0.00600847	0.00579055	0.00898252	0.00639287	0.00996806	0.0100008	0.0152134	0.0147029	0.020076	0.0133918	0.0363991	0.00867691	0.00437505	0.00990892	0.0159844	0.0252266	0.0211602	0.0326431	0.0297797	0.0204504	0.0233945	0.0156405	0.0178699	0.0151837	0.0113424	0.0192814	0.0176465	0.0282651	0.022766	0.0293108	0.0333304	0.0346455	0.0462583	0.0335053	0.0294114	0.0275344	0.0155561	0.0197532	0.0247224	0.0256443	0.0308534	0.0247359	0.0251739	0.0288302	0.028816	0.0317586
en	0.0143211	0.00799184	0.00606942	0.00709851	0.0104246	0.0136769	0.0216771	0.0178258	0.0269068	0.0221297	0.0373005	0.0211446	0.0357189	0.0128675	0.0080983	0.0169288	0.0255209	0.0420728	0.0503722	0.0424462	0.0275948	0.028751	0.0171369	0.0164365	0.0146149	0.0128036	0.0131221	0.0178167	0.01325	0.025004	0.0200004	0.0274202	0.0210467	0.0178519	0.0194195	0.0165723	0.00819331	0.0106889	0.00712687	0.0105445	0.0123059	0.0138455	0.0207604	0.0171313	0.0212545	0.030322	0.0336235	0.0647692
bois	0.0135774	0.00589305	0.00335727	0.0069961	0.00657606	0.00714772	0.00646693	0.00561539	0.00747571	0.0065037	0.00981467	0.0053924	0.0101824	0.00609341	0.00503208	0.00809725	0.0109398	0.021518	0.0254136	0.0281021	0.02833	0.0233946	0.0242202	0.0233727	0.0250722	0.0201288	0.0200789	0.024479	0.0214511	0.0319543	0.0218901	0.0330816	0.0314378	0.0308637	0.0449179	0.0365688	0.0294513	0.0414106	0.00975833	0.016403	0.0155692	0.0175291	0.0222999	0.0234376	0.0327429	0.0429252	0.0467697	0.0602663
pour	0.0152895	0.0082689	0.0052193	0.0107311	0.00972719	0.0121231	0.0122587	0.0088025	0.00752525	0.00793799	0.00982025	0.00734519	0.00726611	0.00477374	0.00452117	0.00741751	0.00993275	0.0177118	0.0236503	0.0295856	0.024241	0.0271392	0.0234312	0.0203127	0.0169837	0.0183731	0.0160292	0.0297658	0.0189753	0.0294662	0.0251565	0.033666	0.0264362	0.0287705	0.0377508	0.0307235	0.0243575	0.0291314	0.00920228	0.0130869	0.0122068	0.0160436	0.0265838	0.0288733	0.0362275	0.0511389	0.0588378	0.0671815
construire	0.0605099	0.0255239	0.0121244	0.0192948	0.0118748	0.0167226	0.0177193	0.00929897	0.00817184	0.00772827	0.00758568	0.00869235	0.00614744	0.00519988	0.00575741	0.00524008	0.00626267	0.00801969	0.00906121	0.0118982	0.0127273	0.0114706	0.0124037	0.0105658	0.0153899	0.0127393	0.019444	0.0245418	0.018556	0.0323591	0.0298558	0.0264491	0.0224698	0.0444828	0.0412522	0.0282608	0.0267314	0.0282481	0.0170041	0.0180073	0.016327	0.0210514	0.0186928	0.0309216	0.0313563	0.0391273	0.0459007	0.0808305
une	0.175224	0.0414496	0.0153543	0.0236497	0.0169695	0.0234031	0.0160547	0.012824	0.00961615	0.00988356	0.00899161	0.0114862	0.0115212	0.0109175	0.024004	0.0110193	0.0206931	0.0199008	0.0318045	0.0289365	0.0364305	0.0305796	0.0247021	0.0141034	0.0194686	0.0143051	0.0144245	0.0268533	0.0109187	0.0159532	0.0118375	0.0104108	0.0120624	0.0136641	0.0184465	0.00988367	0.0109558	0.0102306	0.00848008	0.00881419	0.00929206	0.0112685	0.0129227	0.0185479	0.0165022	0.0213359	0.0243727	0.0395301
