 	n	g	a	n	g	a	á	k	ώ	i	w	a	m	ó	t	ú	u	n	y	ú	</S>
le	0.0138717	0.0672866	0.0861959	0.0522086	0.0336501	0.0415021	0.0283796	0.0401023	0.0311482	0.0473563	0.0650022	0.0533883	0.0456313	0.0525953	0.0711646	0.0858404	0.0575075	0.0477684	0.0427102	0.0241226	0.0125676
guérisseur	0.266348	0.149556	0.0852895	0.101257	0.120789	0.12254	0.0708508	0.0364922	0.010349	0.014973	0.00766472	0.00300232	0.0019987	0.00172207	0.00123169	0.000797776	0.000947683	0.00110552	0.00133766	0.00129964	0.00044736
l'	0.0361232	0.0280237	0.0138906	0.0169991	0.0356724	0.0463425	0.0873454	0.0953127	0.0868188	0.141515	0.0362653	0.0344805	0.0187455	0.015334	0.0356817	0.0344252	0.0491331	0.0675812	0.0381155	0.0517031	0.030491
a	0.0225552	0.0294709	0.0416763	0.0358074	0.0494758	0.0759448	0.0970331	0.0716859	0.0909939	0.0901629	0.0541017	0.0667265	0.0644937	0.0401997	0.0315383	0.0379741	0.0149681	0.0220779	0.0101527	0.0149878	0.0379735
massé	0.0928856	0.0389459	0.0424629	0.0318307	0.0366344	0.0600077	0.0518195	0.0400374	0.0383686	0.0299547	0.0257646	0.0362254	0.0427445	0.0616954	0.0555838	0.0581257	0.0619137	0.0462759	0.0464993	0.0433941	0.0588303
avec	0.115663	0.059508	0.0718491	0.0391667	0.044572	0.0510783	0.0466526	0.0368246	0.0382487	0.0434232	0.0217393	0.0393616	0.0288905	0.0239741	0.026156	0.032227	0.0342652	0.0352632	0.0454419	0.051385	0.11431
la	0.0396942	0.0427115	0.0291911	0.0342337	0.0173829	0.0142097	0.0133075	0.0136607	0.0149746	0.0140055	0.00731615	0.0173386	0.0147141	0.053287	0.0719704	0.134786	0.138908	0.129215	0.0630464	0.0593255	0.0767212
plante	0.0225326	0.0230452	0.0175418	0.0171719	0.0164162	0.0098998	0.00753211	0.00897558	0.0145313	0.0146788	0.0122369	0.0241321	0.0591244	0.048602	0.0988534	0.123339	0.0740048	0.112652	0.0845624	0.0901711	0.119997
otuunyu	0.104839	0.0758397	0.0345612	0.0478847	0.0505954	0.0379678	0.0333559	0.0404507	0.0452198	0.0399639	0.0307683	0.0404757	0.0291123	0.02274	0.0238466	0.0316438	0.0359084	0.0423233	0.0553614	0.0759874	0.101154
</S>	0.0605878	0.05349	0.0470889	0.0495686	0.0509756	0.0469833	0.0298345	0.0332363	0.030717	0.0236813	0.0191042	0.0265125	0.0195189	0.0287812	0.0373118	0.0512077	0.059844	0.0642659	0.0745576	0.0836806	0.109052
