 	m	w	á	s	í	á	m	a	m	b	i	s	i	n	g	á	a	y	a	a	m	á	á	l	á	m	b	í	w	a	</S>
ma	0.00680555	0.00850784	0.0109731	0.00355364	0.010884	0.00707809	0.0109707	0.0243129	0.0340977	0.0824675	0.0980602	0.0964638	0.0783066	0.0537082	0.0623538	0.0577469	0.033519	0.015843	0.0226506	0.0238775	0.0157385	0.0193473	0.0147465	0.016958	0.0214177	0.0185362	0.0346868	0.0422389	0.0219869	0.024436	0.0277265
femme	0.0887513	0.11773	0.275123	0.108136	0.0667948	0.0725517	0.0135369	0.0195156	0.00827561	0.00876309	0.0029956	0.00137316	0.00328606	0.00268384	0.00481225	0.00483621	0.00624829	0.0267105	0.0217439	0.0168101	0.00891768	0.0403942	0.0124534	0.0184282	0.0166208	0.0126963	0.00773243	0.00273457	0.00629538	0.00168446	0.00136496
m'	0.0657994	0.064585	0.0792275	0.0751544	0.0987703	0.0909659	0.097924	0.0258151	0.0256053	0.0243718	0.0291374	0.0163579	0.0143331	0.0111073	0.0231539	0.0159022	0.0205758	0.0242823	0.0442481	0.0234611	0.0108924	0.0289062	0.00801851	0.0168325	0.00923816	0.00980212	0.00664815	0.00732082	0.00795371	0.0155804	0.00802957
a	0.0547619	0.0335951	0.03939	0.0275433	0.0242174	0.0408281	0.0482256	0.06129	0.0308293	0.0418526	0.0459605	0.0368398	0.0244635	0.0161429	0.0229388	0.0225213	0.0222913	0.0316689	0.0835127	0.0618106	0.0408498	0.0347408	0.0156348	0.0133424	0.013614	0.0114185	0.0119226	0.00751943	0.0100537	0.0268429	0.0433774
fait	0.112455	0.0388984	0.0431772	0.0243654	0.0287356	0.0286826	0.0243262	0.0146858	0.0167122	0.0208897	0.0250191	0.0186065	0.0234643	0.0317521	0.041328	0.0527003	0.0334209	0.0438907	0.0340103	0.0215392	0.0319002	0.0282915	0.0289918	0.025858	0.0248695	0.0236344	0.025471	0.0278059	0.0226703	0.029401	0.0524471
goûter	0.083062	0.0352979	0.0486081	0.0293901	0.0344774	0.0325974	0.0195684	0.016318	0.0198171	0.0210014	0.0234807	0.0240015	0.0225265	0.0510623	0.0457393	0.0784252	0.0550963	0.0782238	0.0323482	0.0205202	0.0198202	0.0209594	0.0155049	0.0194906	0.0148406	0.018084	0.0154609	0.0222878	0.0138474	0.0213754	0.0467669
les	0.0904909	0.0369708	0.0458325	0.0340289	0.0424204	0.0380242	0.0232443	0.0143457	0.0184186	0.0189468	0.017885	0.0170762	0.0194816	0.0376153	0.0289382	0.0540898	0.0417348	0.0969227	0.0347739	0.0244871	0.0255413	0.0233204	0.0231416	0.0225917	0.0197926	0.0231661	0.0169009	0.0178914	0.0240283	0.0286185	0.0392796
feuilles	0.0246282	0.00961298	0.0100721	0.0107965	0.00992619	0.0152665	0.0159781	0.0184079	0.0184276	0.0201967	0.0215414	0.0283785	0.0412333	0.0543882	0.0411754	0.0573844	0.0394863	0.0348442	0.0232221	0.032675	0.0251662	0.0382724	0.0431453	0.0402424	0.0421587	0.037849	0.0267087	0.0518468	0.0536022	0.0386758	0.0746911
de	0.155509	0.0600554	0.0847971	0.0462918	0.0467257	0.0548081	0.0416212	0.0284772	0.0235415	0.0337209	0.024289	0.0289785	0.0184662	0.0252274	0.0246356	0.0327526	0.0353774	0.0602854	0.01395	0.0108996	0.0101782	0.0129542	0.00950292	0.0100684	0.0122094	0.012902	0.0107322	0.0133785	0.00834265	0.0136462	0.0356759
manioc	0.147747	0.0605036	0.0627629	0.0463973	0.0254653	0.0170714	0.0147554	0.00920795	0.0092394	0.0110114	0.0137327	0.0117532	0.0146793	0.0142799	0.0107173	0.01137	0.0140967	0.0275468	0.0247232	0.0286076	0.0231074	0.0410293	0.037655	0.0273826	0.0329174	0.0308562	0.02364	0.0212802	0.0352947	0.0567169	0.0944524
