 	b	á	a	á	b	h	ώ	ώ	s	i	o	s	á	m	b	e	o	y	í	í	r	á	o	t	s	i	i	n	a	</S>
ils	0.09038	0.0850624	0.103647	0.110075	0.11763	0.087968	0.0353526	0.0301791	0.0407045	0.0317306	0.0216341	0.0202491	0.0256864	0.0233159	0.0193084	0.0185477	0.0176304	0.0138716	0.00739132	0.00991891	0.00832359	0.00854131	0.00559838	0.0055019	0.00774766	0.010639	0.0118649	0.0119647	0.0114545	0.00808087
ont	0.0279867	0.0250931	0.0146299	0.0197331	0.0237202	0.0336688	0.0348836	0.0583246	0.0554134	0.060672	0.13372	0.0774132	0.0482917	0.0449656	0.0652369	0.0681118	0.0399431	0.0305584	0.0163888	0.00893944	0.0092723	0.0100356	0.0107917	0.00895944	0.0166245	0.0179692	0.0157599	0.0111561	0.00849192	0.00324526
tenu	0.0209745	0.0166038	0.0159645	0.0236978	0.0276039	0.045422	0.0305212	0.0151963	0.0186856	0.0276934	0.0340127	0.0394927	0.0676209	0.084994	0.0794262	0.0741126	0.0454239	0.0429692	0.0527011	0.0274498	0.0259332	0.0223726	0.0301885	0.0263075	0.0273445	0.0182676	0.0167836	0.0154515	0.0147621	0.0120227
le	0.0115443	0.0218511	0.0213044	0.0208616	0.0213987	0.0238512	0.0164782	0.0107088	0.0159469	0.0190354	0.0185323	0.0214874	0.0235396	0.0178947	0.0195249	0.0259534	0.0185021	0.0411056	0.0687215	0.0569374	0.0605997	0.0650263	0.10361	0.0522674	0.068374	0.0588182	0.0396316	0.0203926	0.0206897	0.0154104
conseil	0.0220154	0.0381975	0.0425192	0.037581	0.0427924	0.0420967	0.0241714	0.0218163	0.02673	0.0301565	0.0318468	0.0313464	0.0338105	0.0335547	0.0352541	0.0298323	0.0302778	0.0308613	0.0363099	0.0188088	0.0284158	0.0358604	0.0445219	0.0514897	0.0332593	0.0321767	0.0382673	0.0295141	0.0275513	0.0389641
de	0.00883717	0.0111431	0.0103111	0.0101818	0.0120569	0.0122454	0.0125828	0.0115328	0.0144156	0.0173642	0.0150107	0.0174991	0.0181992	0.019381	0.0225191	0.0262516	0.0225335	0.0283873	0.0683144	0.0583846	0.0724674	0.0665388	0.075185	0.0815926	0.0674049	0.0490801	0.0396137	0.0362413	0.0435649	0.05116
famille	0.0189943	0.0173279	0.0161307	0.0170817	0.0170429	0.0172047	0.0168914	0.0179248	0.0195199	0.0229354	0.0412105	0.0354229	0.0464116	0.0401395	0.039582	0.0410136	0.0275597	0.0397195	0.0471298	0.0466906	0.05354	0.0437839	0.0410311	0.0333465	0.0366597	0.0364044	0.0417546	0.0305903	0.0364882	0.0604681
toute	0.0162672	0.0158218	0.0166598	0.0157458	0.0159937	0.0163889	0.0160228	0.0164172	0.0163023	0.0167454	0.0222302	0.0210184	0.0211759	0.0197564	0.0232215	0.0209777	0.0181635	0.0263469	0.0494595	0.0532407	0.0633294	0.0604353	0.0513	0.0549199	0.049628	0.0507435	0.0582964	0.0557824	0.0574466	0.0601629
la	0.0340476	0.0360944	0.0427104	0.0339809	0.0299176	0.0213011	0.0180994	0.0149297	0.0134361	0.0129841	0.00971178	0.0122615	0.00979675	0.0105379	0.0114206	0.0112846	0.0171294	0.0197614	0.0179355	0.0277346	0.0351697	0.0258745	0.0395943	0.0466643	0.0435975	0.0591158	0.0714116	0.0764112	0.0881719	0.108914
journée	0.0134033	0.0146079	0.0172998	0.0142334	0.0147386	0.0137162	0.0140674	0.0158427	0.0157265	0.0135355	0.0114279	0.0134965	0.0119116	0.0122741	0.0121346	0.0105848	0.0131577	0.0246399	0.0256451	0.0365278	0.0582548	0.0565612	0.0830657	0.0912139	0.0732337	0.0549262	0.0516671	0.0538391	0.0655792	0.0926878
</S>	0.0120046	0.0098799	0.00890018	0.00835948	0.00982659	0.0114011	0.0155164	0.0242952	0.0229546	0.0253402	0.0210097	0.0254097	0.0206247	0.0202324	0.030663	0.0234425	0.0197244	0.0354782	0.0812342	0.050364	0.0434758	0.035247	0.0353747	0.0617805	0.0521456	0.0443228	0.0404652	0.0553903	0.0634631	0.091674
