 	n	g	á	í	k	o	b	h	i	p	ώ	ω	é	t	s	ω	y	é	é	t	i	í	n	ω	</S>
j'	0.140056	0.130865	0.145661	0.295482	0.0594916	0.0232427	0.0100679	0.010445	0.00909533	0.015912	0.0138911	0.0165178	0.0214423	0.0124157	0.0136896	0.0138955	0.00858264	0.00874876	0.00780434	0.00838677	0.00712273	0.00620576	0.00570641	0.00631522	0.0089567
ai	0.118569	0.049497	0.0459928	0.0452127	0.0523726	0.0432882	0.0478691	0.0417054	0.0238356	0.0754091	0.140944	0.0273591	0.0287179	0.0248393	0.020083	0.0136384	0.0317692	0.0207498	0.0151166	0.0159478	0.0237837	0.0356979	0.0209197	0.0172197	0.0194625
compris	0.0558912	0.0454435	0.0208245	0.0275161	0.0232394	0.0461713	0.0464343	0.042805	0.0380417	0.0358339	0.0437646	0.0516475	0.0623626	0.0609349	0.0580149	0.0568998	0.0303303	0.0264479	0.0336941	0.0424488	0.032308	0.0299902	0.0317502	0.0329943	0.0242111
tout	0.0316865	0.0378787	0.0195697	0.0166628	0.0624427	0.0539204	0.0594398	0.0669039	0.0381144	0.024534	0.0113282	0.0133374	0.0194428	0.0194432	0.023347	0.0224807	0.0341652	0.0438925	0.0513603	0.0668751	0.0609408	0.0511827	0.052738	0.0617409	0.0565722
ce	0.0254117	0.00979489	0.007161	0.0130904	0.02818	0.0367752	0.0497023	0.0462194	0.0423636	0.0259544	0.0360262	0.045658	0.0448791	0.0356513	0.0466774	0.0451273	0.0354426	0.0451734	0.045867	0.0573085	0.0517859	0.0512066	0.0431137	0.0627193	0.0687107
que	0.0215296	0.0256843	0.0204964	0.0221036	0.0193826	0.0158526	0.0193833	0.0148699	0.0179012	0.017378	0.0210074	0.0341368	0.0232315	0.0229605	0.0292143	0.0342659	0.0339068	0.0508128	0.0527455	0.078089	0.0758941	0.0887255	0.0818285	0.0857619	0.0928382
tu	0.16456	0.0985812	0.0512449	0.0256933	0.0150878	0.0166216	0.0226707	0.0323464	0.0409703	0.0370302	0.0336282	0.0253802	0.0242433	0.020714	0.0287712	0.0279625	0.023823	0.0272418	0.0321554	0.0456733	0.0374424	0.0264291	0.0251766	0.0320141	0.0845383
as	0.0755633	0.0302675	0.0164543	0.0181481	0.0279157	0.0275577	0.0306347	0.0270756	0.0297811	0.0271239	0.0254017	0.0269973	0.0253623	0.0315322	0.0421876	0.0462064	0.0358413	0.0402201	0.0450024	0.0659523	0.0672121	0.0460847	0.0544503	0.0640745	0.0729527
dit	0.122514	0.0455371	0.0332033	0.0238866	0.0176642	0.0277003	0.0345497	0.0261866	0.0198731	0.0260929	0.0305573	0.0463146	0.0352394	0.0454716	0.049583	0.0489915	0.0411179	0.0400975	0.0344918	0.0367448	0.0366304	0.0414194	0.0383284	0.0372114	0.0605928
</S>	0.0576702	0.020924	0.0222125	0.0212484	0.0313489	0.0394799	0.0501859	0.0438606	0.0264982	0.0160313	0.0290293	0.0383745	0.038302	0.0365945	0.044182	0.0439986	0.0254867	0.0309701	0.0372944	0.0504492	0.0486422	0.0428777	0.0500594	0.0562327	0.0980469
