 	n	g	á	i	d	i	p	ó	s	á	o	d	z	w	á	k	ω	l	a	n	ω	k	a	á	t	s	i	n	a	n	ω	o	d	í	l	a	d	z	ú	r	ú	r	ú	</S>
je	0.100613	0.384786	0.212774	0.0877172	0.0545448	0.0262556	0.0143436	0.0076148	0.00209045	0.00144132	0.0014491	0.00135706	0.00187491	0.00426589	0.00307744	0.0065206	0.00617823	0.00594452	0.00696866	0.00473079	0.00235989	0.00273684	0.00181992	0.0025877	0.00164655	0.00306055	0.0019429	0.00246603	0.0025321	0.00295326	0.00307717	0.00229003	0.00242899	0.0034008	0.00261032	0.00318946	0.00361493	0.00271512	0.00289091	0.00288836	0.00284918	0.00285571	0.00293301	0.00360345
ne	0.0441669	0.0245949	0.0197036	0.0344023	0.01872	0.011882	0.0185052	0.0286725	0.0504099	0.0418091	0.0800368	0.0669542	0.0511005	0.0474913	0.0411479	0.0321012	0.030323	0.0304212	0.0347378	0.02952	0.0178838	0.0168572	0.0236487	0.0243355	0.0171641	0.0217598	0.0197994	0.0167734	0.0134015	0.00765148	0.00725236	0.00956364	0.00602162	0.00567202	0.00834529	0.0057106	0.00399623	0.00595334	0.00723398	0.00437634	0.00524346	0.00304116	0.00461089	0.00700378
veux	0.0127891	0.0116762	0.0066356	0.0173075	0.0218181	0.0200326	0.016147	0.0172149	0.018347	0.0181515	0.0173818	0.0154566	0.0121774	0.0138341	0.0311142	0.0453904	0.0384054	0.0775296	0.0824717	0.0579211	0.0425603	0.0383586	0.0245388	0.0314592	0.018938	0.0285505	0.0254839	0.0233945	0.0283513	0.0310941	0.0365302	0.0228881	0.0114854	0.0151637	0.0101425	0.00846453	0.00919217	0.00709278	0.0046452	0.00407532	0.00514957	0.00483035	0.00735517	0.00845443
pas	0.0399344	0.0745843	0.0249741	0.0853793	0.0706276	0.0462941	0.0331799	0.0245435	0.0339081	0.0205872	0.0124389	0.0128792	0.0131986	0.0104901	0.0190921	0.0191904	0.0211928	0.0294058	0.0202774	0.0292292	0.0348764	0.0389415	0.0193727	0.0384916	0.022672	0.0128303	0.0169428	0.0156882	0.0124876	0.0119524	0.0117577	0.0104318	0.00882769	0.0107997	0.00714444	0.00665993	0.00876451	0.00791565	0.00623924	0.00734004	0.011054	0.0113036	0.0116148	0.0144847
aller	0.00967591	0.0134384	0.0057327	0.01487	0.0160607	0.0214186	0.0367646	0.0213629	0.0638795	0.0327843	0.0196179	0.0211405	0.0152505	0.011074	0.0142605	0.0204515	0.0207343	0.0226921	0.0202231	0.0290732	0.0250663	0.0354455	0.0158978	0.028422	0.0182769	0.0194667	0.0255035	0.0213774	0.0211812	0.0348246	0.0205633	0.0259519	0.0289083	0.0199665	0.0205636	0.0176214	0.0161641	0.0135499	0.0152016	0.0206366	0.0276757	0.0268408	0.0322196	0.0381697
en	0.0231467	0.016023	0.0117311	0.00934113	0.00560619	0.0084789	0.0131068	0.0165861	0.024934	0.0195183	0.0219201	0.0370972	0.0292066	0.0237885	0.0208802	0.0156334	0.0187115	0.0244992	0.0255043	0.0222484	0.0168972	0.0198357	0.020107	0.0212565	0.0166729	0.0194216	0.0233368	0.0190884	0.0179376	0.0206628	0.0142502	0.0200625	0.0316815	0.0202598	0.0313974	0.0267472	0.0280567	0.0257613	0.0228105	0.026815	0.0337239	0.0340778	0.0403119	0.0608659
forêt	0.00484817	0.00934897	0.00309774	0.00385021	0.00429388	0.00788314	0.0196323	0.018955	0.0267211	0.0204479	0.0273783	0.0311847	0.0385554	0.0204734	0.0193218	0.0177874	0.0161507	0.0297422	0.0407479	0.0414048	0.0250599	0.0303138	0.0386342	0.0264637	0.0152082	0.0120741	0.0228895	0.0121678	0.00632919	0.00898212	0.00610431	0.0112242	0.0155571	0.0127302	0.0245297	0.0239842	0.0278967	0.0334212	0.0297296	0.0294572	0.0359912	0.0326338	0.037832	0.0789608
avec	0.010529	0.0174552	0.0114867	0.014456	0.0146083	0.0187884	0.0103274	0.00964906	0.00981	0.0099693	0.0099658	0.0158449	0.016854	0.00917059	0.00694624	0.00674048	0.00792834	0.0106543	0.0118045	0.0152596	0.0180215	0.0169286	0.029662	0.0196229	0.0240311	0.0249637	0.0299033	0.026389	0.0212506	0.0214814	0.0173155	0.0253197	0.0315988	0.0227892	0.0378883	0.0335175	0.0304715	0.036638	0.0443641	0.0410664	0.0473754	0.0459411	0.0523622	0.06285
toi	0.0204883	0.0281481	0.0171223	0.0265276	0.017349	0.0135144	0.015952	0.0126608	0.0165228	0.0143203	0.0153193	0.0176273	0.0171489	0.00792458	0.00974633	0.0094244	0.0104306	0.013757	0.0158085	0.0201247	0.0243566	0.0252764	0.0294858	0.0289362	0.0259862	0.0228729	0.0320046	0.021525	0.019246	0.0262487	0.0202699	0.0243337	0.0223337	0.0158068	0.0265148	0.0222366	0.0228584	0.0290264	0.0320356	0.0300712	0.0339086	0.0344909	0.0411191	0.0691387
parce	0.0179056	0.0190623	0.0166405	0.0180989	0.0182952	0.0159943	0.0159444	0.0111157	0.0100871	0.00874517	0.00951229	0.011383	0.0113385	0.00977614	0.00978894	0.0100106	0.0114007	0.0136423	0.0133692	0.0178677	0.0237963	0.0237352	0.0235023	0.0265906	0.0269154	0.0235648	0.0270094	0.0233074	0.0181252	0.0155415	0.0112954	0.0159583	0.021048	0.0131439	0.0303399	0.0242228	0.0221223	0.0269314	0.0338936	0.0506594	0.0537693	0.0598784	0.0640033	0.0706676
