 	n	g	ó	o	y	a	b	í	s	í	a	d	í	l	i	l	ó	ó	s	á	n	d	é	e	</S>
notre	0.0627256	0.109858	0.0663711	0.0169403	0.00307556	0.00445488	0.00317318	0.00606333	0.0180893	0.0144735	0.0203419	0.0329142	0.0641206	0.0652674	0.0749644	0.0727623	0.0817266	0.055188	0.0435085	0.0495065	0.0422335	0.0279135	0.0188136	0.0317452	0.0137695
maman	0.164559	0.103183	0.0925908	0.168962	0.199502	0.131953	0.0623538	0.0251414	0.00944752	0.0078422	0.00474228	0.00360131	0.00442768	0.0046674	0.00222841	0.00315683	0.00253376	0.00183451	0.0015873	0.00116032	0.00139363	0.00167526	0.00066754	0.000391988	0.000396143
a	0.0631739	0.0389497	0.0377643	0.0499612	0.0484804	0.0656915	0.0428412	0.0504137	0.0250763	0.0240206	0.0207134	0.026076	0.0274276	0.0440595	0.0565447	0.0623989	0.0743122	0.0676149	0.0488422	0.0418422	0.0362139	0.0218162	0.00950001	0.00939562	0.00687002
un	0.0709257	0.0478547	0.0693845	0.097299	0.0888738	0.0523037	0.0504752	0.0346112	0.0326069	0.0199227	0.0222762	0.0141286	0.0139665	0.0175493	0.0200239	0.0190694	0.0144806	0.0178957	0.0211058	0.028783	0.0205296	0.030261	0.0548694	0.0553637	0.0854401
panier	0.0293672	0.0253363	0.0355092	0.039683	0.0206879	0.0114378	0.0161799	0.0141558	0.0207625	0.037759	0.0230001	0.0234245	0.0335997	0.047762	0.0658082	0.0454105	0.0413025	0.0656942	0.0465464	0.0853361	0.0860405	0.0745127	0.0349043	0.0389236	0.036856
de	0.0483084	0.0316938	0.0198906	0.0267747	0.043072	0.0228744	0.0368478	0.0275411	0.0196551	0.0231888	0.0129183	0.00858329	0.00783882	0.00789305	0.00824519	0.00830453	0.00907608	0.0163473	0.0186753	0.0244319	0.0373891	0.0574228	0.115999	0.153743	0.213286
pêche	0.0288954	0.0172914	0.0174239	0.0331885	0.0392087	0.0324767	0.0299008	0.0175114	0.0358426	0.0329858	0.0439289	0.0158311	0.019282	0.0420036	0.0286821	0.0387499	0.0525839	0.0541206	0.0702451	0.0409037	0.0655131	0.0637979	0.0445537	0.0446703	0.0904087
dans	0.0480787	0.0381275	0.032056	0.036139	0.0364084	0.0324957	0.0272809	0.0233564	0.0271112	0.0211099	0.0131393	0.00518357	0.00492151	0.0134142	0.011997	0.0143875	0.0186649	0.028146	0.0504066	0.0442116	0.0506965	0.0787844	0.0993889	0.090376	0.154119
la	0.0988935	0.0437602	0.0383355	0.044019	0.0287194	0.021631	0.0133741	0.0111203	0.00951052	0.0054321	0.00819505	0.00620763	0.00493508	0.0125748	0.013459	0.0166537	0.025006	0.0376538	0.0453642	0.0504262	0.0443589	0.0687662	0.0933046	0.106658	0.151641
maison	0.0356841	0.0274543	0.0306693	0.027513	0.0145793	0.0114781	0.00419118	0.0037808	0.00358501	0.0023474	0.00225392	0.00316553	0.00286425	0.00564648	0.00658775	0.00635188	0.00724812	0.0124267	0.0188662	0.0390634	0.0707641	0.119927	0.139639	0.22325	0.180664
</S>	0.109335	0.0534571	0.0446796	0.0428519	0.0253752	0.0208596	0.0092569	0.00424564	0.0019888	0.00116078	0.00120882	0.00148262	0.00186796	0.00318466	0.00653394	0.00429736	0.00658588	0.0126068	0.021543	0.0389525	0.0369795	0.0438146	0.101358	0.160636	0.245738
