 	b	í	n	í	l	é	e	d	z	á	á	a	m	b	á	n	g	é	b	á	b	o	s	i	m	ó	m	w	é	b	h	é	l	é	</S>
vous	0.0843009	0.145391	0.0811012	0.0807248	0.0509679	0.0174126	0.0151811	0.0175552	0.0159716	0.0168665	0.0322085	0.0323223	0.0518468	0.0275934	0.0232629	0.0321491	0.0163029	0.0185705	0.0109598	0.0122188	0.0179338	0.0175048	0.0145194	0.0112886	0.0135196	0.0139366	0.0103198	0.0115045	0.0134779	0.0149574	0.0118028	0.0142042	0.0170504	0.0166385	0.0184341
montrez	0.0540867	0.0382012	0.0308683	0.0285904	0.0353393	0.0445194	0.0472544	0.0396497	0.0680256	0.0616694	0.0584792	0.0534649	0.0531629	0.0539962	0.0441562	0.0408223	0.0366249	0.0380044	0.0358323	0.0375612	0.0298287	0.0157886	0.00664811	0.00663853	0.00352285	0.00246519	0.0053585	0.0034303	0.00371164	0.00452933	0.00301083	0.00243101	0.00235495	0.00296529	0.00700747
de	0.0468688	0.0500067	0.0418212	0.0343889	0.030533	0.0222335	0.0170184	0.0166226	0.0222184	0.0266352	0.0215778	0.024548	0.0263848	0.0371468	0.0449317	0.0407158	0.0448294	0.064658	0.0852196	0.0495849	0.0338921	0.0250917	0.0198417	0.0150128	0.00988003	0.00970252	0.00767964	0.0163951	0.0139342	0.0119776	0.0147924	0.0170505	0.0141576	0.0228555	0.0197931
la	0.0158116	0.0140691	0.0126528	0.0122022	0.0123829	0.0144157	0.0186044	0.0238762	0.028067	0.0333145	0.0362186	0.0360619	0.0390271	0.0534971	0.055918	0.0495651	0.0581088	0.0873597	0.0673647	0.0485812	0.0380288	0.0305657	0.0225404	0.0147346	0.0113358	0.0113957	0.00927853	0.00653336	0.00826876	0.0117421	0.0119114	0.0182361	0.017128	0.027571	0.043631
gloutonnerie	0.0119902	0.0111095	0.0117448	0.0125519	0.016404	0.0225499	0.0214457	0.0263535	0.0271965	0.0300973	0.0315114	0.0273626	0.0286068	0.0341638	0.0280356	0.0390006	0.0327789	0.0264023	0.048548	0.0300564	0.0264851	0.0312996	0.0348744	0.021636	0.0172357	0.0131294	0.0105664	0.0103362	0.0129749	0.019894	0.027583	0.0316143	0.0328183	0.0608341	0.130809
en	0.0143381	0.0109594	0.00934997	0.00977093	0.011859	0.0142839	0.0185048	0.0254065	0.0254196	0.0276315	0.0206504	0.0172453	0.0187605	0.0268864	0.0292955	0.0441108	0.0615193	0.0560435	0.0846112	0.0470777	0.048414	0.0509241	0.0276267	0.0157968	0.0110276	0.0102598	0.0064751	0.00222763	0.00334666	0.0173975	0.0125485	0.0206824	0.0434477	0.0603689	0.0957324
mangeant	0.0279041	0.0306495	0.0288166	0.0307142	0.033498	0.0290749	0.0259999	0.0339666	0.0366327	0.0356115	0.0351535	0.0329137	0.0343634	0.0405448	0.0333066	0.0470555	0.0477364	0.038136	0.0219811	0.0130947	0.0130135	0.0118674	0.0106377	0.00673827	0.00686492	0.00633414	0.00807435	0.0112884	0.00854173	0.013344	0.0176787	0.0294106	0.0584629	0.0398666	0.100723
de	0.0200713	0.0221378	0.0207972	0.0218086	0.0234534	0.0198241	0.0226382	0.0278505	0.0270298	0.0282361	0.0228326	0.0215514	0.0252845	0.0361959	0.0404234	0.0397027	0.050797	0.0580695	0.0419893	0.0340044	0.0381268	0.0341277	0.0112349	0.0158562	0.0129558	0.0197658	0.012193	0.0116114	0.0119984	0.035794	0.0338656	0.0451559	0.0348531	0.0313336	0.04643
man	0.0180994	0.0152456	0.0146666	0.0141786	0.0142527	0.0166877	0.017155	0.018508	0.0198518	0.0163905	0.0110169	0.011552	0.0134369	0.016149	0.0167886	0.0161572	0.0280936	0.039918	0.0389069	0.0361677	0.0428454	0.0356194	0.0370085	0.0384458	0.0311201	0.0387184	0.0323609	0.0185484	0.029023	0.0486015	0.0478731	0.0506102	0.0514337	0.0510789	0.0534902
gues	0.0191701	0.0158928	0.0161553	0.0156504	0.0141414	0.0119707	0.0083682	0.00848817	0.00887896	0.00819437	0.00722289	0.00783876	0.00925323	0.0123048	0.0128266	0.0123476	0.0217698	0.0334325	0.0291757	0.0316797	0.0303868	0.0246278	0.0334255	0.0284564	0.0328803	0.0318965	0.0378758	0.0507069	0.054787	0.0589492	0.0598528	0.0586777	0.0637228	0.0641785	0.064814
vertes	0.0200581	0.0114825	0.00933727	0.00789931	0.00894299	0.0124678	0.0138813	0.0150487	0.0152082	0.0154158	0.011794	0.0118415	0.0199511	0.0299281	0.0325385	0.0152903	0.0189186	0.0418082	0.0406236	0.0370208	0.0287764	0.0187528	0.0214603	0.0248141	0.0231523	0.0243268	0.0258248	0.027714	0.0359934	0.0445244	0.0646014	0.0650743	0.0678658	0.0688228	0.0688395
</S>	0.0235078	0.0152465	0.0140298	0.0117815	0.00832119	0.0136596	0.0162461	0.0164549	0.0136281	0.0186866	0.0134133	0.0149228	0.0318651	0.0388388	0.0282051	0.0200576	0.024301	0.0500255	0.0295727	0.0316747	0.0287767	0.0242047	0.0243701	0.0181309	0.0220462	0.0169588	0.0202982	0.0187097	0.0228272	0.0322785	0.0575849	0.0563789	0.0485874	0.0737674	0.100642
