 	l	e	d	í	o	b	h	e	r	á	o	t	i	á	l	a	w	a	k	a	á	w	a	a	d	í	i	b	o	ó	b	v	ú	s	u	</S>
on	0.267914	0.11964	0.132716	0.0567577	0.0177222	0.0214719	0.0187842	0.0179833	0.0204423	0.0189783	0.0205371	0.0194823	0.0204708	0.0215137	0.0225671	0.0159435	0.00867235	0.00867167	0.00694016	0.0105294	0.0103581	0.00495663	0.00950103	0.00692443	0.00462745	0.00653267	0.0073363	0.0126159	0.0150839	0.0117702	0.0150142	0.0114415	0.0122256	0.00870745	0.00950975	0.005657
ne	0.0385015	0.0616158	0.0552146	0.066364	0.0637985	0.0646599	0.0684265	0.0875352	0.0523308	0.079257	0.040471	0.0254625	0.0232967	0.0128538	0.0395938	0.0314803	0.0162246	0.0195538	0.00918782	0.00734388	0.00646244	0.00393907	0.00196242	0.00178334	0.00186603	0.00760295	0.0111597	0.0135292	0.0132272	0.0108229	0.0117605	0.0134722	0.0114458	0.0107943	0.00793483	0.00906521
peut	0.0297962	0.0445651	0.0494761	0.0792712	0.0916833	0.0532917	0.0527535	0.044334	0.0339658	0.024951	0.0501307	0.0328687	0.0345697	0.0287476	0.029211	0.0357365	0.0124106	0.0245277	0.0391851	0.0294506	0.034045	0.0271141	0.0142881	0.0105477	0.00598608	0.00640448	0.0096665	0.00912783	0.00635122	0.00858158	0.00915939	0.00821069	0.00631228	0.00705259	0.00692965	0.00929652
pas	0.026184	0.0246852	0.0257294	0.0220831	0.017066	0.0113341	0.0135268	0.0206261	0.0281178	0.0325315	0.0282968	0.021142	0.0304995	0.0264402	0.0254468	0.0224316	0.0341695	0.0329001	0.0224336	0.0243867	0.0344177	0.0546909	0.0266077	0.0357577	0.0467115	0.054064	0.0383308	0.0187429	0.0286671	0.0147115	0.0202307	0.0254971	0.0190248	0.0252095	0.0264165	0.0408888
parler	0.00899389	0.0103993	0.00846489	0.0104688	0.0118701	0.0120164	0.012449	0.0109191	0.0109369	0.0107264	0.00931338	0.00702081	0.00781685	0.00893527	0.0100162	0.0108536	0.0267351	0.0279722	0.0115525	0.0190939	0.0236787	0.0583811	0.0506997	0.095176	0.0578826	0.0612066	0.0930131	0.0522351	0.0413186	0.0359206	0.0469328	0.0393431	0.024773	0.0326609	0.0199867	0.0202365
avec	0.0365835	0.0471515	0.0555174	0.0490505	0.0783825	0.0573343	0.0766445	0.0533246	0.0500034	0.0417369	0.0268804	0.0278506	0.0353453	0.0429242	0.0355812	0.0208312	0.0147589	0.0124321	0.0153535	0.00805461	0.0151711	0.0147199	0.00861595	0.0104221	0.0130187	0.00840817	0.00994637	0.00772213	0.007075	0.00827092	0.0106651	0.013087	0.0138859	0.0173194	0.0199847	0.0359463
lui	0.0257897	0.0315398	0.0426731	0.0420384	0.0529142	0.0445043	0.056285	0.045679	0.0574037	0.0517566	0.0324548	0.0253936	0.0313846	0.0455756	0.0413636	0.0329447	0.0320843	0.0363026	0.0257641	0.0203359	0.0156152	0.0130017	0.00832244	0.00707184	0.00377005	0.00673733	0.0103968	0.0111134	0.0105356	0.00861448	0.0156349	0.014173	0.0150475	0.0205117	0.0232463	0.0420204
il	0.0467778	0.0507818	0.056284	0.040194	0.0708954	0.0359556	0.0434531	0.0313807	0.0393483	0.0318976	0.025857	0.0209771	0.0335016	0.0384459	0.026373	0.0145429	0.010664	0.0145979	0.0181032	0.0158099	0.0159977	0.0218308	0.0122584	0.0061306	0.00600173	0.00774463	0.00819325	0.00729217	0.00731845	0.00958231	0.0110664	0.014987	0.0341192	0.0376388	0.0477153	0.0862826
est	0.0570393	0.0539879	0.0519972	0.0523897	0.057753	0.0278869	0.0230239	0.0272885	0.0257422	0.0202282	0.0204595	0.0142518	0.0265395	0.023463	0.0178015	0.0145481	0.00866907	0.0103209	0.0159411	0.0136473	0.0143035	0.0200406	0.00909932	0.00662667	0.0052278	0.00837303	0.00797099	0.00825585	0.00818179	0.00741167	0.012327	0.0206137	0.0530785	0.0579867	0.0802147	0.117309
borné	0.0439078	0.0428987	0.0382754	0.0345919	0.0297462	0.0215635	0.0185287	0.0147319	0.0163704	0.014987	0.0135082	0.0111353	0.0132061	0.0139555	0.012519	0.0125019	0.0147684	0.0187603	0.0242753	0.0255377	0.0317872	0.0276252	0.0153584	0.0124909	0.0120627	0.0185025	0.0211028	0.0172527	0.0194969	0.0241674	0.0276466	0.0369151	0.0673881	0.0676763	0.0755957	0.0891622
</S>	0.0402105	0.0398058	0.0365432	0.0354957	0.0325461	0.0266754	0.0230584	0.0156601	0.0136735	0.0140014	0.0110521	0.0096234	0.00999883	0.0119727	0.0104382	0.0105613	0.014409	0.0202329	0.0242584	0.0267391	0.0315464	0.0315963	0.013228	0.00663252	0.00522448	0.00983287	0.0125373	0.010984	0.00855709	0.0192423	0.0198736	0.035726	0.0859298	0.0912131	0.0883514	0.102569
