 	w	a	m	b	í	m	o	r	o	y	e	e	b	h	á	r	í	s	í	o	t	ω	m	b	í	l	i	m	ó	n	ω	ω	m	e	k	y	e	m	b	e	</S>
c'	0.264281	0.269752	0.0952241	0.101159	0.0370041	0.0226885	0.0273305	0.0273591	0.0193641	0.0143504	0.0185727	0.0128651	0.0055921	0.00417898	0.00397773	0.00263702	0.00260485	0.00345158	0.0032018	0.00167979	0.00308184	0.00114049	0.00199988	0.00139104	0.00243743	0.00209526	0.00358157	0.00251572	0.00442647	0.00320481	0.00442577	0.0039091	0.00410271	0.0039091	0.00315651	0.00285562	0.00232519	0.0028691	0.00245986	0.0032997	0.0035381
est	0.10511	0.157225	0.128327	0.145756	0.0346944	0.0181714	0.0138141	0.00511718	0.00949355	0.0103177	0.0138208	0.0169097	0.0108747	0.0115754	0.00744847	0.00438108	0.00214321	0.00480142	0.0170823	0.0106949	0.0264101	0.0203846	0.0214434	0.0137594	0.0232974	0.0203879	0.0285757	0.0233753	0.0130897	0.00736853	0.00831747	0.0150365	0.011072	0.00848647	0.0046609	0.00781755	0.00879699	0.00346266	0.00172518	0.000967614	0.00380674
lui	0.00661984	0.0160709	0.0522559	0.0861877	0.067067	0.0696881	0.0740439	0.0452342	0.0441903	0.058407	0.0653177	0.0345912	0.0124261	0.0167868	0.0102753	0.00859739	0.00550155	0.00680047	0.00516479	0.00760668	0.00893783	0.00754061	0.0120449	0.0113956	0.00869799	0.0108876	0.00734587	0.00455534	0.00718894	0.0130959	0.013276	0.0104026	0.00799143	0.0112281	0.0110776	0.0126906	0.0206565	0.0171157	0.0210377	0.030568	0.0594323
qui	0.014635	0.0117393	0.0488145	0.0241737	0.0217536	0.0205353	0.0173831	0.0100297	0.0149308	0.0200262	0.0217952	0.0165207	0.0113959	0.0316913	0.0305348	0.0237692	0.018561	0.0223658	0.0320399	0.0561625	0.138553	0.0927031	0.131514	0.0200561	0.0364676	0.0208805	0.0193313	0.00639074	0.00691497	0.00249258	0.00380772	0.00549141	0.00494753	0.00403617	0.00477934	0.00559514	0.00703508	0.0042771	0.00373101	0.00347657	0.00866057
a	0.00694559	0.00875385	0.0329134	0.019003	0.00945923	0.00758616	0.00611554	0.00702943	0.005264	0.0051736	0.00698447	0.00766724	0.0109844	0.0600813	0.0280626	0.0298077	0.0159662	0.0325963	0.0691406	0.070105	0.142258	0.0772057	0.14822	0.0282352	0.0387129	0.0187728	0.0234409	0.00935173	0.00963523	0.00279777	0.00396458	0.0054629	0.00589613	0.00456838	0.00369091	0.0063063	0.00471128	0.00440017	0.00623658	0.00528828	0.011204
embourbé	0.0135829	0.03063	0.0215572	0.0288974	0.0112556	0.0106319	0.00862957	0.00654361	0.00898955	0.00830894	0.0100972	0.0121044	0.0197702	0.0354279	0.0229601	0.0263557	0.0160189	0.0215526	0.0284827	0.037917	0.0664598	0.0472059	0.0590678	0.0329103	0.0372899	0.0212979	0.0378934	0.0182249	0.024169	0.0130278	0.0141248	0.0111712	0.0198782	0.0190801	0.0191937	0.0286196	0.0137177	0.0173713	0.0232794	0.0251755	0.0711285
le	0.0024568	0.0040787	0.00392533	0.00482458	0.0041884	0.00687787	0.00806039	0.00788601	0.0101262	0.00964574	0.0111008	0.0124904	0.0137878	0.0171577	0.0126555	0.0252064	0.0253982	0.0349225	0.0511198	0.0525119	0.0966793	0.0577307	0.0513164	0.0356303	0.0269253	0.031041	0.0423395	0.0414877	0.0363979	0.0357239	0.0270218	0.0251068	0.0315145	0.0282217	0.0201177	0.021202	0.0135675	0.0123741	0.013263	0.0141747	0.0197433
véhicule	0.00700069	0.0125228	0.00705795	0.01265	0.00777974	0.00937108	0.0116928	0.00583711	0.00907976	0.0145003	0.0170928	0.0250353	0.0252288	0.022906	0.0291295	0.0283391	0.036788	0.045794	0.0455398	0.0529545	0.051298	0.0476162	0.0336813	0.0298692	0.0357375	0.0382985	0.0306657	0.0244571	0.0260793	0.0244818	0.0185265	0.0201867	0.0113355	0.0144337	0.0117512	0.00744969	0.0141565	0.0101445	0.0218853	0.0430132	0.0586328
à	0.00776277	0.0129598	0.0122171	0.0117968	0.00681622	0.00703495	0.00617172	0.00306692	0.00452434	0.00598732	0.00789911	0.00840951	0.0108324	0.0145638	0.0206852	0.0375666	0.0497144	0.0838929	0.088613	0.0507063	0.117205	0.0443252	0.0529282	0.0149217	0.010599	0.0136806	0.0104889	0.00742702	0.00816225	0.00638657	0.00629252	0.0124092	0.0124945	0.0153697	0.0178338	0.0236363	0.0272415	0.0309648	0.0333213	0.0387581	0.0443325
l'	0.00492084	0.00531503	0.00626292	0.00553428	0.00416742	0.00377108	0.00335445	0.00350079	0.00299557	0.00379041	0.0033107	0.00456134	0.00619702	0.0118398	0.0159411	0.0257046	0.0354431	0.0823229	0.083394	0.0593908	0.163726	0.0401884	0.112366	0.0130962	0.0228365	0.0272431	0.0227979	0.0096135	0.0175084	0.011828	0.012825	0.0117919	0.0128011	0.010927	0.0162844	0.0162549	0.0122396	0.0200299	0.024129	0.0264316	0.0233634
